year,filename,relative_path,suffix,is_image_dat,is_label_feather,contains_5d_in_name,contains_20d_in_name,contains_60d_in_name,contains_has_vb,contains_20_ma,size_bytes
1993,20d_month_has_vb_20_ma_1993_images.dat,../테스트/Test/img_data/monthly_20d/20d_month_has_vb_20_ma_1993_images.dat,.dat,True,False,False,True,False,True,True,328872960
1993,20d_month_has_vb_20_ma_1993_labels_w_delay.feather,../테스트/Test/img_data/monthly_20d/20d_month_has_vb_20_ma_1993_labels_w_delay.feather,.feather,False,True,False,True,False,True,True,4148914
1994,20d_month_has_vb_20_ma_1994_images.dat,../테스트/Test/img_data/monthly_20d/20d_month_has_vb_20_ma_1994_images.dat,.dat,True,False,False,True,False,True,True,363840000
1994,20d_month_has_vb_20_ma_1994_labels_w_delay.feather,../테스트/Test/img_data/monthly_20d/20d_month_has_vb_20_ma_1994_labels_w_delay.feather,.feather,False,True,False,True,False,True,True,4591394
1995,20d_month_has_vb_20_ma_1995_images.dat,../테스트/Test/img_data/monthly_20d/20d_month_has_vb_20_ma_1995_images.dat,.dat,True,False,False,True,False,True,True,375194880
1995,20d_month_has_vb_20_ma_1995_labels_w_delay.feather,../테스트/Test/img_data/monthly_20d/20d_month_has_vb_20_ma_1995_labels_w_delay.feather,.feather,False,True,False,True,False,True,True,4737858
1996,20d_month_has_vb_20_ma_1996_images.dat,../테스트/Test/img_data/monthly_20d/20d_month_has_vb_20_ma_1996_images.dat,.dat,True,False,False,True,False,True,True,395420160
1996,20d_month_has_vb_20_ma_1996_labels_w_delay.feather,../테스트/Test/img_data/monthly_20d/20d_month_has_vb_20_ma_1996_labels_w_delay.feather,.feather,False,True,False,True,False,True,True,4998066
1997,20d_month_has_vb_20_ma_1997_images.dat,../테스트/Test/img_data/monthly_20d/20d_month_has_vb_20_ma_1997_images.dat,.dat,True,False,False,True,False,True,True,412074240
1997,20d_month_has_vb_20_ma_1997_labels_w_delay.feather,../테스트/Test/img_data/monthly_20d/20d_month_has_vb_20_ma_1997_labels_w_delay.feather,.feather,False,True,False,True,False,True,True,5214498
1998,20d_month_has_vb_20_ma_1998_images.dat,../테스트/Test/img_data/monthly_20d/20d_month_has_vb_20_ma_1998_images.dat,.dat,True,False,False,True,False,True,True,407811840
1998,20d_month_has_vb_20_ma_1998_labels_w_delay.feather,../테스트/Test/img_data/monthly_20d/20d_month_has_vb_20_ma_1998_labels_w_delay.feather,.feather,False,True,False,True,False,True,True,5162050
1999,20d_month_has_vb_20_ma_1999_images.dat,../테스트/Test/img_data/monthly_20d/20d_month_has_vb_20_ma_1999_images.dat,.dat,True,False,False,True,False,True,True,385090560
1999,20d_month_has_vb_20_ma_1999_labels_w_delay.feather,../테스트/Test/img_data/monthly_20d/20d_month_has_vb_20_ma_1999_labels_w_delay.feather,.feather,False,True,False,True,False,True,True,4875858
2000,20d_month_has_vb_20_ma_2000_images.dat,../테스트/Test/img_data/monthly_20d/20d_month_has_vb_20_ma_2000_images.dat,.dat,True,False,False,True,False,True,True,376888320
