year,image_file,label_file,size_bytes,expected_height,expected_width,pixels_per_image,inferred_image_rows,label_rows,byte_remainder_if_64x60,matches_64x60_and_labels
1993,20d_month_has_vb_20_ma_1993_images.dat,20d_month_has_vb_20_ma_1993_labels_w_delay.feather,328872960,64,60,3840,85644,85644,0,True
1994,20d_month_has_vb_20_ma_1994_images.dat,20d_month_has_vb_20_ma_1994_labels_w_delay.feather,363840000,64,60,3840,94750,94750,0,True
1995,20d_month_has_vb_20_ma_1995_images.dat,20d_month_has_vb_20_ma_1995_labels_w_delay.feather,375194880,64,60,3840,97707,97707,0,True
1996,20d_month_has_vb_20_ma_1996_images.dat,20d_month_has_vb_20_ma_1996_labels_w_delay.feather,395420160,64,60,3840,102974,102974,0,True
1997,20d_month_has_vb_20_ma_1997_images.dat,20d_month_has_vb_20_ma_1997_labels_w_delay.feather,412074240,64,60,3840,107311,107311,0,True
1998,20d_month_has_vb_20_ma_1998_images.dat,20d_month_has_vb_20_ma_1998_labels_w_delay.feather,407811840,64,60,3840,106201,106201,0,True
1999,20d_month_has_vb_20_ma_1999_images.dat,20d_month_has_vb_20_ma_1999_labels_w_delay.feather,385090560,64,60,3840,100284,100284,0,True
2000,20d_month_has_vb_20_ma_2000_images.dat,20d_month_has_vb_20_ma_2000_labels_w_delay.feather,376888320,64,60,3840,98148,98148,0,True
2001,20d_month_has_vb_20_ma_2001_images.dat,20d_month_has_vb_20_ma_2001_labels_w_delay.feather,353222400,64,60,3840,91985,91985,0,True
2002,20d_month_has_vb_20_ma_2002_images.dat,20d_month_has_vb_20_ma_2002_labels_w_delay.feather,329199360,64,60,3840,85729,85729,0,True
2003,20d_month_has_vb_20_ma_2003_images.dat,20d_month_has_vb_20_ma_2003_labels_w_delay.feather,310632960,64,60,3840,80894,80894,0,True
2004,20d_month_has_vb_20_ma_2004_images.dat,20d_month_has_vb_20_ma_2004_labels_w_delay.feather,305326080,64,60,3840,79512,79512,0,True
2005,20d_month_has_vb_20_ma_2005_images.dat,20d_month_has_vb_20_ma_2005_labels_w_delay.feather,306750720,64,60,3840,79883,79883,0,True
2006,20d_month_has_vb_20_ma_2006_images.dat,20d_month_has_vb_20_ma_2006_labels_w_delay.feather,307825920,64,60,3840,80163,80163,0,True
2007,20d_month_has_vb_20_ma_2007_images.dat,20d_month_has_vb_20_ma_2007_labels_w_delay.feather,311577600,64,60,3840,81140,81140,0,True
2008,20d_month_has_vb_20_ma_2008_images.dat,20d_month_has_vb_20_ma_2008_labels_w_delay.feather,300234240,64,60,3840,78186,78186,0,True
2009,20d_month_has_vb_20_ma_2009_images.dat,20d_month_has_vb_20_ma_2009_labels_w_delay.feather,269049600,64,60,3840,70065,70065,0,True
2010,20d_month_has_vb_20_ma_2010_images.dat,20d_month_has_vb_20_ma_2010_labels_w_delay.feather,261546240,64,60,3840,68111,68111,0,True
2011,20d_month_has_vb_20_ma_2011_images.dat,20d_month_has_vb_20_ma_2011_labels_w_delay.feather,258528000,64,60,3840,67325,67325,0,True
2012,20d_month_has_vb_20_ma_2012_images.dat,20d_month_has_vb_20_ma_2012_labels_w_delay.feather,254400000,64,60,3840,66250,66250,0,True
2013,20d_month_has_vb_20_ma_2013_images.dat,20d_month_has_vb_20_ma_2013_labels_w_delay.feather,251466240,64,60,3840,65486,65486,0,True
2014,20d_month_has_vb_20_ma_2014_images.dat,20d_month_has_vb_20_ma_2014_labels_w_delay.feather,258439680,64,60,3840,67302,67302,0,True
2015,20d_month_has_vb_20_ma_2015_images.dat,20d_month_has_vb_20_ma_2015_labels_w_delay.feather,264295680,64,60,3840,68827,68827,0,True
2016,20d_month_has_vb_20_ma_2016_images.dat,20d_month_has_vb_20_ma_2016_labels_w_delay.feather,261661440,64,60,3840,68141,68141,0,True
2017,20d_month_has_vb_20_ma_2017_images.dat,20d_month_has_vb_20_ma_2017_labels_w_delay.feather,260574720,64,60,3840,67858,67858,0,True
2018,20d_month_has_vb_20_ma_2018_images.dat,20d_month_has_vb_20_ma_2018_labels_w_delay.feather,262967040,64,60,3840,68481,68481,0,True
2019,20d_month_has_vb_20_ma_2019_images.dat,20d_month_has_vb_20_ma_2019_labels_w_delay.feather,263566080,64,60,3840,68637,68637,0,True
