year,filename,rows,columns,columns_match_first_file,date_min,date_max,n_stocks
1993,20d_month_has_vb_20_ma_1993_labels_w_delay.feather,85644,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,1993-01-29,1993-12-31,7838
1994,20d_month_has_vb_20_ma_1994_labels_w_delay.feather,94750,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,1994-01-31,1994-12-30,8552
1995,20d_month_has_vb_20_ma_1995_labels_w_delay.feather,97707,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,1995-01-31,1995-12-29,8839
1996,20d_month_has_vb_20_ma_1996_labels_w_delay.feather,102974,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,1996-01-31,1996-12-31,9445
1997,20d_month_has_vb_20_ma_1997_labels_w_delay.feather,107311,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,1997-01-31,1997-12-31,9721
1998,20d_month_has_vb_20_ma_1998_labels_w_delay.feather,106201,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,1998-01-30,1998-12-31,9624
1999,20d_month_has_vb_20_ma_1999_labels_w_delay.feather,100284,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,1999-01-29,1999-12-31,9261
2000,20d_month_has_vb_20_ma_2000_labels_w_delay.feather,98148,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2000-01-31,2000-12-29,9048
2001,20d_month_has_vb_20_ma_2001_labels_w_delay.feather,91985,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2001-01-31,2001-12-31,8298
2002,20d_month_has_vb_20_ma_2002_labels_w_delay.feather,85729,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2002-01-31,2002-12-31,7623
2003,20d_month_has_vb_20_ma_2003_labels_w_delay.feather,80894,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2003-01-31,2003-12-31,7182
2004,20d_month_has_vb_20_ma_2004_labels_w_delay.feather,79512,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2004-01-30,2004-12-31,7076
2005,20d_month_has_vb_20_ma_2005_labels_w_delay.feather,79883,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2005-01-31,2005-12-30,7122
2006,20d_month_has_vb_20_ma_2006_labels_w_delay.feather,80163,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2006-01-31,2006-12-29,7165
2007,20d_month_has_vb_20_ma_2007_labels_w_delay.feather,81140,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2007-01-31,2007-12-31,7376
2008,20d_month_has_vb_20_ma_2008_labels_w_delay.feather,78186,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2008-01-31,2008-12-31,6957
2009,20d_month_has_vb_20_ma_2009_labels_w_delay.feather,70065,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2009-01-30,2009-12-31,6163
2010,20d_month_has_vb_20_ma_2010_labels_w_delay.feather,68111,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2010-01-29,2010-12-31,6020
2011,20d_month_has_vb_20_ma_2011_labels_w_delay.feather,67325,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2011-01-31,2011-12-30,5904
2012,20d_month_has_vb_20_ma_2012_labels_w_delay.feather,66250,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2012-01-31,2012-12-31,5816
2013,20d_month_has_vb_20_ma_2013_labels_w_delay.feather,65486,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2013-01-31,2013-12-31,5812
2014,20d_month_has_vb_20_ma_2014_labels_w_delay.feather,67302,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2014-01-31,2014-12-31,5975
2015,20d_month_has_vb_20_ma_2015_labels_w_delay.feather,68827,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2015-01-30,2015-12-31,6080
2016,20d_month_has_vb_20_ma_2016_labels_w_delay.feather,68141,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2016-01-29,2016-12-30,6042
2017,20d_month_has_vb_20_ma_2017_labels_w_delay.feather,67858,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2017-01-31,2017-12-29,6002
2018,20d_month_has_vb_20_ma_2018_labels_w_delay.feather,68481,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2018-01-31,2018-12-31,6052
2019,20d_month_has_vb_20_ma_2019_labels_w_delay.feather,68637,Date|StockID|MarketCap|Ret_5d|Ret_20d|Ret_60d|Ret_month|EWMA_vol,True,2019-01-31,2019-12-31,6049
