year,period,target,valid_rows,null_rows,positive_rows,non_positive_rows,positive_rate
1993,train_val,Ret_5d,85505,139,42332,43173,0.4950821589380738
1993,train_val,Ret_20d,85279,365,44125,41154,0.517419294316303
1993,train_val,Ret_60d,84587,1057,45746,38841,0.5408159646281343
1994,train_val,Ret_5d,94571,179,41577,52994,0.43963794397859807
1994,train_val,Ret_20d,94222,528,42161,52061,0.4474644987370253
1994,train_val,Ret_60d,93191,1559,41231,51960,0.442435428313893
1995,train_val,Ret_5d,97453,254,51080,46373,0.5241501031266355
1995,train_val,Ret_20d,97039,668,53692,43347,0.5533033110398912
1995,train_val,Ret_60d,95862,1845,59271,36591,0.6182950491331288
1996,train_val,Ret_5d,102749,225,50714,52035,0.49357171359331964
1996,train_val,Ret_20d,102338,636,54037,48301,0.5280247806288964
1996,train_val,Ret_60d,101130,1844,56155,44975,0.5552753881143083
1997,train_val,Ret_5d,106997,314,58996,48001,0.5513799452321093
1997,train_val,Ret_20d,106464,847,54628,51836,0.513112413585813
1997,train_val,Ret_60d,104855,2456,62576,42279,0.5967860378618092
1998,train_val,Ret_5d,105814,387,51394,54420,0.4857013249664506
1998,train_val,Ret_20d,105106,1095,48705,56401,0.4633893402850456
1998,train_val,Ret_60d,103015,3186,43279,59736,0.42012328301703633
1999,train_val,Ret_5d,99948,336,47533,52415,0.47557730019610195
1999,train_val,Ret_20d,99225,1059,45744,53481,0.46101284958427813
1999,train_val,Ret_60d,97237,3047,47755,49482,0.4911196355296852
2000,train_val,Ret_5d,97754,394,51268,46486,0.5244593571618553
2000,train_val,Ret_20d,97092,1056,46196,50896,0.4757961521031599
2000,train_val,Ret_60d,95121,3027,43567,51554,0.45801663144836574
2001,test,Ret_5d,91639,346,46708,44931,0.5096956535972675
2001,test,Ret_20d,90993,992,45262,45731,0.49742287868297563
2001,test,Ret_60d,89205,2780,46511,42694,0.521394540664761
2002,test,Ret_5d,85468,261,36129,49339,0.42271961435859035
2002,test,Ret_20d,84996,733,38903,46093,0.4577038919478564
2002,test,Ret_60d,83656,2073,35263,48393,0.42152385961556854
2003,test,Ret_5d,80655,239,48593,32062,0.6024796974769078
2003,test,Ret_20d,80283,611,52384,27899,0.652491810221342
2003,test,Ret_60d,79257,1637,60520,18737,0.7635918593941229
2004,test,Ret_5d,79304,208,39890,39414,0.5030011096539897
2004,test,Ret_20d,79017,495,42246,36771,0.5346444436007441
2004,test,Ret_60d,78160,1352,41886,36274,0.5359007164790174
2005,test,Ret_5d,79652,231,47310,32342,0.5939587204338874
2005,test,Ret_20d,79342,541,41869,37473,0.527702855990522
2005,test,Ret_60d,78391,1492,45579,32812,0.581431541886186
2006,test,Ret_5d,79930,233,37022,42908,0.46318028274740397
2006,test,Ret_20d,79613,550,42477,37136,0.5335435167623378
2006,test,Ret_60d,78682,1481,43681,35001,0.5551587402455453
2007,test,Ret_5d,80814,326,38735,42079,0.4793105155047393
2007,test,Ret_20d,80378,762,35397,44981,0.4403816964841126
2007,test,Ret_60d,78971,2169,32031,46940,0.40560458902635144
2008,test,Ret_5d,77808,378,31684,46124,0.4072074850915073
2008,test,Ret_20d,77293,893,28858,48435,0.3733585188826931
2008,test,Ret_60d,75635,2551,22666,52969,0.2996760758907913
2009,test,Ret_5d,69885,180,40625,29260,0.5813121556843386
2009,test,Ret_20d,69542,523,41750,27792,0.6003566190215984
2009,test,Ret_60d,68667,1398,49948,18719,0.7273945272110329
2010,test,Ret_5d,67926,185,38989,28937,0.5739922857226982
2010,test,Ret_20d,67663,448,41126,26537,0.6078063343333875
2010,test,Ret_60d,66914,1197,41713,25201,0.6233822518456527
2011,test,Ret_5d,67155,170,30851,36304,0.45939989576353213
2011,test,Ret_20d,66914,411,30161,36753,0.45074274441820844
2011,test,Ret_60d,66235,1090,32105,34130,0.48471352004227375
2012,test,Ret_5d,66077,173,35110,30967,0.5313497888826672
2012,test,Ret_20d,65844,406,37031,28813,0.5624050786707977
2012,test,Ret_60d,65137,1113,37999,27138,0.5833704346224112
2013,test,Ret_5d,65367,119,33760,31607,0.5164685544693806
2013,test,Ret_20d,65139,347,37662,27477,0.5781789711232902
2013,test,Ret_60d,64527,959,40703,23824,0.6307902118493034
2014,test,Ret_5d,67171,131,30923,36248,0.4603623587560108
2014,test,Ret_20d,66969,333,34449,32520,0.5144021860860996
2014,test,Ret_60d,66370,932,35978,30392,0.5420822660840742
2015,test,Ret_5d,68660,167,32201,36459,0.46899213515875326
2015,test,Ret_20d,68421,406,31607,36814,0.4619488168837053
2015,test,Ret_60d,67751,1076,29002,38749,0.4280674823987838
2016,test,Ret_5d,67927,214,37631,30296,0.5539917852989239
2016,test,Ret_20d,67668,473,38866,28802,0.5743630667376012
2016,test,Ret_60d,66877,1264,43680,23197,0.6531393453653722
2017,test,Ret_5d,67676,182,33844,33832,0.5000886577220875
2017,test,Ret_20d,67437,421,38034,29403,0.5639930601895102
2017,test,Ret_60d,66772,1086,38081,28691,0.5703139040316301
2018,test,Ret_5d,68318,163,36277,32041,0.531002078515179
2018,test,Ret_20d,68075,406,31636,36439,0.46472273228057287
2018,test,Ret_60d,67376,1105,33233,34143,0.4932468534789836
2019,test,Ret_5d,68501,136,34668,33833,0.506094801535744
2019,test,Ret_20d,68258,379,38096,30162,0.5581177297899147
2019,test,Ret_60d,67632,1005,33695,33937,0.49821090607996216
