Date,Open,High,Low,Close,Volume
2018-01-01,13715.65,13818.55,12750.0,13380.0,8609.915844
2018-01-02,13382.16,15473.49,12890.02,14675.11,20078.092111
2018-01-03,14690.0,15307.56,14150.0,14919.51,15905.667639
2018-01-04,14919.51,15280.0,13918.04,15059.54,21329.649574
2018-01-05,15059.56,17176.24,14600.0,16960.39,23251.491125
2018-01-06,16960.39,17143.13,16011.21,17069.79,18571.457508
2018-01-07,17069.79,17099.96,15610.0,16150.03,12493.125558
2018-01-08,16218.85,16322.3,12812.0,14902.54,26600.609912
2018-01-09,14902.54,15500.0,14011.05,14400.0,14315.004253
2018-01-10,14401.0,14955.66,13131.31,14907.09,17411.001655
