experiment_name,image_window,image_spec,return_horizon,run_seed,status,elapsed_seconds,message
stage2_i20_ohlc_r20,20,ohlc,20,42,ok,33.662,
stage2_i20_ohlc_vb_r20,20,ohlc_vb,20,42,ok,25.042,
stage2_i20_ohlc_ma_r20,20,ohlc_ma,20,42,ok,29.066,
stage2_i20_ohlc_ma_vb_r20,20,ohlc_ma_vb,20,42,ok,27.053,
stage2_i60_ohlc_r20,60,ohlc,20,42,ok,97.604,
stage2_i60_ohlc_vb_r20,60,ohlc_vb,20,42,ok,109.692,
stage2_i60_ohlc_ma_r20,60,ohlc_ma,20,42,ok,128.161,
stage2_i60_ohlc_ma_vb_r20,60,ohlc_ma_vb,20,42,ok,176.171,
stage2_i20_ohlc_r20,20,ohlc,20,43,ok,26.193,
stage2_i20_ohlc_vb_r20,20,ohlc_vb,20,43,ok,26.488,
stage2_i20_ohlc_ma_r20,20,ohlc_ma,20,43,ok,29.033,
stage2_i20_ohlc_ma_vb_r20,20,ohlc_ma_vb,20,43,ok,28.901,
stage2_i60_ohlc_r20,60,ohlc,20,43,ok,75.005,
stage2_i60_ohlc_vb_r20,60,ohlc_vb,20,43,ok,132.074,
stage2_i60_ohlc_ma_r20,60,ohlc_ma,20,43,ok,246.253,
stage2_i60_ohlc_ma_vb_r20,60,ohlc_ma_vb,20,43,ok,236.305,
stage2_i20_ohlc_r20,20,ohlc,20,44,ok,24.476,
stage2_i20_ohlc_vb_r20,20,ohlc_vb,20,44,ok,24.592,
stage2_i20_ohlc_ma_r20,20,ohlc_ma,20,44,ok,26.672,
stage2_i20_ohlc_ma_vb_r20,20,ohlc_ma_vb,20,44,ok,26.724,
stage2_i60_ohlc_r20,60,ohlc,20,44,ok,109.13,
stage2_i60_ohlc_vb_r20,60,ohlc_vb,20,44,ok,120.695,
stage2_i60_ohlc_ma_r20,60,ohlc_ma,20,44,ok,319.669,
stage2_i60_ohlc_ma_vb_r20,60,ohlc_ma_vb,20,44,ok,164.9,
stage2_i20_ohlc_r20,20,ohlc,20,45,ok,24.309,
stage2_i20_ohlc_vb_r20,20,ohlc_vb,20,45,ok,24.437,
stage2_i20_ohlc_ma_r20,20,ohlc_ma,20,45,ok,26.698,
stage2_i20_ohlc_ma_vb_r20,20,ohlc_ma_vb,20,45,ok,26.975,
stage2_i60_ohlc_r20,60,ohlc,20,45,ok,120.401,
stage2_i60_ohlc_vb_r20,60,ohlc_vb,20,45,ok,98.02,
stage2_i60_ohlc_ma_r20,60,ohlc_ma,20,45,ok,162.509,
stage2_i60_ohlc_ma_vb_r20,60,ohlc_ma_vb,20,45,ok,175.216,
stage2_i20_ohlc_r20,20,ohlc,20,46,ok,26.267,
stage2_i20_ohlc_vb_r20,20,ohlc_vb,20,46,ok,24.523,
stage2_i20_ohlc_ma_r20,20,ohlc_ma,20,46,ok,28.912,
stage2_i20_ohlc_ma_vb_r20,20,ohlc_ma_vb,20,46,ok,28.985,
stage2_i60_ohlc_r20,60,ohlc,20,46,ok,109.002,
stage2_i60_ohlc_vb_r20,60,ohlc_vb,20,46,ok,131.93,
stage2_i60_ohlc_ma_r20,60,ohlc_ma,20,46,ok,139.702,
stage2_i60_ohlc_ma_vb_r20,60,ohlc_ma_vb,20,46,ok,298.18,
