image_window,return_horizon,image_spec,run_seed,adapter_dim,model_variant,run_phase
5,5,ohlc,42,128,linear_adapter,planned_single_seed_grid
5,5,ohlc_vb,42,128,linear_adapter,planned_single_seed_grid
5,5,ohlc_ma,42,128,linear_adapter,planned_single_seed_grid
5,5,ohlc_ma_vb,42,128,linear_adapter,planned_single_seed_grid
5,20,ohlc,42,128,linear_adapter,planned_single_seed_grid
5,20,ohlc_vb,42,128,linear_adapter,planned_single_seed_grid
5,20,ohlc_ma,42,128,linear_adapter,planned_single_seed_grid
5,20,ohlc_ma_vb,42,128,linear_adapter,planned_single_seed_grid
5,60,ohlc,42,128,linear_adapter,planned_single_seed_grid
5,60,ohlc_vb,42,128,linear_adapter,planned_single_seed_grid
5,60,ohlc_ma,42,128,linear_adapter,planned_single_seed_grid
5,60,ohlc_ma_vb,42,128,linear_adapter,planned_single_seed_grid
20,5,ohlc,42,128,linear_adapter,planned_single_seed_grid
20,5,ohlc_vb,42,128,linear_adapter,planned_single_seed_grid
20,5,ohlc_ma,42,128,linear_adapter,planned_single_seed_grid
20,5,ohlc_ma_vb,42,128,linear_adapter,planned_single_seed_grid
20,20,ohlc,42,128,linear_adapter,planned_single_seed_grid
20,20,ohlc_vb,42,128,linear_adapter,planned_single_seed_grid
20,20,ohlc_ma,42,128,linear_adapter,planned_single_seed_grid
20,20,ohlc_ma_vb,42,128,linear_adapter,planned_single_seed_grid
20,60,ohlc,42,128,linear_adapter,planned_single_seed_grid
20,60,ohlc_vb,42,128,linear_adapter,planned_single_seed_grid
20,60,ohlc_ma,42,128,linear_adapter,planned_single_seed_grid
20,60,ohlc_ma_vb,42,128,linear_adapter,planned_single_seed_grid
60,5,ohlc,42,128,linear_adapter,planned_single_seed_grid
60,5,ohlc_vb,42,128,linear_adapter,planned_single_seed_grid
60,5,ohlc_ma,42,128,linear_adapter,planned_single_seed_grid
60,5,ohlc_ma_vb,42,128,linear_adapter,planned_single_seed_grid
60,20,ohlc,42,128,linear_adapter,planned_single_seed_grid
60,20,ohlc_vb,42,128,linear_adapter,planned_single_seed_grid
60,20,ohlc_ma,42,128,linear_adapter,planned_single_seed_grid
60,20,ohlc_ma_vb,42,128,linear_adapter,planned_single_seed_grid
60,60,ohlc,42,128,linear_adapter,planned_single_seed_grid
60,60,ohlc_vb,42,128,linear_adapter,planned_single_seed_grid
60,60,ohlc_ma,42,128,linear_adapter,planned_single_seed_grid
60,60,ohlc_ma_vb,42,128,linear_adapter,planned_single_seed_grid
