Date,trades,volume,vwap,turnover,homeNotional,foreignNotional
2018-01-01,255579,814405650,13342.2282,6104241231065,61042.41231064988,814405650
2018-01-02,232934,638958746,13394.053,4770981481934,47709.81481933991,638958746
2018-01-03,268891,904159652,14070.6346,6426424407545,64264.244075449824,904159652
2018-01-04,238572,812686550,15006.0024,5416401174154,54164.011741539565,812686550
2018-01-05,234126,814142088,14843.4021,5485535868615,54855.35868614973,814142088
2018-01-06,251654,1010611092,15987.2102,6321881436567,63218.81436567059,1010611092
2018-01-07,207313,764303511,16753.225,4562486232182,45624.86232181999,764303511
2018-01-08,212034,863341710,16441.9599,5251074809903,52510.74809903028,863341710
2018-01-09,304814,1473520709,15076.1345,9773923856045,97739.23856044971,1473520709
2018-01-10,279980,999024212,14792.8994,6753484338147,67534.84338146981,999024212
2018-01-11,295339,1154658078,14188.4222,8138439862129,81384.39862128944,1154658078
2018-01-12,332016,1514629882,13566.6802,11164412534620,111644.12534619961,1514629882
2018-01-13,245539,886264793,13622.1223,6506910766052,65069.10766052,886264793
2018-01-14,183702,588530993,14232.8494,4135271425245,41352.714252450045,588530993
2018-01-15,226151,806932736,13572.2041,5945882863944,59458.82863944008,806932736
2018-01-16,221230,747398582,13846.5799,5398075206555,53980.75206555019,747398582
2018-01-17,528211,2755983315,11831.5192,23294514072092,232945.14072092276,2755983315
2018-01-18,564651,2266854171,10547.4106,21493126421802,214931.26421802083,2266854171
2018-01-19,424853,1431204983,11453.4418,12496493120745,124964.93120745145,1431204983
2018-01-20,325241,989529029,11475.7861,8623201032984,86232.01032984037,989529029
2018-01-21,262165,930649076,12445.5507,7477806246047,74778.0624604699,930649076
2018-01-22,344955,1143587814,11810.5586,9683024796985,96830.247969851,1143587814
2018-01-23,396293,1486837759,10861.3012,13689462703833,136894.62703832827,1486837759
2018-01-24,380285,1449900102,10639.4297,13628866563968,136288.66563968064,1449900102
2018-01-25,321516,1131616118,10978.1535,10308824304465,103088.24304465117,1131616118
2018-01-26,315379,981325170,11275.2283,8703865539080,87038.65539080022,981325170
2018-01-27,381516,1452834482,10902.7475,13326597956168,133265.97956167982,1452834482
2018-01-28,312606,1009595524,11230.9075,8989929983308,89899.29983308105,1009595524
