Date,cot_source_report_date,Market_and_Exchange_Names,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Dealer_Net_All,Dealer_Net_Ratio_All,Asset_Mgr_Net_All,Asset_Mgr_Net_Ratio_All,Lev_Money_Net_All,Lev_Money_Net_Ratio_All,Other_Rept_Net_All,Other_Rept_Net_Ratio_All,NonRept_Net_All,NonRept_Net_Ratio_All,cot_age_days
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,2018-01-02,BITCOIN-USD - CBOE FUTURES EXCHANGE,4065.0,39.0,0.0,0.0,0.0,274.0,380.0,1043.0,2664.0,1727.0,3415.0,2338.0,650.0,39.0,0.00959409594095941,0.0,0.0,-106.0,-0.026076260762607627,-1621.0,-0.398769987699877,1688.0,0.4152521525215252,0.0
2018-01-03,2018-01-02,BITCOIN-USD - CBOE FUTURES EXCHANGE,4065.0,39.0,0.0,0.0,0.0,274.0,380.0,1043.0,2664.0,1727.0,3415.0,2338.0,650.0,39.0,0.00959409594095941,0.0,0.0,-106.0,-0.026076260762607627,-1621.0,-0.398769987699877,1688.0,0.4152521525215252,1.0
2018-01-04,2018-01-02,BITCOIN-USD - CBOE FUTURES EXCHANGE,4065.0,39.0,0.0,0.0,0.0,274.0,380.0,1043.0,2664.0,1727.0,3415.0,2338.0,650.0,39.0,0.00959409594095941,0.0,0.0,-106.0,-0.026076260762607627,-1621.0,-0.398769987699877,1688.0,0.4152521525215252,2.0
2018-01-05,2018-01-02,BITCOIN-USD - CBOE FUTURES EXCHANGE,4065.0,39.0,0.0,0.0,0.0,274.0,380.0,1043.0,2664.0,1727.0,3415.0,2338.0,650.0,39.0,0.00959409594095941,0.0,0.0,-106.0,-0.026076260762607627,-1621.0,-0.398769987699877,1688.0,0.4152521525215252,3.0
2018-01-06,2018-01-02,BITCOIN-USD - CBOE FUTURES EXCHANGE,4065.0,39.0,0.0,0.0,0.0,274.0,380.0,1043.0,2664.0,1727.0,3415.0,2338.0,650.0,39.0,0.00959409594095941,0.0,0.0,-106.0,-0.026076260762607627,-1621.0,-0.398769987699877,1688.0,0.4152521525215252,4.0
2018-01-07,2018-01-02,BITCOIN-USD - CBOE FUTURES EXCHANGE,4065.0,39.0,0.0,0.0,0.0,274.0,380.0,1043.0,2664.0,1727.0,3415.0,2338.0,650.0,39.0,0.00959409594095941,0.0,0.0,-106.0,-0.026076260762607627,-1621.0,-0.398769987699877,1688.0,0.4152521525215252,5.0
2018-01-08,2018-01-02,BITCOIN-USD - CBOE FUTURES EXCHANGE,4065.0,39.0,0.0,0.0,0.0,274.0,380.0,1043.0,2664.0,1727.0,3415.0,2338.0,650.0,39.0,0.00959409594095941,0.0,0.0,-106.0,-0.026076260762607627,-1621.0,-0.398769987699877,1688.0,0.4152521525215252,6.0
2018-01-09,2018-01-09,BITCOIN-USD - CBOE FUTURES EXCHANGE,4624.0,39.0,0.0,0.0,0.0,521.0,654.0,1204.0,3017.0,2073.0,3980.0,2551.0,644.0,39.0,0.008434256055363323,0.0,0.0,-133.0,-0.028762975778546713,-1813.0,-0.3920847750865052,1907.0,0.4124134948096886,0.0
2018-01-10,2018-01-09,BITCOIN-USD - CBOE FUTURES EXCHANGE,4624.0,39.0,0.0,0.0,0.0,521.0,654.0,1204.0,3017.0,2073.0,3980.0,2551.0,644.0,39.0,0.008434256055363323,0.0,0.0,-133.0,-0.028762975778546713,-1813.0,-0.3920847750865052,1907.0,0.4124134948096886,1.0
2018-01-11,2018-01-09,BITCOIN-USD - CBOE FUTURES EXCHANGE,4624.0,39.0,0.0,0.0,0.0,521.0,654.0,1204.0,3017.0,2073.0,3980.0,2551.0,644.0,39.0,0.008434256055363323,0.0,0.0,-133.0,-0.028762975778546713,-1813.0,-0.3920847750865052,1907.0,0.4124134948096886,2.0
2018-01-12,2018-01-09,BITCOIN-USD - CBOE FUTURES EXCHANGE,4624.0,39.0,0.0,0.0,0.0,521.0,654.0,1204.0,3017.0,2073.0,3980.0,2551.0,644.0,39.0,0.008434256055363323,0.0,0.0,-133.0,-0.028762975778546713,-1813.0,-0.3920847750865052,1907.0,0.4124134948096886,3.0
2018-01-13,2018-01-09,BITCOIN-USD - CBOE FUTURES EXCHANGE,4624.0,39.0,0.0,0.0,0.0,521.0,654.0,1204.0,3017.0,2073.0,3980.0,2551.0,644.0,39.0,0.008434256055363323,0.0,0.0,-133.0,-0.028762975778546713,-1813.0,-0.3920847750865052,1907.0,0.4124134948096886,4.0
2018-01-14,2018-01-09,BITCOIN-USD - CBOE FUTURES EXCHANGE,4624.0,39.0,0.0,0.0,0.0,521.0,654.0,1204.0,3017.0,2073.0,3980.0,2551.0,644.0,39.0,0.008434256055363323,0.0,0.0,-133.0,-0.028762975778546713,-1813.0,-0.3920847750865052,1907.0,0.4124134948096886,5.0
2018-01-15,2018-01-09,BITCOIN-USD - CBOE FUTURES EXCHANGE,4624.0,39.0,0.0,0.0,0.0,521.0,654.0,1204.0,3017.0,2073.0,3980.0,2551.0,644.0,39.0,0.008434256055363323,0.0,0.0,-133.0,-0.028762975778546713,-1813.0,-0.3920847750865052,1907.0,0.4124134948096886,6.0
2018-01-16,2018-01-16,BITCOIN-USD - CBOE FUTURES EXCHANGE,4736.0,40.0,0.0,0.0,0.0,379.0,608.0,1134.0,3171.0,1732.0,3958.0,3004.0,778.0,40.0,0.008445945945945946,0.0,0.0,-229.0,-0.04835304054054054,-2037.0,-0.4301097972972973,2226.0,0.4700168918918919,0.0
2018-01-17,2018-01-16,BITCOIN-USD - CBOE FUTURES EXCHANGE,4736.0,40.0,0.0,0.0,0.0,379.0,608.0,1134.0,3171.0,1732.0,3958.0,3004.0,778.0,40.0,0.008445945945945946,0.0,0.0,-229.0,-0.04835304054054054,-2037.0,-0.4301097972972973,2226.0,0.4700168918918919,1.0
2018-01-18,2018-01-16,BITCOIN-USD - CBOE FUTURES EXCHANGE,4736.0,40.0,0.0,0.0,0.0,379.0,608.0,1134.0,3171.0,1732.0,3958.0,3004.0,778.0,40.0,0.008445945945945946,0.0,0.0,-229.0,-0.04835304054054054,-2037.0,-0.4301097972972973,2226.0,0.4700168918918919,2.0
2018-01-19,2018-01-16,BITCOIN-USD - CBOE FUTURES EXCHANGE,4736.0,40.0,0.0,0.0,0.0,379.0,608.0,1134.0,3171.0,1732.0,3958.0,3004.0,778.0,40.0,0.008445945945945946,0.0,0.0,-229.0,-0.04835304054054054,-2037.0,-0.4301097972972973,2226.0,0.4700168918918919,3.0
2018-01-20,2018-01-16,BITCOIN-USD - CBOE FUTURES EXCHANGE,4736.0,40.0,0.0,0.0,0.0,379.0,608.0,1134.0,3171.0,1732.0,3958.0,3004.0,778.0,40.0,0.008445945945945946,0.0,0.0,-229.0,-0.04835304054054054,-2037.0,-0.4301097972972973,2226.0,0.4700168918918919,4.0
2018-01-21,2018-01-16,BITCOIN-USD - CBOE FUTURES EXCHANGE,4736.0,40.0,0.0,0.0,0.0,379.0,608.0,1134.0,3171.0,1732.0,3958.0,3004.0,778.0,40.0,0.008445945945945946,0.0,0.0,-229.0,-0.04835304054054054,-2037.0,-0.4301097972972973,2226.0,0.4700168918918919,5.0
2018-01-22,2018-01-16,BITCOIN-USD - CBOE FUTURES EXCHANGE,4736.0,40.0,0.0,0.0,0.0,379.0,608.0,1134.0,3171.0,1732.0,3958.0,3004.0,778.0,40.0,0.008445945945945946,0.0,0.0,-229.0,-0.04835304054054054,-2037.0,-0.4301097972972973,2226.0,0.4700168918918919,6.0
2018-01-23,2018-01-23,BITCOIN-USD - CBOE FUTURES EXCHANGE,5193.0,55.0,0.0,0.0,0.0,1142.0,518.0,1243.0,3668.0,2528.0,4274.0,2665.0,919.0,55.0,0.010591180435201233,0.0,0.0,624.0,0.12016175621028308,-2425.0,-0.46697477373387253,1746.0,0.3362218370883882,0.0
2018-01-24,2018-01-23,BITCOIN-USD - CBOE FUTURES EXCHANGE,5193.0,55.0,0.0,0.0,0.0,1142.0,518.0,1243.0,3668.0,2528.0,4274.0,2665.0,919.0,55.0,0.010591180435201233,0.0,0.0,624.0,0.12016175621028308,-2425.0,-0.46697477373387253,1746.0,0.3362218370883882,1.0
2018-01-25,2018-01-23,BITCOIN-USD - CBOE FUTURES EXCHANGE,5193.0,55.0,0.0,0.0,0.0,1142.0,518.0,1243.0,3668.0,2528.0,4274.0,2665.0,919.0,55.0,0.010591180435201233,0.0,0.0,624.0,0.12016175621028308,-2425.0,-0.46697477373387253,1746.0,0.3362218370883882,2.0
2018-01-26,2018-01-23,BITCOIN-USD - CBOE FUTURES EXCHANGE,5193.0,55.0,0.0,0.0,0.0,1142.0,518.0,1243.0,3668.0,2528.0,4274.0,2665.0,919.0,55.0,0.010591180435201233,0.0,0.0,624.0,0.12016175621028308,-2425.0,-0.46697477373387253,1746.0,0.3362218370883882,3.0
2018-01-27,2018-01-23,BITCOIN-USD - CBOE FUTURES EXCHANGE,5193.0,55.0,0.0,0.0,0.0,1142.0,518.0,1243.0,3668.0,2528.0,4274.0,2665.0,919.0,55.0,0.010591180435201233,0.0,0.0,624.0,0.12016175621028308,-2425.0,-0.46697477373387253,1746.0,0.3362218370883882,4.0
2018-01-28,2018-01-23,BITCOIN-USD - CBOE FUTURES EXCHANGE,5193.0,55.0,0.0,0.0,0.0,1142.0,518.0,1243.0,3668.0,2528.0,4274.0,2665.0,919.0,55.0,0.010591180435201233,0.0,0.0,624.0,0.12016175621028308,-2425.0,-0.46697477373387253,1746.0,0.3362218370883882,5.0
2018-01-29,2018-01-23,BITCOIN-USD - CBOE FUTURES EXCHANGE,5193.0,55.0,0.0,0.0,0.0,1142.0,518.0,1243.0,3668.0,2528.0,4274.0,2665.0,919.0,55.0,0.010591180435201233,0.0,0.0,624.0,0.12016175621028308,-2425.0,-0.46697477373387253,1746.0,0.3362218370883882,6.0
2018-01-30,2018-01-30,BITCOIN-USD - CBOE FUTURES EXCHANGE,5738.0,55.0,0.0,0.0,0.0,895.0,2974.0,1753.0,1868.0,2788.0,4927.0,2950.0,811.0,55.0,0.00958522133147438,0.0,0.0,-2079.0,-0.3623213663297316,-115.0,-0.020041826420355523,2139.0,0.37277797141861274,0.0
2018-01-31,2018-01-30,BITCOIN-USD - CBOE FUTURES EXCHANGE,5738.0,55.0,0.0,0.0,0.0,895.0,2974.0,1753.0,1868.0,2788.0,4927.0,2950.0,811.0,55.0,0.00958522133147438,0.0,0.0,-2079.0,-0.3623213663297316,-115.0,-0.020041826420355523,2139.0,0.37277797141861274,1.0
2018-02-01,2018-01-30,BITCOIN-USD - CBOE FUTURES EXCHANGE,5738.0,55.0,0.0,0.0,0.0,895.0,2974.0,1753.0,1868.0,2788.0,4927.0,2950.0,811.0,55.0,0.00958522133147438,0.0,0.0,-2079.0,-0.3623213663297316,-115.0,-0.020041826420355523,2139.0,0.37277797141861274,2.0
2018-02-02,2018-01-30,BITCOIN-USD - CBOE FUTURES EXCHANGE,5738.0,55.0,0.0,0.0,0.0,895.0,2974.0,1753.0,1868.0,2788.0,4927.0,2950.0,811.0,55.0,0.00958522133147438,0.0,0.0,-2079.0,-0.3623213663297316,-115.0,-0.020041826420355523,2139.0,0.37277797141861274,3.0
2018-02-03,2018-01-30,BITCOIN-USD - CBOE FUTURES EXCHANGE,5738.0,55.0,0.0,0.0,0.0,895.0,2974.0,1753.0,1868.0,2788.0,4927.0,2950.0,811.0,55.0,0.00958522133147438,0.0,0.0,-2079.0,-0.3623213663297316,-115.0,-0.020041826420355523,2139.0,0.37277797141861274,4.0
2018-02-04,2018-01-30,BITCOIN-USD - CBOE FUTURES EXCHANGE,5738.0,55.0,0.0,0.0,0.0,895.0,2974.0,1753.0,1868.0,2788.0,4927.0,2950.0,811.0,55.0,0.00958522133147438,0.0,0.0,-2079.0,-0.3623213663297316,-115.0,-0.020041826420355523,2139.0,0.37277797141861274,5.0
