Date,Market_and_Exchange_Names,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Dealer_Net_All,Dealer_Net_Ratio_All,Asset_Mgr_Net_All,Asset_Mgr_Net_Ratio_All,Lev_Money_Net_All,Lev_Money_Net_Ratio_All,Other_Rept_Net_All,Other_Rept_Net_Ratio_All,NonRept_Net_All,NonRept_Net_Ratio_All
2018-01-02,BITCOIN-USD - CBOE FUTURES EXCHANGE,4065,39,0,0,0,274,380,1043,2664,1727,3415,2338,650,39,0.00959409594095941,0,0.0,-106,-0.026076260762607627,-1621,-0.398769987699877,1688,0.4152521525215252
2018-01-09,BITCOIN-USD - CBOE FUTURES EXCHANGE,4624,39,0,0,0,521,654,1204,3017,2073,3980,2551,644,39,0.008434256055363323,0,0.0,-133,-0.028762975778546713,-1813,-0.3920847750865052,1907,0.4124134948096886
2018-01-16,BITCOIN-USD - CBOE FUTURES EXCHANGE,4736,40,0,0,0,379,608,1134,3171,1732,3958,3004,778,40,0.008445945945945946,0,0.0,-229,-0.04835304054054054,-2037,-0.4301097972972973,2226,0.4700168918918919
2018-01-23,BITCOIN-USD - CBOE FUTURES EXCHANGE,5193,55,0,0,0,1142,518,1243,3668,2528,4274,2665,919,55,0.010591180435201233,0,0.0,624,0.12016175621028308,-2425,-0.46697477373387253,1746,0.3362218370883882
2018-01-30,BITCOIN-USD - CBOE FUTURES EXCHANGE,5738,55,0,0,0,895,2974,1753,1868,2788,4927,2950,811,55,0.00958522133147438,0,0.0,-2079,-0.3623213663297316,-115,-0.020041826420355523,2139,0.37277797141861274
2018-02-06,BITCOIN-USD - CBOE FUTURES EXCHANGE,6932,55,0,0,0,814,3572,2766,2103,3788,5828,3144,1104,55,0.007934218118869013,0,0.0,-2758,-0.397864974033468,663,0.09564339296018465,2040,0.2942873629544143
2018-02-13,BITCOIN-USD - CBOE FUTURES EXCHANGE,5704,55,0,0,119,619,2861,2091,1660,2935,4810,2769,894,55,0.009642356241234221,-119,-0.020862552594670406,-2242,-0.39305750350631136,431,0.0755610098176718,1875,0.3287166900420757
2018-02-20,BITCOIN-USD - CBOE FUTURES EXCHANGE,6050,55,0,0,255,1107,3407,2468,1576,3638,5246,2412,804,55,0.00909090909090909,-255,-0.04214876033057851,-2300,-0.38016528925619836,892,0.14743801652892563,1608,0.26578512396694215
2018-02-27,BITCOIN-USD - CBOE FUTURES EXCHANGE,6032,55,0,0,104,1561,3741,1773,1377,3458,5291,2574,741,55,0.009118037135278515,-104,-0.017241379310344827,-2180,-0.3614058355437666,396,0.0656498673740053,1833,0.30387931034482757
2018-03-06,BITCOIN-USD - CBOE FUTURES EXCHANGE,5563,55,0,0,110,1451,3824,1276,447,3000,4599,2563,964,55,0.009886751752651447,-110,-0.019773503505302895,-2373,-0.42656839834621607,829,0.14902031278087363,1599,0.2874348373179939
2018-03-13,BITCOIN-USD - CBOE FUTURES EXCHANGE,6429,55,0,0,41,2278,4737,1402,673,3898,5614,2531,815,55,0.008554985223207343,-41,-0.006377352620936382,-2459,-0.3824856120703064,729,0.11339244050396641,1716,0.26691553896406905
2018-03-20,BITCOIN-USD - CBOE FUTURES EXCHANGE,6261,55,0,220,0,2214,4487,1329,701,3938,5308,2323,953,55,0.00878453921098866,220,0.03513815684395464,-2273,-0.36304104775594953,628,0.10030346590001597,1370,0.21881488580099026
2018-03-27,BITCOIN-USD - CBOE FUTURES EXCHANGE,6322,55,0,289,0,2221,4729,1278,604,3972,5462,2350,860,55,0.008699778551091426,289,0.0457133818411895,-2508,-0.39670990192976907,674,0.10661183169882948,1490,0.23568490983865864
2018-04-03,BITCOIN-USD - CBOE FUTURES EXCHANGE,6198,55,0,379,0,1810,4773,1198,455,3574,5360,2624,838,55,0.008873830267828332,379,0.0611487576637625,-2963,-0.4780574378831881,743,0.11987737979993546,1786,0.2881574701516618
