Date,AdrActCnt,TxCnt,HashRate
2018-01-01,972783,241625,14923655.7184224
2018-01-02,1142721,343664,16415540.6673567
2018-01-03,1130917,396942,15071578.273538
2018-01-04,1253986,424762,16127548.7258241
2018-01-05,1069525,339441,13727615.8797194
2018-01-06,1163503,356470,16127548.7258241
2018-01-07,1130388,372566,15551564.842759
2018-01-08,1157303,345855,15935554.0981357
2018-01-09,1145338,354874,15743559.4704474
2018-01-10,1118949,347701,15935554.0981357
2018-01-11,1222969,334581,18527481.5719289
2018-01-12,1153290,304727,17087521.864266
2018-01-13,939348,264304,15881806.2094572
2018-01-14,971840,236042,17165770.5545811
2018-01-15,949563,272139,16612036.0205623
2018-01-16,1001819,306170,17608758.1817961
2018-01-17,1090483,314242,18494733.4362261
2018-01-18,1050790,307893,19159214.8770486
2018-01-19,1027992,242661,18273239.6226186
2018-01-20,970060,236313,19712949.4110673
2018-01-21,988506,217475,20709671.572301
2018-01-22,946599,250083,18494733.4362261
2018-01-23,893416,266082,19602202.5042636
2018-01-24,940167,251628,19491455.5974598
2018-01-25,854029,238459,19419246.3436515
2018-01-26,807029,218851,20056949.5413983
2018-01-27,860840,192395,20315748.8903196
2018-01-28,765711,213698,20445148.5647802
2018-01-29,775230,230013,19151151.8201739
2018-01-30,845185,239554,21609745.6349259
2018-01-31,685452,208360,15139761.9118942
2018-02-01,833934,252498,20703947.9137015
2018-02-02,853582,237739,21739145.3093865
2018-02-03,714800,190833,20445148.5647802
2018-02-04,711645,172621,23033142.0539929
2018-02-05,915758,221421,23938939.7752173
2018-02-06,999753,245035,22105953.9129441
2018-02-07,804119,207672,20149017.2119133
2018-02-08,753618,177469,18720008.8990117
2018-02-09,781921,178845,19291612.2241723
2018-02-10,737187,176305,20434818.8744937
2018-02-11,814528,147871,21578025.524815
2018-02-12,912131,185649,23721537.9941675
2018-02-13,868109,188299,23435736.3315871
2018-02-14,937769,197735,25579248.8009396
2018-02-15,779005,195903,18720008.8990117
2018-02-16,773561,185173,22435430.512556
2018-02-17,765638,172015,21292223.8622346
2018-02-18,730130,160325,23149934.6690068
2018-02-19,857787,191633,23149934.6690068
2018-02-20,703065,194005,20835108.4972582
2018-02-21,713740,208330,25265138.8267234
2018-02-22,719848,182712,22275181.569123
2018-02-23,732287,180733,22125683.706243
