t,z_spreads,z_equities,z_liquidity,z_goldcurrency,z_roro
06jun2023,-.47566888,-.35095909,-.18922381,.098212965,-.42588863
07jun2023,-1.2139226,.22400847,-.27932817,.55437285,-.26047307
08jun2023,.6245333,-.24634939,.93575102,-1.4348817,-.0027868839
09jun2023,-1.0081642,.0053951503,-.43325987,.23109016,-.41555372
12jun2023,1.0898482,-.11125395,-.12069249,.43954965,.32739964
13jun2023,-2.9865713,-.61198545,1.296935,-.2254325,-1.5826743
14jun2023,-1.317813,-.46951732,-.73317766,-.62869841,-1.0031383
15jun2023,1.3326144,-.29114604,.1469519,-.96634716,.067187056
16jun2023,-1.4215875,-.37835985,-.72322607,.056575719,-.85731715
19jun2023,-.14977202,.63474196,.00069424999,.23856525,.56914097
20jun2023,.92925626,.37015024,-.39926156,.89436007,.87393743
21jun2023,.989811,.064278618,.24484192,-.33487442,.48537809
22jun2023,-.4045158,.17084529,.37440005,.61138588,.14425476
23jun2023,1.660336,.71916771,-.2184103,.46764916,1.4289094
26jun2023,.98168117,.28674489,-1.3127707,-.39133561,.50737071
27jun2023,-1.9492731,-.48836729,.70776755,.13194288,-1.1309474
28jun2023,.37803283,-.47810239,.1433876,.96791661,-.19734469
29jun2023,-1.8935357,-.060609486,-.61674356,.19643845,-.80069602
30jun2023,-.89378279,-.72590184,.9929744,-.74233615,-.98042887
03jul2023,-1.3134247,-.045998111,-.63144034,.02093553,-.55225623
04jul2023,.040572383,.12918499,.00069424999,-.086919717,.15374966
05jul2023,-.039242554,.61058021,.12376289,.70567185,.68934971
06jul2023,-.10227797,1.8687724,-.46370253,.32294574,1.7939903
07jul2023,.46501982,-.29209465,.6000064,-1.5340344,-.17250949
10jul2023,1.2167453,-.084119432,-.38277122,-.2182321,.32518181
11jul2023,-.952425,-.54058242,-.018343242,-.53667808,-.9253574
12jul2023,-.093912013,-1.2336038,.48587757,-2.1793418,-1.4300498
13jul2023,.39482,-.62065601,-.16404416,-.87127435,-.56795371
14jul2023,-1.2187308,-.1233247,-.36030492,.27224275,-.55515718
17jul2023,1.3907162,.34729132,.096802391,.0033997521,.90961564
18jul2023,-.095404692,-.4367916,.15560761,-.57408935,-.43593377
19jul2023,-.66215825,-.043474052,-.0046273232,.4957467,-.21783674
20jul2023,-.54297304,.10056365,.19661371,.80837834,.0041843476
21jul2023,.17132266,-.20149808,-.0015360267,.58242619,-.010372556
24jul2023,-.34919661,.079360545,-.33478323,.2071263,-.080584183
25jul2023,-.45598638,-.15776896,.10429758,-.1521941,-.23843926
26jul2023,.466398,.17223129,.035272259,-.31466416,.38515174
27jul2023,-1.802695,-.29561019,.093083642,1.3223137,-.86828071
28jul2023,.60484886,-.28437144,.19979757,-.47155511,-.020948619
31jul2023,-.11947885,.061539069,-.16005093,-.087202385,.014062565
