t,z_spreads,z_equities,z_liquidity,z_goldcurrency,z_roro
07jun2023,,,,,
14jun2023,-1.4416785,-.75683141,1.3597918,-.61348188,-1.1027243
21jun2023,.67557168,.30101657,-1.0638362,.056244168,.47268084
28jun2023,.26882255,.19174723,-.44999561,.90049797,.31325087
05jul2023,-1.6427331,.016899168,-.19704768,.1475962,-.61278087
12jul2023,.21543048,-.092085712,.31184578,-1.7367511,-.16616917
19jul2023,-.074935548,-.43558621,-.4079622,-.19368483,-.35551164
26jul2023,-.28338304,.066308759,-.0081155747,.6086815,.027370257
02aug2023,.28980348,1.0376663,.46429387,1.4990244,.91558141
09aug2023,.89234382,.14502054,-.36392269,.4867866,.4238078
16aug2023,-.90338278,.72143936,.14168024,.84982139,.22237559
23aug2023,.71317083,.10553516,.057173103,-.061362725,.41486269
30aug2023,-.57465178,-.85372245,.239667,-.33210522,-.80791146
06sep2023,-.27510458,.63713211,-.6265291,1.4854853,.4660432
13sep2023,-.090177737,.034480408,.74508226,.045456149,-.0061699967
20sep2023,-.93655998,-.058493238,-.79036671,-.16060427,-.45245194
27sep2023,1.500329,1.9282829,-.43086609,1.8365587,2.0488629
04oct2023,2.0513256,.82794297,1.1457715,1.1007831,1.534225
11oct2023,-.11656037,-1.4910665,-.70389611,-1.1022267,-1.1492765
18oct2023,.039730921,1.2973082,.62368399,-.36918861,.90706372
25oct2023,.75831681,.9438495,-.60738623,-.27750325,.89274478
01nov2023,.89577097,-.51475269,.63358873,.48572245,.10413874
08nov2023,-1.9176105,-1.2332971,-.30855268,-.14682741,-1.6506037
15nov2023,-1.0907557,-1.1041574,.83667439,-.60573608,-1.2670153
22nov2023,-.58319151,-.35932717,-.067048252,-.27512169,-.43298468
29nov2023,-.19252624,.07150875,.58770394,-1.2000285,-.13676107
06dec2023,-.60555094,-.20747907,.59831256,.83734912,-.26136911
13dec2023,-.35316566,-.46936989,.4493213,.046323307,-.40004927
20dec2023,-1.2322028,-.31125349,-.29366201,-.84592324,-.95068991
27dec2023,.22144528,-.39206931,.40857223,-1.4541613,-.36089957
03jan2024,1.3271552,.98229766,-1.0511883,1.5356652,1.3485075
10jan2024,-1.4873424,-.59018928,.15584916,.33068147,-.96161187
17jan2024,.73303509,.93544137,-1.007151,1.0906998,1.0047028
24jan2024,-.9615798,-.9941256,1.0364224,-.22197679,-1.069405
31jan2024,.84869587,-.0069244979,-.37021986,-.22825439,.30635217
07feb2024,-.56846732,-.32433534,-.3688395,.754327,-.35938874
14feb2024,-.65430546,.24991356,.13460712,1.0853724,-.021640519
21feb2024,-.4996807,-.20879054,-.41665319,-.60227674,-.44365451
28feb2024,-.050648853,-.51025659,.71608937,.079581767,-.33177322
06mar2024,.2453032,-.22765157,-.64339566,-1.5661596,-.20168272
13mar2024,-.76725924,-.48194146,-.037111856,-.38224965,-.67224371
20mar2024,.30255234,-.034182448,.69290805,.66857553,.2079681
27mar2024,.33242312,-.33064243,-.6204794,.27786142,-.060724381
03apr2024,.10007186,.60937566,.076109409,-1.1054351,.41407207
10apr2024,-.99419373,.62109268,-1.7420775,.37729129,.045894586
17apr2024,1.9051951,1.4220299,1.3953327,.4032464,1.7982297
24apr2024,-.92492825,-.89894104,-.22866988,.42933252,-.98091841
01may2024,-.32329509,.20789443,.051112976,.29324207,.068707027
08may2024,-.071245894,-1.1558579,.15251105,-.14014892,-.84383935
15may2024,.2599327,-.77677232,.21077983,-1.1933776,-.51453394
22may2024,-.5426833,.19458351,-.24369925,.43272042,-.038349725
29may2024,.11667804,.82079101,.42601579,.74616063,.65060121
05jun2024,.62008131,-.58278084,.069699965,-.34626791,-.19342619
12jun2024,-.43044829,-.023139453,.097949184,.42034176,-.13833819
19jun2024,1.2119377,.82077664,.5776273,.55950177,1.134796
26jun2024,.11015905,.088810652,-.29981723,.8066448,.14115931
03jul2024,-.084041663,-.60952437,-.33613479,-.87814248,-.48860389
10jul2024,-.01399736,-.26506555,-.20339535,-.11515401,-.23098755
