sample_index,Date,label_end_date,future_return,label,pred_class,correct,prob_down,prob_up,case,context_method,run_seed
996,2021-01-19T00:00:00,2021-02-08T00:00:00,0.2920853940585917,1,1,1,0.0031329202465713,0.9968671202659608,correct_up,film_full,42
995,2021-01-18T00:00:00,2021-02-07T00:00:00,0.0590866764925159,1,1,1,0.0049938005395233,0.9950062036514282,correct_up,film_full,42
2199,2024-05-06T00:00:00,2024-05-26T00:00:00,0.0845794970299305,1,1,1,0.0085760010406374,0.991424024105072,correct_up,film_full,42
991,2021-01-14T00:00:00,2021-02-03T00:00:00,-0.0389743131218944,0,1,0,0.0099828215315938,0.9900172352790833,incorrect_up,film_full,42
984,2021-01-07T00:00:00,2021-01-27T00:00:00,-0.2299164542349566,0,1,0,0.0110098896548151,0.988990068435669,incorrect_up,film_full,42
983,2021-01-06T00:00:00,2021-01-26T00:00:00,-0.1169884381996314,0,1,0,0.0114792017266154,0.9885207414627076,incorrect_up,film_full,42
2246,2024-06-22T00:00:00,2024-07-12T00:00:00,-0.0991707231068559,0,0,1,0.9638351202011108,0.0361649021506309,correct_down,film_full,42
2233,2024-06-09T00:00:00,2024-06-29T00:00:00,-0.1243602485292499,0,0,1,0.9593816995620728,0.0406183004379272,correct_down,film_full,42
1456,2022-04-24T00:00:00,2022-05-14T00:00:00,-0.2373475068396479,0,0,1,0.9541842937469482,0.0458157062530517,correct_down,film_full,42
1231,2021-09-11T00:00:00,2021-10-01T00:00:00,0.0657001896457871,1,0,0,0.9624983072280884,0.0375016927719116,incorrect_down,film_full,42
2256,2024-07-02T00:00:00,2024-07-22T00:00:00,0.0868511978745794,1,0,0,0.9162977933883668,0.0837022140622139,incorrect_down,film_full,42
1235,2021-09-15T00:00:00,2021-10-05T00:00:00,0.069627635599206,1,0,0,0.911299467086792,0.0887005031108856,incorrect_down,film_full,42
1314,2021-12-03T00:00:00,2021-12-23T00:00:00,-0.0515333188435674,0,0,1,0.5430396795272827,0.4569602906703949,correct_down,film_full,45
1825,2023-04-28T00:00:00,2023-05-18T00:00:00,-0.0849633422831156,0,0,1,0.5411882996559143,0.4588117301464081,correct_down,film_full,45
1115,2021-05-18T00:00:00,2021-06-07T00:00:00,-0.2169670416044142,0,0,1,0.540952742099762,0.4590472280979156,correct_down,film_full,45
1782,2023-03-16T00:00:00,2023-04-05T00:00:00,0.1268553905430585,1,0,0,0.5450951457023621,0.4549047946929931,incorrect_down,film_full,45
2370,2024-10-24T00:00:00,2024-11-13T00:00:00,0.3251829811543634,1,0,0,0.541867196559906,0.4581328332424164,incorrect_down,film_full,45
2369,2024-10-23T00:00:00,2024-11-12T00:00:00,0.3192409025831482,1,0,0,0.5404527187347412,0.459547221660614,incorrect_down,film_full,45
