n12_variant,svd_dim,context_dim,modulation_scale,freeze_classifier,experiment_name,context_method,run_seed,status,error,classification_available,trading_available,num_samples,accuracy,majority_class_accuracy,accuracy_minus_majority_class_accuracy,roc_auc,f1,brier_score,positive_rate,predicted_positive_rate,long_flat_sharpe_net,long_flat_annualized_return_net,long_short_sharpe_net,long_short_annualized_return_net,pretrained_loaded,num_trainable_parameters,num_frozen_parameters
n12a_uncertainty_gated_news_film,32,102,0.02,True,stage4_film_full_uncertainty_gated_last_block_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd32_w7_20_60_pretrained_frozen_s0p02,film_full_uncertainty_gated_last_block,42,ok,,True,True,1441,0.6037473976405274,0.5412907702984039,,0.6174774040885993,0.6558167570825798,0.2585977047153177,0.5412907702984039,0.6099930603747398,3.9026361534370713,8.977672609440456,3.048312743395641,8.82643298652306,True,38144,2952962
n12a_uncertainty_gated_news_film,32,102,0.02,True,stage4_film_full_uncertainty_gated_last_block_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd32_w7_20_60_pretrained_frozen_s0p02,film_full_uncertainty_gated_last_block,43,ok,,True,True,1441,0.57529493407356,0.5412907702984039,,0.5834574653787967,0.651877133105802,0.2803058825133839,0.5412907702984039,0.6786953504510757,3.7034037464474374,8.505546617869783,2.715194755058415,7.882181003381718,True,38144,2952962
n12a_uncertainty_gated_news_film,32,102,0.02,True,stage4_film_full_uncertainty_gated_last_block_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd32_w7_20_60_pretrained_frozen_s0p02,film_full_uncertainty_gated_last_block,44,ok,,True,True,1441,0.563497571131159,0.5412907702984039,,0.5612397688040653,0.6538249862410568,0.27940905440894803,0.5412907702984039,0.7196391394864677,3.159498454191953,7.611509385027411,2.090998053163773,6.094106537696972,True,38144,2952962
n12a_uncertainty_gated_news_film,32,102,0.02,True,stage4_film_full_uncertainty_gated_last_block_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd32_w7_20_60_pretrained_frozen_s0p02,film_full_uncertainty_gated_last_block,45,ok,,True,True,1441,0.5628036086051353,0.5412907702984039,,0.5651344117304782,0.64,0.27627241207913084,0.5412907702984039,0.6731436502428869,2.9866921182496444,7.201069583218532,1.806174916059024,5.272720341435219,True,38144,2952962
n12a_uncertainty_gated_news_film,32,102,0.02,True,stage4_film_full_uncertainty_gated_last_block_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd32_w7_20_60_pretrained_frozen_s0p02,film_full_uncertainty_gated_last_block,46,ok,,True,True,1441,0.5898681471200555,0.5412907702984039,,0.5982408161681989,0.6420351302241066,0.2757017499750045,0.5412907702984039,0.604441360166551,3.436943475563527,7.753192736677721,2.189222857120082,6.377473240997592,True,38144,2952962
n12a_uncertainty_gated_news_film,32,102,0.05,True,stage4_film_full_uncertainty_gated_last_block_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd32_w7_20_60_pretrained_frozen_s0p05,film_full_uncertainty_gated_last_block,42,ok,,True,True,1441,0.6016655100624566,0.5412907702984039,,0.6181543116490167,0.6516990291262136,0.2583944233907245,0.5412907702984039,0.6023594725884802,3.920726798569588,8.937055112752093,3.0195453147223015,8.745197993146336,True,38144,2952962
n12a_uncertainty_gated_news_film,32,102,0.05,True,stage4_film_full_uncertainty_gated_last_block_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd32_w7_20_60_pretrained_frozen_s0p05,film_full_uncertainty_gated_last_block,43,ok,,True,True,1441,0.5725190839694656,0.5412907702984039,,0.5836940920904612,0.6467889908256881,0.2798248931834177,0.5412907702984039,0.6689798750867453,3.6197807293123234,8.262569848278845,2.544725265420558,7.396227464199837,True,38144,2952962
n12a_uncertainty_gated_news_film,32,102,0.05,True,stage4_film_full_uncertainty_gated_last_block_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd32_w7_20_60_pretrained_frozen_s0p05,film_full_uncertainty_gated_last_block,44,ok,,True,True,1441,0.5628036086051353,0.5412907702984039,,0.5616994452849218,0.6496106785317018,0.2786777287637743,0.5412907702984039,0.7064538514920194,3.0874825285221528,7.343113533649581,1.9049056560271849,5.557314834941314,True,38144,2952962
n12a_uncertainty_gated_news_film,32,102,0.05,True,stage4_film_full_uncertainty_gated_last_block_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd32_w7_20_60_pretrained_frozen_s0p05,film_full_uncertainty_gated_last_block,45,ok,,True,True,1441,0.563497571131159,0.5412907702984039,,0.5651363512936886,0.6403659233847914,0.27626626004847255,0.5412907702984039,0.6724496877168633,2.991375538241149,7.211798830389661,1.8135930398504505,5.294178835777478,True,38144,2952962
n12a_uncertainty_gated_news_film,32,102,0.05,True,stage4_film_full_uncertainty_gated_last_block_i60_ohlc_ma_vb_r20_c60_news_tfidf_svd32_w7_20_60_pretrained_frozen_s0p05,film_full_uncertainty_gated_last_block,46,ok,,True,True,1441,0.5926439972241498,0.5412907702984039,,0.5985938166724853,0.6427267194157029,0.2755193043644543,0.5412907702984039,0.5988896599583623,3.4906703183012935,7.859486907437306,2.263208184366195,6.590061582516761,True,38144,2952962
