split,feature,pearson_with_label,spearman_with_future_return,auc_feature_predicts_up,auc_abs_signal,direction
train,ofr_fsi_value,0.12521402528741626,0.02270909915288578,0.5150307794468674,0.5150307794468674,higher -> up
train,ofr_fsi_mean_20,0.15664039634276158,0.1009298664915562,0.5579021518692008,0.5579021518692008,higher -> up
train,ofr_fsi_mean_60,0.09467524468660805,0.14689556305744744,0.5746603492524992,0.5746603492524992,higher -> up
train,ofr_fsi_delta_20,0.006840242154315494,-0.11136725649795938,0.46279096896929234,0.5372090310307076,higher -> down
train,ofr_fsi_delta_60,0.06641677845073711,-0.10717695414755421,0.4643523753118326,0.5356476246881674,higher -> down
train,ofr_fsi_std_60,0.15722936979371083,0.06121031620293484,0.5364821694574562,0.5364821694574562,higher -> up
validation,ofr_fsi_value,0.06452836216206928,0.007672557997556829,0.4941705187467899,0.50582948125321,higher -> down
validation,ofr_fsi_mean_20,0.07286955466770952,0.02092612845994421,0.5059065228556754,0.5059065228556754,higher -> up
validation,ofr_fsi_mean_60,0.021780415762607922,0.07854515532472338,0.5414997431946584,0.5414997431946584,higher -> up
validation,ofr_fsi_delta_20,0.051663897092939455,-0.012804390773591022,0.520005136106831,0.520005136106831,higher -> up
validation,ofr_fsi_delta_60,0.023055645012038956,-0.11218437389815883,0.44075500770416026,0.5592449922958398,higher -> down
validation,ofr_fsi_std_60,0.07790290485470519,-0.003979281744575368,0.4830508474576271,0.5169491525423728,higher -> down
test,ofr_fsi_value,0.012163126976824427,-0.01273395365671614,0.5076981263819388,0.5076981263819388,higher -> up
test,ofr_fsi_mean_20,-0.015331916998760506,-0.03181130283524055,0.4985579347530936,0.5014420652469064,higher -> down
test,ofr_fsi_mean_60,0.0021359405029016177,-0.004864591568599378,0.5067632569145428,0.5067632569145428,higher -> up
test,ofr_fsi_delta_20,0.11891029865704818,0.09400515719529315,0.5463458629116723,0.5463458629116723,higher -> up
test,ofr_fsi_delta_60,-0.11193034495648108,-0.14440469744030723,0.4462440358431281,0.5537559641568719,higher -> down
test,ofr_fsi_std_60,-0.11962060190572783,-0.14083526835306176,0.4345775631327825,0.5654224368672175,higher -> down
