model,accuracy_mean,accuracy_mean_delta_vs_stage2,roc_auc_mean,roc_auc_mean_delta_vs_stage2,brier_score_mean,brier_score_mean_delta_vs_stage2,f1_mean,f1_mean_delta_vs_stage2,predicted_positive_rate_mean,correction_count,regression_count,net_correction,accuracy_delta_vs_stage2,roc_auc_delta_vs_stage2
N8-B F&G-only bounded FiLM s0.02,0.580291,0.000972,0.58493,6.8e-05,0.274004,-0.000333,0.650814,-0.000257,0.660652,,,,,
N13-2 fsi_all,0.5798750867453157,,0.5848586058419645,,0.2741901913444625,-0.00014657706736536101,0.6513191117505913,0.0002479308139121228,0.6635669673837612,13.0,9.0,4.0,0.0005551700208188848,-4.2670390627774776e-06
N9 grid news SVD32 s0.02,0.579736,0.000416,0.585353,0.000491,0.273765,-0.000572,0.649307,-0.001764,0.657321,27.0,24.0,3.0,,
N12-C technical-only bounded FiLM s0.02,0.579736,0.000416,0.584778,-8.4e-05,0.274218,-0.000119,0.650834,-0.000237,0.662318,,,,,
N13-2 fsi_2,0.5795975017349063,,0.5848632607936693,,0.27425575156242843,-8.101684939939568e-05,0.6510580160700177,-1.3164866661496965e-05,0.6635669673837612,8.0,6.0,2.0,0.0002775850104094424,3.8791264209692147e-07
N9-A news SVD8 s0.02,0.579459,0.000139,0.58567,0.000808,0.273367,-0.00097,0.647509,-0.003562,0.65177,,,,,
N13-2 fsi_3,0.5794587092297017,,0.5848074013732107,,0.27425014928011027,-8.661913171753577e-05,0.6508438663574481,-0.000227314579231086,0.6631505898681471,9.0,8.0,1.0,0.0001387925052047212,-5.547150781641808e-05
n12b_confidence_gated_news_film s0.05,0.57932,0.0,0.585067,0.000206,0.274125,-0.000212,0.651071,0.0,0.6644,,,,,
N8-B F&G-only bounded FiLM s0.05,0.57932,0.0,0.584921,5.9e-05,0.273838,-0.000499,0.648829,-0.002242,0.656627,,,,,
n12b_confidence_gated_news_film s0.02,0.57932,0.0,0.584921,5.9e-05,0.274247,-9e-05,0.651071,0.0,0.6644,,,,,
Stage2 frozen baseline,0.57932,0.0,0.584862,0.0,0.274337,0.0,0.651071,0.0,0.6644,,,,,
N12-C technical-only bounded FiLM s0.05,0.57932,0.0,0.584684,-0.000178,0.274068,-0.000268,0.64992,-0.001151,0.660236,,,,,
n12a_uncertainty_gated_news_film s0.02,0.579042,-0.000278,0.58511,0.000248,0.274057,-0.000279,0.648711,-0.00236,0.657183,,,,,
N9 grid news SVD8 s0.05,0.578626,-0.000694,0.586619,0.001757,0.272327,-0.00201,0.64298,-0.008092,0.639001,,,,,
n12a_uncertainty_gated_news_film s0.05,0.578626,-0.000694,0.585456,0.000594,0.273737,-0.0006,0.646238,-0.004833,0.649827,,,,,
