analysis_name,run_seed,transition_type,count,seed_total,rate
n16_ohlc_vb_funding_plus_cftc_oi,42,both_correct,839,1441,0.582234559333796
n16_ohlc_vb_funding_plus_cftc_oi,42,both_wrong,559,1441,0.38792505204718947
n16_ohlc_vb_funding_plus_cftc_oi,42,correction,25,1441,0.01734906315058987
n16_ohlc_vb_funding_plus_cftc_oi,42,regression,18,1441,0.012491325468424705
n16_ohlc_vb_funding_plus_cftc_oi,43,both_correct,793,1441,0.5503122831367107
n16_ohlc_vb_funding_plus_cftc_oi,43,both_wrong,607,1441,0.421235253296322
n16_ohlc_vb_funding_plus_cftc_oi,43,correction,21,1441,0.01457321304649549
n16_ohlc_vb_funding_plus_cftc_oi,43,regression,20,1441,0.013879250520471894
n16_ohlc_vb_funding_plus_cftc_oi,44,both_correct,786,1441,0.5454545454545454
n16_ohlc_vb_funding_plus_cftc_oi,44,both_wrong,648,1441,0.4496877168632894
n16_ohlc_vb_funding_plus_cftc_oi,44,correction,5,1441,0.0034698126301179735
n16_ohlc_vb_funding_plus_cftc_oi,44,regression,2,1441,0.0013879250520471894
n16_ohlc_vb_funding_plus_cftc_oi,45,both_correct,804,1441,0.5579458709229702
n16_ohlc_vb_funding_plus_cftc_oi,45,both_wrong,621,1441,0.4309507286606523
n16_ohlc_vb_funding_plus_cftc_oi,45,correction,9,1441,0.006245662734212352
n16_ohlc_vb_funding_plus_cftc_oi,45,regression,7,1441,0.004857737682165163
n16_ohlc_vb_funding_plus_cftc_oi,46,both_correct,815,1441,0.5655794587092297
n16_ohlc_vb_funding_plus_cftc_oi,46,both_wrong,616,1441,0.42748091603053434
n16_ohlc_vb_funding_plus_cftc_oi,46,correction,6,1441,0.004163775156141568
n16_ohlc_vb_funding_plus_cftc_oi,46,regression,4,1441,0.002775850104094379
