bucket_family,bucket,n,unique_samples,diagnostic_only,stage2_accuracy,stage4_accuracy,delta_accuracy,stage2_predicted_up_rate,stage4_predicted_up_rate,corrections,regressions,net_corrections,net_correction_rate,changed_decisions,changed_decision_rate,mean_prob_up_delta,mean_future_return
all,all,7205,1441,False,0.567383761276891,0.5694656488549619,0.002081887578070818,0.7410131852879944,0.7289382373351839,66,51,15,0.002081887578070784,117,0.016238723108952118,-0.00591840131219934,0.02501141240734205
stage2_uncertain_45_55,yes,1237,830,False,0.5141471301535974,0.5262732417138237,0.01212611156022636,0.5505254648342764,0.4801940177849636,66,51,15,0.012126111560226353,117,0.09458367016976556,-0.006800418552508161,0.026672989072229644
stage2_uncertain_45_55,no,5968,1440,False,0.5784182305630027,0.5784182305630027,0.0,0.7804959785522788,0.7804959785522788,0,0,0,0.0,0,0.0,-0.005735583730721122,0.024667013892853785
stage2_uncertain_40_60,yes,2589,1194,False,0.5392043259945926,0.5449980687524141,0.005793742757821518,0.623020471224411,0.589416763229046,66,51,15,0.005793742757821553,117,0.04519119351100811,-0.006494566734898916,0.02999535919872489
stage2_uncertain_40_60,no,4616,1426,False,0.5831889081455806,0.5831889081455806,0.0,0.8071923743500866,0.8071923743500866,0,0,0,0.0,0,0.0,-0.005595244405923518,0.022216040171014015
funding_mean_20_high20,yes,1445,289,False,0.5840830449826989,0.5923875432525951,0.00830449826989621,0.6934256055363321,0.6698961937716263,24,12,12,0.008304498269896194,36,0.02491349480968858,-0.008935330545201021,0.018721177404151843
funding_mean_20_high20,no,5760,1152,False,0.5631944444444444,0.5637152777777777,0.0005208333333333037,0.7529513888888889,0.74375,42,39,3,0.0005208333333333333,81,0.0140625,-0.005161550141767495,0.026589431431579873
funding_mean_20_low20,yes,1445,289,False,0.532871972318339,0.5356401384083045,0.0027681660899654403,0.8242214532871972,0.815916955017301,12,8,4,0.002768166089965398,20,0.01384083044982699,-0.004499367688972647,0.02857222994255172
funding_mean_20_low20,no,5760,1152,False,0.5760416666666667,0.5779513888888889,0.0019097222222221877,0.7201388888888889,0.7071180555555555,54,43,11,0.0019097222222222222,97,0.016840277777777777,-0.0062743915180261765,0.02411811703609587
funding_max_7_high20,yes,1445,289,False,0.5951557093425606,0.6006920415224913,0.00553633217993077,0.7453287197231834,0.7245674740484429,20,12,8,0.005536332179930796,32,0.022145328719723183,-0.008580536598977746,0.044445249717946896
funding_max_7_high20,no,5760,1152,False,0.5604166666666667,0.5616319444444444,0.0012152777777777457,0.7399305555555555,0.7300347222222222,46,39,7,0.0012152777777777778,85,0.014756944444444444,-0.005250556609179411,0.020136083429247605
funding_abs_mean_20_high20,yes,1445,289,False,0.5404844290657439,0.5460207612456748,0.005536332179930881,0.7384083044982699,0.714878892733564,23,15,8,0.005536332179930796,38,0.02629757785467128,-0.008173725447233987,0.03206631892462213
funding_abs_mean_20_high20,no,5760,1152,False,0.5741319444444445,0.5753472222222222,0.0012152777777777457,0.7416666666666667,0.7324652777777778,43,36,7,0.0012152777777777778,79,0.013715277777777778,-0.0053526125317956835,0.02324156172722578
cftc_oi_change_20_high20,yes,2070,414,False,0.5743961352657004,0.5777777777777777,0.0033816425120772875,0.7797101449275362,0.7685990338164251,21,14,7,0.003381642512077295,35,0.016908212560386472,-0.00561629955607336,0.021730513558745442
cftc_oi_change_20_high20,no,5135,1027,False,0.5645569620253165,0.5661148977604674,0.0015579357351509504,0.7254138266796495,0.7129503407984421,45,37,8,0.001557935735150925,82,0.01596884128529698,-0.006040183324892774,0.02633399480589998
cftc_oi_change_20_low20,yes,2045,409,False,0.5530562347188264,0.5540342298288509,0.0009779951100244988,0.7403422982885085,0.7295843520782396,15,13,2,0.0009779951100244498,28,0.013691931540342298,-0.005893877432806859,0.01709977517651695
cftc_oi_change_20_low20,no,5160,1032,False,0.5730620155038759,0.5755813953488372,0.0025193798449613114,0.7412790697674418,0.7286821705426356,51,38,13,0.0025193798449612403,89,0.017248062015503877,-0.005928120562850044,0.028146935302116725
cftc_oi_zscore_60_high20,yes,1445,289,False,0.5605536332179931,0.5598615916955018,-0.0006920415224913601,0.7245674740484429,0.7141868512110726,13,14,-1,-0.0006920415224913495,27,0.018685121107266434,-0.006022262748549966,0.00992724196248613
cftc_oi_zscore_60_high20,no,5760,1152,False,0.5690972222222223,0.571875,0.002777777777777768,0.7451388888888889,0.7326388888888888,53,37,16,0.002777777777777778,90,0.015625,-0.005892345795614852,0.028795548916511635
lev_money_net_ratio_high20,yes,1465,293,False,0.5843003412969283,0.5877133105802048,0.0034129692832765013,0.7556313993174062,0.7481228668941979,14,9,5,0.0034129692832764505,23,0.015699658703071672,-0.0051643734295620455,0.052318983185916115
lev_money_net_ratio_high20,no,5740,1148,False,0.5630662020905923,0.564808362369338,0.0017421602787456303,0.7372822299651568,0.7240418118466899,52,42,10,0.0017421602787456446,94,0.016376306620209058,-0.006110849195137257,0.01804179721734013
lev_money_net_ratio_low20,yes,1465,293,False,0.5324232081911263,0.531740614334471,-0.0006825938566553669,0.6846416382252559,0.6648464163822526,14,15,-1,-0.0006825938566552901,29,0.019795221843003412,-0.008048525005070422,0.007507637068963477
lev_money_net_ratio_low20,no,5740,1148,False,0.5763066202090592,0.5790940766550523,0.0027874564459930973,0.7554006968641115,0.7452961672473868,52,36,16,0.0027874564459930314,88,0.015331010452961672,-0.005374737338321965,0.02947883938830452
lev_money_net_ratio_change_20_high20,yes,1445,289,False,0.5854671280276816,0.5875432525951557,0.0020761245674740803,0.7619377162629758,0.7529411764705882,12,9,3,0.0020761245674740486,21,0.01453287197231834,-0.005093474062256334,0.005973972651340565
