image_spec,context_feature_set,run_seed,num_samples,stage2_accuracy,stage4_accuracy,accuracy_delta_stage4_minus_stage2,stage2_predicted_positive_rate,stage4_predicted_positive_rate,mean_true_prob_delta_stage4_minus_stage2,stage2_wrong_to_stage4_correct,stage2_correct_to_stage4_wrong,both_correct,both_wrong
ohlc,technical_all,42,1441,0.5419847328244275,0.5419847328244275,0.0,0.9632199861207494,0.9576682859125608,-0.0002638338900208,4,4,777,656
ohlc,technical_all,43,1441,0.5412907702984039,0.5412907702984039,0.0,1.0,1.0,0.0001590113148434,0,0,780,661
ohlc,technical_all,44,1441,0.5697432338653713,0.5697432338653713,0.0,0.8105482303955587,0.8105482303955587,-4.052112782522751e-06,0,0,821,620
ohlc,technical_all,45,1441,0.5655794587092297,0.5662734212352533,0.0006939625260236,0.768910478834143,0.765440666204025,-0.0004433087130787,3,2,813,623
ohlc,technical_all,46,1441,0.5718251214434421,0.5711311589174185,-0.0006939625260236,0.7057598889659958,0.703678001387925,-0.0001346362724972,2,3,821,615
ohlc_ma,volume_volatility,42,1441,0.5711311589174185,0.5711311589174185,0.0,0.8230395558639834,0.8202637057598889,-0.0002843278003268,2,2,821,616
ohlc_ma,volume_volatility,43,1441,0.5322692574600971,0.5343511450381679,0.0020818875780708,0.5079805690492714,0.5128383067314365,0.0004702971978041,5,2,765,669
ohlc_ma,volume_volatility,44,1441,0.5579458709229702,0.5579458709229702,0.0,0.6419153365718251,0.6419153365718251,-1.7358204718305065e-06,0,0,804,637
ohlc_ma,volume_volatility,45,1441,0.5378209576682859,0.5378209576682859,0.0,0.6384455239417072,0.6384455239417072,-4.785410842698655e-05,0,0,775,666
ohlc_ma,volume_volatility,46,1441,0.5884802220680083,0.5870922970159611,-0.0013879250520472,0.678001387925052,0.6752255378209576,-0.0001084571995104,1,3,845,592
ohlc_vb,bb_trend,42,1441,0.5947258848022207,0.5954198473282443,0.0006939625260236,0.8105482303955587,0.8029146426092991,-0.0003302548957069,6,5,852,578
ohlc_vb,bb_trend,43,1441,0.5641915336571826,0.5607217210270645,-0.003469812630118,0.7536433032616239,0.7446217904233171,-0.0004740958719266,4,9,804,624
ohlc_vb,bb_trend,44,1441,0.5468424705065926,0.5482303955586398,0.0013879250520472,0.6210964607911172,0.6224843858431645,0.0002197714872777,2,0,788,651
ohlc_vb,bb_trend,45,1441,0.5628036086051353,0.5628036086051353,0.0,0.945176960444136,0.945176960444136,-1.1490480838592376e-05,0,0,811,630
ohlc_vb,bb_trend,46,1441,0.5683553088133241,0.5704371963913949,0.0020818875780708,0.5746009715475364,0.5766828591256072,0.0002545764531467,3,0,819,619
ohlc_ma_vb,technical_all_control,42,1441,0.6030534351145038,0.6030534351145038,0.0,0.6162387231089521,0.6148507980569049,-6.343586800786528e-05,1,1,868,571
ohlc_ma_vb,technical_all_control,43,1441,0.5746009715475364,0.5746009715475364,0.0,0.6835530881332408,0.6835530881332408,-1.0571938258836604e-05,0,0,828,613
ohlc_ma_vb,technical_all_control,44,1441,0.5628036086051353,0.5641915336571826,0.0013879250520472,0.7314365024288688,0.7231089521165857,-0.000584572912979,7,5,806,623
ohlc_ma_vb,technical_all_control,45,1441,0.5628036086051353,0.5628036086051353,0.0,0.6731436502428869,0.6731436502428869,-3.2315342212038603e-06,0,0,811,630
ohlc_ma_vb,technical_all_control,46,1441,0.5933379597501734,0.594031922276197,0.0006939625260236,0.6176266481609993,0.6169326856349757,0.0001617488254179,3,2,853,583
