experiment_name,image_window,return_horizon,image_spec,context_method,context_feature_set,context_features,modulation_scale,run_seed,status,error,classification_available,trading_available,num_samples,accuracy,majority_class_accuracy,roc_auc,average_precision,f1,brier_score,predicted_positive_rate,accuracy_minus_majority_class_accuracy,long_flat_sharpe_net,long_flat_annualized_return_net,long_short_sharpe_net,long_short_annualized_return_net,pretrained_loaded,freeze_visual_backbone,freeze_classifier,num_trainable_parameters,num_frozen_parameters
stage4_film_full_bounded_last_block_i60_ohlc_r20_c60_n15b_technical_all_pretrained_frozen_s0p02,60,20,ohlc,film_full_bounded_last_block,technical_all,bb_percent_b_60|bb_bandwidth_60|mfi_60|rv_60,0.02,42,ok,,True,True,1441,0.5419847328244275,0.5412907702984039,0.5434403972225454,0.558198515939609,0.6944444444444445,0.2544609166008413,0.9576682859125607,0.000693962526023606,3.1705041489787043,9.005410083254652,3.068010080159819,8.881907934151453,True,True,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_r20_c60_n15b_technical_all_pretrained_frozen_s0p02,60,20,ohlc,film_full_bounded_last_block,technical_all,bb_percent_b_60|bb_bandwidth_60|mfi_60|rv_60,0.02,43,ok,,True,True,1441,0.5412907702984039,0.5412907702984039,0.5495335350479071,0.5891700523556831,0.7023863124718596,0.2484510718630938,1.0,0.0,3.1556853568046463,9.128912232357852,3.1556853568046463,9.128912232357852,True,True,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_r20_c60_n15b_technical_all_pretrained_frozen_s0p02,60,20,ohlc,film_full_bounded_last_block,technical_all,bb_percent_b_60|bb_bandwidth_60|mfi_60|rv_60,0.02,44,ok,,True,True,1441,0.5697432338653713,0.5412907702984039,0.5794367508437099,0.6150805625658157,0.6817248459958933,0.2513387819796099,0.8105482303955587,0.0284524635669674,3.1028364213953865,7.843236183233752,2.2520181411086586,6.55756013410965,True,True,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_r20_c60_n15b_technical_all_pretrained_frozen_s0p02,60,20,ohlc,film_full_bounded_last_block,technical_all,bb_percent_b_60|bb_bandwidth_60|mfi_60|rv_60,0.02,45,ok,,True,True,1441,0.5662734212352533,0.5412907702984039,0.5671767717909927,0.5861054418695025,0.6680828465215082,0.25824649409403805,0.765440666204025,0.02498265093684937,3.1770297631725573,8.016650455477249,2.3727556249828727,6.904388678596651,True,True,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_r20_c60_n15b_technical_all_pretrained_frozen_s0p02,60,20,ohlc,film_full_bounded_last_block,technical_all,bb_percent_b_60|bb_bandwidth_60|mfi_60|rv_60,0.02,46,ok,,True,True,1441,0.5711311589174185,0.5412907702984039,0.5656910663718531,0.5756663614230155,0.6555183946488294,0.2513794024489139,0.703678001387925,0.029840388619014613,2.8254495094374446,6.690028979644152,1.4538446213582596,4.250639134286453,True,True,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_r20_c60_n15b_volume_volatility_pretrained_frozen_s0p02,60,20,ohlc_ma,film_full_bounded_last_block,volume_volatility,mfi_60|rv_60,0.02,42,ok,,True,True,1441,0.5711311589174185,0.5412907702984039,0.5606288063928003,0.5764890727134321,0.6850152905198778,0.26472048215452465,0.8202637057598889,0.029840388619014613,3.5676781080808726,9.143698822649023,3.1661435651209744,9.158485412940191,True,True,True,34944,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_r20_c60_n15b_volume_volatility_pretrained_frozen_s0p02,60,20,ohlc_ma,film_full_bounded_last_block,volume_volatility,mfi_60|rv_60,0.02,43,ok,,True,True,1441,0.5343511450381679,0.5412907702984039,0.5439854144846581,0.5677136712476363,0.5582620144832127,0.29853430142079024,0.5128383067314365,-0.006939625260235949,2.797947020497031,5.816015453967246,0.8543098341262492,2.502612082932645,True,True,True,34944,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_r20_c60_n15b_volume_volatility_pretrained_frozen_s0p02,60,20,ohlc_ma,film_full_bounded_last_block,volume_volatility,mfi_60|rv_60,0.02,44,ok,,True,True,1441,0.5579458709229702,0.5412907702984039,0.5704313588579852,0.5896919321501575,0.6263929618768328,0.29409508477426183,0.6419153365718251,0.01665510062456632,3.0750270434457034,7.165701801627592,1.782039320741241,5.202491370897334,True,True,True,34944,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_r20_c60_n15b_volume_volatility_pretrained_frozen_s0p02,60,20,ohlc_ma,film_full_bounded_last_block,volume_volatility,mfi_60|rv_60,0.02,45,ok,,True,True,1441,0.5378209576682859,0.5412907702984039,0.5594030024438497,0.587211160393664,0.6082352941176472,0.2755865356357872,0.6384455239417072,-0.00346981263011803,2.68821858825789,6.258532702688478,1.157454191703277,3.38764658037511,True,True,True,34944,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_r20_c60_n15b_volume_volatility_pretrained_frozen_s0p02,60,20,ohlc_ma,film_full_bounded_last_block,volume_volatility,mfi_60|rv_60,0.02,46,ok,,True,True,1441,0.5870922970159611,0.5412907702984039,0.5882656425772916,0.5943332732392911,0.6605818596691386,0.2604177170872481,0.6752255378209576,0.04580152671755722,3.3159240393444436,7.804315367873416,2.2249217313301424,6.479718503388982,True,True,True,34944,2952962
