image_spec,context_feature_set,run_seed,num_samples,stage2_accuracy,stage4_accuracy,accuracy_delta_stage4_minus_stage2,stage2_predicted_positive_rate,stage4_predicted_positive_rate,mean_true_prob_delta_stage4_minus_stage2,stage2_wrong_to_stage4_correct,stage2_correct_to_stage4_wrong,both_correct,both_wrong
ohlc,fg_only,42,1441,0.5419847328244275,0.5419847328244275,0.0,0.9632199861207494,0.9562803608605136,-0.000333554644621,5,5,776,655
ohlc,fg_only,43,1441,0.5412907702984039,0.5412907702984039,0.0,1.0,1.0,-1.906928794405481e-05,0,0,780,661
ohlc,fg_only,44,1441,0.5697432338653713,0.5697432338653713,0.0,0.8105482303955587,0.8105482303955587,-1.4435616241070598e-06,0,0,821,620
ohlc,fg_only,45,1441,0.5655794587092297,0.5648854961832062,-0.0006939625260234,0.768910478834143,0.765440666204025,-0.0003330356736798,2,3,812,624
ohlc,fg_only,46,1441,0.5718251214434421,0.5704371963913949,-0.0013879250520472,0.7057598889659958,0.7029840388619014,-0.0001526212191763,1,3,821,616
ohlc_ma,fg_only,42,1441,0.5711311589174185,0.5690492713393477,-0.0020818875780708,0.8230395558639834,0.816793893129771,-0.0003651619153995,3,6,817,615
ohlc_ma,fg_only,43,1441,0.5322692574600971,0.5329632199861207,0.0006939625260236,0.5079805690492714,0.5183900069396252,0.0003879210542652,8,7,760,666
ohlc_ma,fg_only,44,1441,0.5579458709229702,0.5579458709229702,0.0,0.6419153365718251,0.6419153365718251,-2.9852397941556503e-06,0,0,804,637
ohlc_ma,fg_only,45,1441,0.5378209576682859,0.5378209576682859,0.0,0.6384455239417072,0.6384455239417072,-7.103527537408489e-06,0,0,775,666
ohlc_ma,fg_only,46,1441,0.5884802220680083,0.5857043719639139,-0.0027758501040944,0.678001387925052,0.6738376127689105,-0.0002164891445951,1,5,843,592
ohlc_vb,fg_only,42,1441,0.5947258848022207,0.5968077723802915,0.0020818875780708,0.8105482303955587,0.8001387925052047,-0.0003379419146106,9,6,851,575
ohlc_vb,fg_only,43,1441,0.5641915336571826,0.5621096460791117,-0.0020818875780708,0.7536433032616239,0.7418459403192228,-0.0002952284340557,7,10,803,621
ohlc_vb,fg_only,44,1441,0.5468424705065926,0.5475364330326162,0.0006939625260236,0.6210964607911172,0.6245662734212353,3.5374989574109054e-05,3,2,786,650
ohlc_vb,fg_only,45,1441,0.5628036086051353,0.563497571131159,0.0006939625260236,0.945176960444136,0.9444829979181124,-0.0001917079783908,1,0,811,629
ohlc_vb,fg_only,46,1441,0.5683553088133241,0.5697432338653713,0.0013879250520472,0.5746009715475364,0.5773768216516308,0.0001063305913037,3,1,818,619
ohlc_ma_vb,fg_only,42,1441,0.6030534351145038,0.6037473976405274,0.0006939625260236,0.6162387231089521,0.6141568355308813,-0.0002632116062578,2,1,868,570
ohlc_ma_vb,fg_only,43,1441,0.5746009715475364,0.5732130464954892,-0.0013879250520472,0.6835530881332408,0.6793893129770993,-0.000172459901072,2,4,824,611
ohlc_ma_vb,fg_only,44,1441,0.5628036086051353,0.5669673837612769,0.0041637751561415,0.7314365024288688,0.7203331020124913,-0.0003863551946696,11,5,806,619
ohlc_ma_vb,fg_only,45,1441,0.5628036086051353,0.5628036086051353,0.0,0.6731436502428869,0.6731436502428869,-2.4354453718874093e-06,0,0,811,630
ohlc_ma_vb,fg_only,46,1441,0.5933379597501734,0.5947258848022207,0.0013879250520472,0.6176266481609993,0.6162387231089521,4.772908887376808e-05,6,4,851,580
