image_spec,context_feature_set,run_seed,transition,count,seed_total,rate
ohlc,fg_only,42,both_correct,776,1441,0.5385149201943095
ohlc,fg_only,42,both_wrong,655,1441,0.4545454545454545
ohlc,fg_only,42,stage2_correct_to_stage4_wrong,5,1441,0.0034698126301179
ohlc,fg_only,42,stage2_wrong_to_stage4_correct,5,1441,0.0034698126301179
ohlc,fg_only,43,both_correct,780,1441,0.5412907702984039
ohlc,fg_only,43,both_wrong,661,1441,0.4587092297015961
ohlc,fg_only,44,both_correct,821,1441,0.5697432338653713
ohlc,fg_only,44,both_wrong,620,1441,0.4302567661346287
ohlc,fg_only,45,both_correct,812,1441,0.563497571131159
ohlc,fg_only,45,both_wrong,624,1441,0.4330326162387231
ohlc,fg_only,45,stage2_correct_to_stage4_wrong,3,1441,0.0020818875780707
ohlc,fg_only,45,stage2_wrong_to_stage4_correct,2,1441,0.0013879250520471
ohlc,fg_only,46,both_correct,821,1441,0.5697432338653713
ohlc,fg_only,46,both_wrong,616,1441,0.4274809160305343
ohlc,fg_only,46,stage2_correct_to_stage4_wrong,3,1441,0.0020818875780707
ohlc,fg_only,46,stage2_wrong_to_stage4_correct,1,1441,0.0006939625260235
ohlc_ma,fg_only,42,both_correct,817,1441,0.5669673837612769
ohlc_ma,fg_only,42,both_wrong,615,1441,0.4267869535045107
ohlc_ma,fg_only,42,stage2_correct_to_stage4_wrong,6,1441,0.0041637751561415
ohlc_ma,fg_only,42,stage2_wrong_to_stage4_correct,3,1441,0.0020818875780707
ohlc_ma,fg_only,43,both_correct,760,1441,0.527411519777932
ohlc_ma,fg_only,43,both_wrong,666,1441,0.4621790423317141
ohlc_ma,fg_only,43,stage2_correct_to_stage4_wrong,7,1441,0.0048577376821651
ohlc_ma,fg_only,43,stage2_wrong_to_stage4_correct,8,1441,0.0055517002081887
ohlc_ma,fg_only,44,both_correct,804,1441,0.5579458709229702
ohlc_ma,fg_only,44,both_wrong,637,1441,0.4420541290770298
ohlc_ma,fg_only,45,both_correct,775,1441,0.5378209576682859
ohlc_ma,fg_only,45,both_wrong,666,1441,0.4621790423317141
ohlc_ma,fg_only,46,both_correct,843,1441,0.5850104094378904
ohlc_ma,fg_only,46,both_wrong,592,1441,0.4108258154059681
ohlc_ma,fg_only,46,stage2_correct_to_stage4_wrong,5,1441,0.0034698126301179
ohlc_ma,fg_only,46,stage2_wrong_to_stage4_correct,1,1441,0.0006939625260235
ohlc_vb,fg_only,42,both_correct,851,1441,0.5905621096460791
ohlc_vb,fg_only,42,both_wrong,575,1441,0.3990284524635669
ohlc_vb,fg_only,42,stage2_correct_to_stage4_wrong,6,1441,0.0041637751561415
ohlc_vb,fg_only,42,stage2_wrong_to_stage4_correct,9,1441,0.0062456627342123
ohlc_vb,fg_only,43,both_correct,803,1441,0.5572519083969466
ohlc_vb,fg_only,43,both_wrong,621,1441,0.4309507286606523
ohlc_vb,fg_only,43,stage2_correct_to_stage4_wrong,10,1441,0.0069396252602359
ohlc_vb,fg_only,43,stage2_wrong_to_stage4_correct,7,1441,0.0048577376821651
ohlc_vb,fg_only,44,both_correct,786,1441,0.5454545454545454
ohlc_vb,fg_only,44,both_wrong,650,1441,0.4510756419153365
ohlc_vb,fg_only,44,stage2_correct_to_stage4_wrong,2,1441,0.0013879250520471
ohlc_vb,fg_only,44,stage2_wrong_to_stage4_correct,3,1441,0.0020818875780707
ohlc_vb,fg_only,45,both_correct,811,1441,0.5628036086051353
ohlc_vb,fg_only,45,both_wrong,629,1441,0.4365024288688411
ohlc_vb,fg_only,45,stage2_wrong_to_stage4_correct,1,1441,0.0006939625260235
ohlc_vb,fg_only,46,both_correct,818,1441,0.5676613462873005
ohlc_vb,fg_only,46,both_wrong,619,1441,0.4295628036086051
ohlc_vb,fg_only,46,stage2_correct_to_stage4_wrong,1,1441,0.0006939625260235
ohlc_vb,fg_only,46,stage2_wrong_to_stage4_correct,3,1441,0.0020818875780707
ohlc_ma_vb,fg_only,42,both_correct,868,1441,0.6023594725884802
ohlc_ma_vb,fg_only,42,both_wrong,570,1441,0.3955586398334489
ohlc_ma_vb,fg_only,42,stage2_correct_to_stage4_wrong,1,1441,0.0006939625260235
ohlc_ma_vb,fg_only,42,stage2_wrong_to_stage4_correct,2,1441,0.0013879250520471
ohlc_ma_vb,fg_only,43,both_correct,824,1441,0.5718251214434421
ohlc_ma_vb,fg_only,43,both_wrong,611,1441,0.4240111034004163
ohlc_ma_vb,fg_only,43,stage2_correct_to_stage4_wrong,4,1441,0.0027758501040943
ohlc_ma_vb,fg_only,43,stage2_wrong_to_stage4_correct,2,1441,0.0013879250520471
ohlc_ma_vb,fg_only,44,both_correct,806,1441,0.5593337959750173
ohlc_ma_vb,fg_only,44,both_wrong,619,1441,0.4295628036086051
ohlc_ma_vb,fg_only,44,stage2_correct_to_stage4_wrong,5,1441,0.0034698126301179
ohlc_ma_vb,fg_only,44,stage2_wrong_to_stage4_correct,11,1441,0.0076335877862595
ohlc_ma_vb,fg_only,45,both_correct,811,1441,0.5628036086051353
ohlc_ma_vb,fg_only,45,both_wrong,630,1441,0.4371963913948646
ohlc_ma_vb,fg_only,46,both_correct,851,1441,0.5905621096460791
ohlc_ma_vb,fg_only,46,both_wrong,580,1441,0.4024982650936849
ohlc_ma_vb,fg_only,46,stage2_correct_to_stage4_wrong,4,1441,0.0027758501040943
ohlc_ma_vb,fg_only,46,stage2_wrong_to_stage4_correct,6,1441,0.0041637751561415
