feature,normalized_column,group,missing_rate_all,missing_rate_train,missing_rate_validation,missing_rate_test,train_mean,train_std,train_unique,train_corr_label,train_spearman_label,train_corr_future_return,train_spearman_future_return,train_spearman_end_index,train_abs_spearman_end_index,train_univariate_auc,train_univariate_auc_lift,train_abs_auc_lift,test_spearman_stage2_error_rate,test_abs_spearman_stage2_error_rate,test_spearman_stage2_uncertainty,test_abs_spearman_stage2_uncertainty,train_only_candidate_score
funding_rate_max_7,funding_rate_max_7_normalized,bitmex_funding,0.0,0.0,0.0,0.0,0.0,1.0007459904058664,110,-0.2690779624092925,-0.36236664906224564,-0.27913881377475813,-0.44144970596336996,-0.07952121056258041,0.07952121056258041,0.3035095748308477,-0.19649042516915233,0.19649042516915233,-0.01990779500330085,0.01990779500330085,-0.018057774290213602,0.018057774290213602,0.44144970596336996
funding_rate_max_20,funding_rate_max_20_normalized,bitmex_funding,0.0,0.0,0.0,0.0,2.117862103606856e-17,1.0007459904058675,69,-0.2807534695388394,-0.33818094381157365,-0.2491228248714536,-0.4041143908867412,-0.1244997223279024,0.1244997223279024,0.30670417631328634,-0.19329582368671366,0.19329582368671366,-0.035211346441882015,0.035211346441882015,-0.011628922670181554,0.011628922670181554,0.4041143908867412
funding_rate_sum_20,funding_rate_sum_20_normalized,bitmex_funding,0.0,0.0,0.0,0.0,3.176793155410284e-17,1.0007459904058729,603,-0.2907789164728331,-0.2997988063126309,-0.2807281733732062,-0.33271586694468847,0.20930834579046953,0.20930834579046953,0.32604228360164395,-0.17395771639835605,0.17395771639835605,-0.04778253617291517,0.04778253617291517,0.013782132244614245,0.013782132244614245,0.3479154327967121
funding_rate_mean_20,funding_rate_mean_20_normalized,bitmex_funding,0.0,0.0,0.0,0.0,4.235724207213712e-17,1.0007459904058744,613,-0.29077891647282567,-0.2997832429693293,-0.28072817337319605,-0.3326760572057595,0.20933145415355042,0.20933145415355042,0.3260512572013137,-0.17394874279868627,0.17394874279868627,-0.047793980066955545,0.047793980066955545,0.013784864446116905,0.013784864446116905,0.34789748559737255
funding_rate_mean_7,funding_rate_mean_7_normalized,bitmex_funding,0.0,0.0,0.0,0.0,-2.117862103606856e-17,1.0007459904058733,599,-0.25093205866766144,-0.26602388459842075,-0.26430157512071895,-0.3044347937281608,0.23732164506706327,0.23732164506706327,0.345640625280425,-0.154359374719575,0.154359374719575,-0.028515072761311416,0.028515072761311416,0.0098878614403192,0.0098878614403192,0.30871874943915
funding_rate_sum_7,funding_rate_sum_7_normalized,bitmex_funding,0.0,0.0,0.0,0.0,0.0,1.0007459904058735,589,-0.25093205866767,-0.26600845114051896,-0.26430157512072966,-0.30442829594747406,0.23735879235727803,0.23735879235727803,0.3456495988800948,-0.15435040111990522,0.15435040111990522,-0.02855087252452812,0.02855087252452812,0.00989022932876167,0.00989022932876167,0.30870080223981045
bitmex_foreignnotional_mean_60,bitmex_foreignnotional_mean_60_normalized,bitmex_activity,0.0,0.0,0.0,0.0,-1.4825034725247993e-16,1.000745990405875,659,-0.23442786457576176,-0.2578648880088531,-0.23749990511269525,-0.28618755593662604,-0.29713092191548274,0.29713092191548274,0.35037419910622947,-0.14962580089377053,0.14962580089377053,0.012464475242455997,0.012464475242455997,-0.0461982845481576,0.0461982845481576,0.29925160178754107
bitmex_volume_mean_60,bitmex_volume_mean_60_normalized,bitmex_activity,0.0,0.0,0.0,0.0,-1.4825034725247993e-16,1.000745990405875,659,-0.23442786457576176,-0.2578648880088531,-0.23749990511269525,-0.28618755593662604,-0.29713092191548274,0.29713092191548274,0.35037419910622947,-0.14962580089377053,0.14962580089377053,0.012464475242455997,0.012464475242455997,-0.0461982845481576,0.0461982845481576,0.29925160178754107
funding_rate_max_60,funding_rate_max_60_normalized,bitmex_funding,0.0,0.0,0.0,0.0,0.0,1.0007459904058742,43,-0.20114740879988768,-0.23719264576300314,-0.17245788057597192,-0.24131768643647586,-0.25193066226730104,0.25193066226730104,0.3625738078572839,-0.13742619214271612,0.13742619214271612,0.010599664322153283,0.010599664322153283,-0.06629667541049777,0.06629667541049777,0.27485238428543224
funding_rate_mean_60,funding_rate_mean_60_normalized,bitmex_funding,0.0,0.0,0.0,0.0,4.235724207213712e-17,1.0007459904058735,620,-0.16990936316725805,-0.21437718647671486,-0.22612802486085826,-0.266974989590623,0.2788439902216808,0.2788439902216808,0.37560796137762703,-0.12439203862237297,0.12439203862237297,-0.001509376371162173,0.001509376371162173,-0.0847365749451534,0.0847365749451534,0.266974989590623
