feature,group,max_prior_abs_corr_train,max_prior_feature,prior_family
funding_rate_sum_60,bitmex_funding,0.9695715288308101,technical__rv_60_normalized,technical
funding_rate_mean_60,bitmex_funding,0.9695715288308101,technical__rv_60_normalized,technical
bitmex_volume_mean_60,bitmex_activity,0.9597589096585067,technical__rv_60_normalized,technical
bitmex_foreignnotional_mean_60,bitmex_activity,0.9597589096585067,technical__rv_60_normalized,technical
cot_asset_mgr_net_ratio,cftc_cme_oi_positioning,0.9531144186056006,technical__bb_bandwidth_60_normalized,technical
bitmex_trades_mean_60,bitmex_activity,0.9358384119495369,technical__rv_60_normalized,technical
funding_rate_max_60,bitmex_funding,0.9325367186581808,fear_greed__fg_std_60_normalized,fear_greed
bitmex_homenotional_mean_60,bitmex_activity,0.9283382572453203,technical__rv_60_normalized,technical
bitmex_turnover_mean_60,bitmex_activity,0.9283382572453188,technical__rv_60_normalized,technical
cot_asset_mgr_net_ratio_change_20,cftc_cme_oi_positioning,0.9262002823778385,technical__bb_bandwidth_60_normalized,technical
funding_rate_mean_20,bitmex_funding,0.9187675485594342,technical__bb_bandwidth_60_normalized,technical
funding_rate_sum_20,bitmex_funding,0.9187675485594285,technical__bb_bandwidth_60_normalized,technical
cot_open_interest,cftc_cme_oi_positioning,0.8917675940032247,technical__bb_percent_b_60_normalized,technical
funding_rate_abs_mean_60,bitmex_funding,0.8755442356411344,fear_greed__fg_std_60_normalized,fear_greed
cot_nonrept_net_ratio,cftc_cme_oi_positioning,0.8645229691254595,technical__bb_bandwidth_60_normalized,technical
funding_rate_max_7,bitmex_funding,0.8350218077663024,technical__rv_60_normalized,technical
funding_rate_abs_mean_20,bitmex_funding,0.8188824739725045,technical__bb_bandwidth_60_normalized,technical
cot_other_rept_net_ratio,cftc_cme_oi_positioning,0.8028371373385936,technical__rv_60_normalized,technical
bitmex_trades_mean_7,bitmex_activity,0.783791718034339,technical__bb_bandwidth_60_normalized,technical
bitmex_volume_mean_7,bitmex_activity,0.7826659130932025,technical__bb_bandwidth_60_normalized,technical
funding_rate_min_20,bitmex_funding,0.7788222966252178,technical__bb_bandwidth_60_normalized,technical
funding_rate_min_7,bitmex_funding,0.7411666149514217,technical__rv_60_normalized,technical
cot_dealer_net_ratio_change_20,cftc_cme_oi_positioning,0.7315680247786288,fear_greed__fg_mean_60_normalized,fear_greed
funding_rate_mean_7,bitmex_funding,0.7219644567984812,fear_greed__fg_value_normalized,fear_greed
funding_rate_sum_7,bitmex_funding,0.7219644567984719,fear_greed__fg_value_normalized,fear_greed
bitmex_foreignnotional_mean_20,bitmex_activity,0.6530735847480058,fear_greed__fg_std_60_normalized,fear_greed
bitmex_volume_mean_20,bitmex_activity,0.6530735847480058,fear_greed__fg_std_60_normalized,fear_greed
bitmex_homenotional_mean_20,bitmex_activity,0.6522718650872356,technical__bb_bandwidth_60_normalized,technical
bitmex_turnover_mean_20,bitmex_activity,0.6522718650872124,technical__bb_bandwidth_60_normalized,technical
bitmex_turnover_mean_7,bitmex_activity,0.6429345076920628,technical__bb_bandwidth_60_normalized,technical
funding_rate_abs_mean_7,bitmex_funding,0.6344068884236708,technical__bb_percent_b_60_normalized,technical
cot_lev_money_net_ratio,cftc_cme_oi_positioning,0.6176809969737321,technical__bb_bandwidth_60_normalized,technical
funding_rate_max_20,bitmex_funding,0.6154851205014289,fear_greed__fg_std_60_normalized,fear_greed
cot_dealer_net_ratio,cftc_cme_oi_positioning,0.6001241375942611,fear_greed__fg_delta_60_normalized,fear_greed
cot_dealer_net_ratio_change_60,cftc_cme_oi_positioning,0.600124137594261,fear_greed__fg_delta_60_normalized,fear_greed
bitmex_trades_mean_20,bitmex_activity,0.5986472781290388,fear_greed__fg_mean_60_normalized,fear_greed
cot_open_interest_change_60,cftc_cme_oi_positioning,0.5919083644668154,fear_greed__fg_mean_60_normalized,fear_greed
cot_lev_money_net_ratio_change_20,cftc_cme_oi_positioning,0.5870560058130295,fear_greed__fg_delta_60_normalized,fear_greed
cot_lev_money_net_ratio_change_60,cftc_cme_oi_positioning,0.583885525998116,fear_greed__fg_delta_60_normalized,fear_greed
cot_open_interest_pct_change_60,cftc_cme_oi_positioning,0.5159961265723637,fear_greed__fg_mean_60_normalized,fear_greed
cot_open_interest_pct_change_20,cftc_cme_oi_positioning,0.4878133053536846,technical__bb_bandwidth_60_normalized,technical
cot_open_interest_change_20,cftc_cme_oi_positioning,0.4706054533828596,fear_greed__fg_std_60_normalized,fear_greed
cot_asset_mgr_net_ratio_change_60,cftc_cme_oi_positioning,0.45672997846498387,fear_greed__fg_value_normalized,fear_greed
funding_rate_min_60,bitmex_funding,0.38349030519441296,fear_greed__fg_value_normalized,fear_greed
cot_open_interest_zscore_60,cftc_cme_oi_positioning,0.2312711609359374,fear_greed__fg_delta_60_normalized,fear_greed
cot_age_days,cftc_cme_oi_positioning,0.20452070421474378,technical__mfi_60_normalized,technical
