selected_rank,feature,normalized_column,group,missing_rate_all,missing_rate_train,missing_rate_validation,missing_rate_test,train_mean,train_std,train_unique,train_corr_label,train_spearman_label,train_corr_future_return,train_spearman_future_return,train_spearman_end_index,train_abs_spearman_end_index,train_univariate_auc,train_univariate_auc_lift,train_abs_auc_lift,test_spearman_stage2_error_rate,test_abs_spearman_stage2_error_rate,test_spearman_stage2_uncertainty,test_abs_spearman_stage2_uncertainty,train_only_candidate_score,selection_note
1,funding_rate_max_7,funding_rate_max_7_normalized,bitmex_funding,0.0,0.0,0.0,0.0,0.0,1.0007459904058664,110,-0.2690779624092925,-0.36236664906224564,-0.27913881377475813,-0.44144970596336996,-0.07952121056258041,0.07952121056258041,0.3035095748308477,-0.19649042516915233,0.19649042516915233,-0.01990779500330085,0.01990779500330085,-0.018057774290213602,0.018057774290213602,0.44144970596336996,"Train-only score with missing-rate, internal-redundancy, and prior-context redundancy filters."
2,funding_rate_max_20,funding_rate_max_20_normalized,bitmex_funding,0.0,0.0,0.0,0.0,2.117862103606856e-17,1.0007459904058675,69,-0.2807534695388394,-0.33818094381157365,-0.2491228248714536,-0.4041143908867412,-0.1244997223279024,0.1244997223279024,0.30670417631328634,-0.19329582368671366,0.19329582368671366,-0.035211346441882015,0.035211346441882015,-0.011628922670181554,0.011628922670181554,0.4041143908867412,"Train-only score with missing-rate, internal-redundancy, and prior-context redundancy filters."
3,funding_rate_mean_7,funding_rate_mean_7_normalized,bitmex_funding,0.0,0.0,0.0,0.0,-2.117862103606856e-17,1.0007459904058733,599,-0.25093205866766144,-0.26602388459842075,-0.26430157512071895,-0.3044347937281608,0.23732164506706327,0.23732164506706327,0.345640625280425,-0.154359374719575,0.154359374719575,-0.028515072761311416,0.028515072761311416,0.0098878614403192,0.0098878614403192,0.30871874943915,"Train-only score with missing-rate, internal-redundancy, and prior-context redundancy filters."
4,bitmex_foreignnotional_mean_20,bitmex_foreignnotional_mean_20_normalized,bitmex_activity,0.0,0.0,0.0,0.0,-2.3296483139675417e-16,1.0007459904058729,659,-0.14663492776593168,-0.17772479866845028,-0.17265683085783745,-0.24441715908233977,-0.21009535630369208,0.21009535630369208,0.39687539259498555,-0.10312460740501445,0.10312460740501445,0.02721600906325344,0.02721600906325344,-0.06743805473267823,0.06743805473267823,0.24441715908233977,"Train-only score with missing-rate, internal-redundancy, and prior-context redundancy filters."
5,funding_rate_min_7,funding_rate_min_7_normalized,bitmex_funding,0.0,0.0,0.0,0.0,1.058931051803428e-16,1.0007459904058704,170,-0.1283753499376352,-0.1878457655540602,-0.10259360716175327,-0.20762623962929513,0.37522481896439186,0.37522481896439186,0.39176044078321576,-0.10823955921678424,0.10823955921678424,-0.028830311453299517,0.028830311453299517,0.002343937811775575,0.002343937811775575,0.21647911843356848,"Train-only score with missing-rate, internal-redundancy, and prior-context redundancy filters."
6,cot_lev_money_net_ratio,cot_lev_money_net_ratio_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,0.0,1.0007459904058726,135,-0.12274024653745938,-0.1604940653616964,-0.1480074953756016,-0.1937628170276331,-0.6091497210717876,0.6091497210717876,0.40687646942694594,-0.09312353057305406,0.09312353057305406,-0.02398470720791224,0.02398470720791224,0.12390495895710081,0.12390495895710081,0.1937628170276331,"Train-only score with missing-rate, internal-redundancy, and prior-context redundancy filters."
7,cot_dealer_net_ratio,cot_dealer_net_ratio_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,2.117862103606856e-17,1.0007459904058733,98,-0.13111551156937687,-0.10248756827285815,-0.17883332767157167,-0.13177910117313926,-0.3033463466429363,0.3033463466429363,0.44122292216299647,-0.05877707783700353,0.05877707783700353,0.10859568511714407,0.10859568511714407,-0.0997897284597174,0.0997897284597174,0.17883332767157167,"Train-only score with missing-rate, internal-redundancy, and prior-context redundancy filters."
8,bitmex_turnover_mean_7,bitmex_turnover_mean_7_normalized,bitmex_activity,0.0,0.0,0.0,0.0,1.6942896828854848e-16,1.0007459904058735,659,-0.09058682539839581,-0.10089423829733461,-0.13431434744360402,-0.16386847385596312,-0.576759782732186,0.576759782732186,0.4414562357544105,-0.05854376424558949,0.05854376424558949,-0.014496262068085084,0.014496262068085084,-0.15592656552356493,0.15592656552356493,0.16386847385596312,"Train-only score with missing-rate, internal-redundancy, and prior-context redundancy filters."
9,bitmex_trades_mean_7,bitmex_trades_mean_7_normalized,bitmex_activity,0.0,0.0,0.0,0.0,-6.353586310820568e-17,1.0007459904058733,659,-0.08811432285435267,-0.09760017441668899,-0.12730783630738876,-0.16101534753972202,-0.13674427106702433,0.13674427106702433,0.44336761248407186,-0.05663238751592814,0.05663238751592814,0.03024968817385809,0.03024968817385809,-0.0506240167582569,0.0506240167582569,0.16101534753972202,"Train-only score with missing-rate, internal-redundancy, and prior-context redundancy filters."
10,cot_open_interest_pct_change_60,cot_open_interest_pct_change_60_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,2.117862103606856e-17,1.0007459904058738,254,-0.09744234254956369,-0.1090119040312365,-0.13595430384877225,-0.1489696462278311,0.09390277159569235,0.09390277159569235,0.4367495827276154,-0.06325041727238462,0.06325041727238462,-0.019208307391240274,0.019208307391240274,-0.04762675227956525,0.04762675227956525,0.1489696462278311,"Train-only score with missing-rate, internal-redundancy, and prior-context redundancy filters."
