context_feature_set,run_seed,num_samples,stage2_accuracy,stage4_accuracy,accuracy_delta_stage4_minus_stage2,stage2_predicted_positive_rate,stage4_predicted_positive_rate,mean_true_prob_delta_stage4_minus_stage2,stage2_wrong_to_stage4_correct,stage2_correct_to_stage4_wrong,both_correct,both_wrong
funding_only,42,1441,0.6030534351145038,0.6037473976405274,0.0006939625260236,0.6162387231089521,0.6141568355308813,-4.24397609078312e-05,2,1,868,570
funding_only,43,1441,0.5746009715475364,0.5732130464954892,-0.0013879250520472,0.6835530881332408,0.6766134628730048,-0.0002893743940256,4,6,822,609
funding_only,44,1441,0.5628036086051353,0.563497571131159,0.0006939625260236,0.7314365024288688,0.721027064538515,-0.0005377079576698,8,7,804,622
funding_only,45,1441,0.5628036086051353,0.5641915336571826,0.0013879250520472,0.6731436502428869,0.6689798750867453,-0.0001520969343321,4,2,809,626
funding_only,46,1441,0.5933379597501734,0.5912560721721027,-0.0020818875780707,0.6176266481609993,0.604441360166551,-0.0002929626768202,8,11,844,578
funding_plus_activity,42,1441,0.6030534351145038,0.6030534351145038,0.0,0.6162387231089521,0.6190145732130465,0.0001534747475555,2,2,867,570
funding_plus_activity,43,1441,0.5746009715475364,0.5732130464954892,-0.0013879250520472,0.6835530881332408,0.6766134628730048,-0.0004416938230012,4,6,822,609
funding_plus_activity,44,1441,0.5628036086051353,0.563497571131159,0.0006939625260236,0.7314365024288688,0.714087439278279,-0.0006317333030688,13,12,799,617
funding_plus_activity,45,1441,0.5628036086051353,0.5621096460791117,-0.0006939625260236,0.6731436502428869,0.6655100624566274,-0.0003017303285025,5,6,805,625
funding_plus_activity,46,1441,0.5933379597501734,0.5919500346981263,-0.0013879250520471,0.6176266481609993,0.6176266481609993,7.4500738953995775e-06,3,5,850,583
funding_plus_cftc_oi,42,1441,0.6030534351145038,0.6016655100624566,-0.0013879250520472,0.6162387231089521,0.6106870229007634,-0.0004358137573201,3,5,864,569
funding_plus_cftc_oi,43,1441,0.5746009715475364,0.5739070090215128,-0.0006939625260236,0.6835530881332408,0.6675919500346982,-0.0006513634097479,11,12,816,602
funding_plus_cftc_oi,44,1441,0.5628036086051353,0.563497571131159,0.0006939625260236,0.7314365024288688,0.7182512144344205,-0.0007777328032284,10,9,802,620
funding_plus_cftc_oi,45,1441,0.5628036086051353,0.5641915336571826,0.0013879250520472,0.6731436502428869,0.6620402498265093,-0.0006341770960898,9,7,804,621
funding_plus_cftc_oi,46,1441,0.5933379597501734,0.5933379597501734,0.0,0.6176266481609993,0.6106870229007634,0.0002656690233453,5,5,850,581
funding_plus_activity_plus_cftc_oi,42,1441,0.6030534351145038,0.6030534351145038,0.0,0.6162387231089521,0.6162387231089521,0.0002175195221475,3,3,866,569
funding_plus_activity_plus_cftc_oi,43,1441,0.5746009715475364,0.5739070090215128,-0.0006939625260236,0.6835530881332408,0.6731436502428869,-0.0004397368088938,7,8,820,606
funding_plus_activity_plus_cftc_oi,44,1441,0.5628036086051353,0.563497571131159,0.0006939625260236,0.7314365024288688,0.7126995142262318,-0.0005295097060103,14,13,798,616
funding_plus_activity_plus_cftc_oi,45,1441,0.5628036086051353,0.5621096460791117,-0.0006939625260236,0.6731436502428869,0.6627342123525329,-0.0006833825425854,7,8,803,623
funding_plus_activity_plus_cftc_oi,46,1441,0.5933379597501734,0.5912560721721027,-0.0020818875780707,0.6176266481609993,0.604441360166551,-0.0002604527741484,8,11,844,578
