context_feature_set,run_seed,transition,count,seed_total,rate
funding_only,42,both_correct,868,1441,0.6023594725884802
funding_only,42,both_wrong,570,1441,0.3955586398334489
funding_only,42,stage2_correct_to_stage4_wrong,1,1441,0.0006939625260235
funding_only,42,stage2_wrong_to_stage4_correct,2,1441,0.0013879250520471
funding_only,43,both_correct,822,1441,0.5704371963913949
funding_only,43,both_wrong,609,1441,0.4226231783483692
funding_only,43,stage2_correct_to_stage4_wrong,6,1441,0.0041637751561415
funding_only,43,stage2_wrong_to_stage4_correct,4,1441,0.0027758501040943
funding_only,44,both_correct,804,1441,0.5579458709229702
funding_only,44,both_wrong,622,1441,0.4316446911866759
funding_only,44,stage2_correct_to_stage4_wrong,7,1441,0.0048577376821651
funding_only,44,stage2_wrong_to_stage4_correct,8,1441,0.0055517002081887
funding_only,45,both_correct,809,1441,0.5614156835530881
funding_only,45,both_wrong,626,1441,0.4344205412907703
funding_only,45,stage2_correct_to_stage4_wrong,2,1441,0.0013879250520471
funding_only,45,stage2_wrong_to_stage4_correct,4,1441,0.0027758501040943
funding_only,46,both_correct,844,1441,0.5857043719639139
funding_only,46,both_wrong,578,1441,0.4011103400416377
funding_only,46,stage2_correct_to_stage4_wrong,11,1441,0.0076335877862595
funding_only,46,stage2_wrong_to_stage4_correct,8,1441,0.0055517002081887
funding_plus_activity,42,both_correct,867,1441,0.6016655100624566
funding_plus_activity,42,both_wrong,570,1441,0.3955586398334489
funding_plus_activity,42,stage2_correct_to_stage4_wrong,2,1441,0.0013879250520471
funding_plus_activity,42,stage2_wrong_to_stage4_correct,2,1441,0.0013879250520471
funding_plus_activity,43,both_correct,822,1441,0.5704371963913949
funding_plus_activity,43,both_wrong,609,1441,0.4226231783483692
funding_plus_activity,43,stage2_correct_to_stage4_wrong,6,1441,0.0041637751561415
funding_plus_activity,43,stage2_wrong_to_stage4_correct,4,1441,0.0027758501040943
funding_plus_activity,44,both_correct,799,1441,0.5544760582928522
funding_plus_activity,44,both_wrong,617,1441,0.4281748785565579
funding_plus_activity,44,stage2_correct_to_stage4_wrong,12,1441,0.0083275503122831
funding_plus_activity,44,stage2_wrong_to_stage4_correct,13,1441,0.0090215128383067
funding_plus_activity,45,both_correct,805,1441,0.5586398334489937
funding_plus_activity,45,both_wrong,625,1441,0.4337265787647467
funding_plus_activity,45,stage2_correct_to_stage4_wrong,6,1441,0.0041637751561415
