run_seed,transition,count,seed_total,rate
42,both_correct,868,1441,0.6023594725884802
42,both_wrong,570,1441,0.39555863983344897
42,stage2_correct_to_stage4_wrong,1,1441,0.0006939625260235947
42,stage2_wrong_to_stage4_correct,2,1441,0.0013879250520471894
43,both_correct,822,1441,0.5704371963913949
43,both_wrong,609,1441,0.4226231783483692
43,stage2_correct_to_stage4_wrong,6,1441,0.004163775156141568
43,stage2_wrong_to_stage4_correct,4,1441,0.002775850104094379
44,both_correct,804,1441,0.5579458709229702
44,both_wrong,622,1441,0.4316446911866759
44,stage2_correct_to_stage4_wrong,7,1441,0.004857737682165163
44,stage2_wrong_to_stage4_correct,8,1441,0.005551700208188758
45,both_correct,809,1441,0.5614156835530881
45,both_wrong,626,1441,0.4344205412907703
45,stage2_correct_to_stage4_wrong,2,1441,0.0013879250520471894
45,stage2_wrong_to_stage4_correct,4,1441,0.002775850104094379
46,both_correct,844,1441,0.5857043719639139
46,both_wrong,578,1441,0.40111034004163776
46,stage2_correct_to_stage4_wrong,11,1441,0.007633587786259542
46,stage2_wrong_to_stage4_correct,8,1441,0.005551700208188758
