run_seed,transition,count,seed_total,rate
42,both_correct,866,1441,0.600971547536433
42,both_wrong,569,1441,0.3948646773074254
42,stage2_correct_to_stage4_wrong,3,1441,0.002081887578070784
42,stage2_wrong_to_stage4_correct,3,1441,0.002081887578070784
43,both_correct,820,1441,0.5690492713393477
43,both_wrong,606,1441,0.4205412907702984
43,stage2_correct_to_stage4_wrong,8,1441,0.005551700208188758
43,stage2_wrong_to_stage4_correct,7,1441,0.004857737682165163
44,both_correct,798,1441,0.5537820957668286
44,both_wrong,616,1441,0.42748091603053434
44,stage2_correct_to_stage4_wrong,13,1441,0.009021512838306732
44,stage2_wrong_to_stage4_correct,14,1441,0.009715475364330326
45,both_correct,803,1441,0.5572519083969466
45,both_wrong,623,1441,0.4323386537126995
45,stage2_correct_to_stage4_wrong,8,1441,0.005551700208188758
45,stage2_wrong_to_stage4_correct,7,1441,0.004857737682165163
46,both_correct,844,1441,0.5857043719639139
46,both_wrong,578,1441,0.40111034004163776
46,stage2_correct_to_stage4_wrong,11,1441,0.007633587786259542
46,stage2_wrong_to_stage4_correct,8,1441,0.005551700208188758
