run_seed,sample_index,Date_stage2,label_stage2,future_return_stage2,entry_close_stage2,exit_close_stage2,prob_down_stage2,prob_up_stage2,pred_class_stage2,correct_stage2,logit_down_stage2,logit_up_stage2,Date_stage4,label_stage4,future_return_stage4,entry_close_stage4,exit_close_stage4,prob_down_stage4,prob_up_stage4,pred_class_stage4,correct_stage4,logit_down_stage4,logit_up_stage4,label,Date,future_return,stage2_correct,stage4_correct,stage2_margin,stage4_margin,prob_up_delta_stage4_minus_stage2,stage2_true_prob,stage4_true_prob,true_prob_delta_stage4_minus_stage2,transition,funding_missing,activity_missing,cftc_missing,funding_rate_mean_7_missing,funding_rate_sum_7_missing,funding_rate_abs_mean_7_missing,funding_rate_min_7_missing,funding_rate_max_7_missing,funding_rate_mean_20_missing,funding_rate_sum_20_missing,funding_rate_abs_mean_20_missing,funding_rate_min_20_missing,funding_rate_max_20_missing,funding_rate_mean_60_missing,funding_rate_sum_60_missing,funding_rate_abs_mean_60_missing,funding_rate_min_60_missing,funding_rate_max_60_missing,bitmex_trades_mean_7_missing,bitmex_trades_mean_20_missing,bitmex_trades_mean_60_missing,bitmex_volume_mean_7_missing,bitmex_volume_mean_20_missing,bitmex_volume_mean_60_missing,bitmex_turnover_mean_7_missing,bitmex_turnover_mean_20_missing,bitmex_turnover_mean_60_missing,bitmex_homenotional_mean_20_missing,bitmex_homenotional_mean_60_missing,bitmex_foreignnotional_mean_20_missing,bitmex_foreignnotional_mean_60_missing,cot_open_interest_missing,cot_lev_money_net_ratio_missing,cot_asset_mgr_net_ratio_missing,cot_dealer_net_ratio_missing,cot_other_rept_net_ratio_missing,cot_nonrept_net_ratio_missing,cot_age_days_missing,cot_open_interest_change_20_missing,cot_open_interest_pct_change_20_missing,cot_open_interest_change_60_missing,cot_open_interest_pct_change_60_missing,cot_open_interest_zscore_60_missing,cot_lev_money_net_ratio_change_20_missing,cot_lev_money_net_ratio_change_60_missing,cot_asset_mgr_net_ratio_change_20_missing,cot_asset_mgr_net_ratio_change_60_missing,cot_dealer_net_ratio_change_20_missing,cot_dealer_net_ratio_change_60_missing,funding_rate_mean_7_normalized,funding_rate_sum_7_normalized,funding_rate_abs_mean_7_normalized,funding_rate_min_7_normalized,funding_rate_max_7_normalized,funding_rate_mean_20_normalized,funding_rate_sum_20_normalized,funding_rate_abs_mean_20_normalized,funding_rate_min_20_normalized,funding_rate_max_20_normalized,funding_rate_mean_60_normalized,funding_rate_sum_60_normalized,funding_rate_abs_mean_60_normalized,funding_rate_min_60_normalized,funding_rate_max_60_normalized,cot_open_interest_normalized,cot_lev_money_net_ratio_normalized,cot_asset_mgr_net_ratio_normalized,cot_dealer_net_ratio_normalized,cot_other_rept_net_ratio_normalized,cot_nonrept_net_ratio_normalized,cot_age_days_normalized,cot_open_interest_change_20_normalized,cot_open_interest_pct_change_20_normalized,cot_open_interest_change_60_normalized,cot_open_interest_pct_change_60_normalized,cot_open_interest_zscore_60_normalized,cot_lev_money_net_ratio_change_20_normalized,cot_lev_money_net_ratio_change_60_normalized,cot_asset_mgr_net_ratio_change_20_normalized,cot_asset_mgr_net_ratio_change_60_normalized,cot_dealer_net_ratio_change_20_normalized,cot_dealer_net_ratio_change_60_normalized,context_features_path,context_features_available,selection_score
43,1240,2021-09-20T00:00:00,1,0.2706779537293662,43015.62,54659.0,0.4738033413887024,0.5261966586112976,1,1,0.4994912147521972,0.6043738126754761,2021-09-20T00:00:00,1,0.2706779537293662,43015.62,54659.0,0.5032549500465393,0.4967450499534607,0,0,0.5617287755012512,0.5487087965011597,1,2021-09-20T00:00:00,0.2706779537293662,True,False,0.026196658611297607,0.0032549500465393066,-0.029451608657836914,0.5261966586112976,0.4967450499534607,-0.029451608657836914,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.1924873729330898,-0.1924873729330652,-0.5751591146379436,0.1190246471423874,-0.5081047145983825,0.0505882502006439,0.0505882502006641,-0.751138382484599,0.392953593664441,-0.4986951378352234,0.1186938924994413,0.1186938924994325,-1.1241448950899036,0.8458258458690806,-0.9363423053351068,2.556624089605518,-2.207940026552597,0.1511371390837966,2.2077482378909217,1.8746382902674412,-0.537108836075088,0.0373674544964028,1.5427741827188104,0.0846077084621895,2.7334667189655195,0.2975668386597808,0.7286436591932982,0.1607463367172984,-0.7956709215919456,-0.2798500754390844,-0.0326400949987,2.76865495004456,2.2956578764335656,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_cftc_oi/seed_43/context_features.csv,True,0.029451608657836914
43,1120,2021-05-23T00:00:00,1,0.0257063504086683,34655.25,35546.11,0.4904241263866424,0.5095759034156799,1,1,0.9164814949035645,0.954789698123932,2021-05-23T00:00:00,1,0.0257063504086683,34655.25,35546.11,0.5177780985832214,0.4822218716144562,0,0,0.9735112190246582,0.9023687243461608,1,2021-05-23T00:00:00,0.0257063504086683,True,False,0.009575903415679932,0.017778128385543823,-0.027354031801223755,0.5095759034156799,0.4822218716144562,-0.027354031801223755,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.6386445227206607,-0.6386445227206601,0.127786597017836,-3.4551716181724323,-0.5081047145983825,0.0136695305989272,0.0136695305989622,-0.3574367818545974,-2.223852913276371,-0.1089197489575845,1.3318254159965734,1.3318254159965874,0.2751417037576921,-1.0631649810260988,1.627379179209812,2.556624089605518,1.9696028011609152,-0.3387969241069026,-2.157596342979589,1.0519491381847197,-2.216051034868378,-0.4641037848453228,3.3873391643454656,3.2292054315669536,2.7334667189655195,3.297901955432723,2.5803860027274275,2.4724946802901835,2.3985630595527305,1.0395770215569378,-0.0857364203096657,-3.2922118499220376,-2.250738642338061,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_cftc_oi/seed_43/context_features.csv,True,0.027354031801223755
43,2362,2024-10-16T00:00:00,1,0.0259094904008443,67620.01,69372.01,0.4972176849842071,0.5027822852134705,1,1,0.9927191138267516,1.003848433494568,2024-10-16T00:00:00,1,0.0259094904008443,67620.01,69372.01,0.5239853858947754,0.4760146141052246,0,0,1.0495426654815674,0.953527331352234,1,2024-10-16T00:00:00,0.0259094904008443,True,False,0.002782285213470459,0.02398538589477539,-0.02676767110824585,0.5027822852134705,0.4760146141052246,-0.02676767110824585,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0855618536537498,0.0855618536537438,-0.6824092586988774,0.4952558329650001,-0.5081047145983825,0.1248720297101429,0.1248720297101272,-0.909461412712041,0.7561225575554663,-0.6913166962921962,0.0905912130265282,0.0905912130265113,-1.1620220734552174,1.0254742221643491,-1.0961635933338731,2.556624089605518,-2.463738670193471,1.873695395246621,-2.065243217557437,2.734584900008897,-2.082022392725276,1.0403099331798542,-2.759836687106325,-1.2276678217999166,-3.1218642944566826,-1.2044926807734675,-0.922813926882226,-1.839511669802483,-1.0322041524035193,1.3740633468752788,-1.008747711450488,0.4505910021552004,-2.182605623712958,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_cftc_oi/seed_43/context_features.csv,True,0.02676767110824585
45,1086,2021-04-19T00:00:00,1,0.0468731407215194,55633.14,58240.84,0.4827029109001159,0.517297089099884,1,1,-1.4196330308914185,-1.3504170179367063,2021-04-19T00:00:00,1,0.0468731407215194,55633.14,58240.84,0.5077424645423889,0.4922575056552887,0,0,-1.3736472129821775,-1.404619574546814,1,2021-04-19T00:00:00,0.0468731407215194,True,False,0.017297089099884033,0.007742494344711304,-0.025039583444595337,0.517297089099884,0.4922575056552887,-0.025039583444595337,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.783899313518542,1.7838993135185568,1.423102290405833,0.6195757030629069,1.879342951308624,2.150364338635288,2.1503643386352875,1.905722572060801,0.8742768437528889,2.591181273412805,2.26623950847121,2.2662395084712137,1.0623282802199268,1.1969567631734694,1.627379179209812,1.4099933071734247,-2.435941644374247,0.1122052740413298,1.4596132541631333,2.538743767677306,0.2149823048129797,0.0373674544964028,-0.3313827504847471,-0.384910932641377,-1.0999948340611825,-0.8719072319649415,-0.2839043630599761,-0.1032954495330348,0.0526048284977732,0.3151003917308106,-0.1727994623553018,-0.5280356334977211,1.5156147151293615,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_cftc_oi/seed_45/context_features.csv,True,0.025039583444595337
44,2356,2024-10-10T00:00:00,1,0.199222098322144,60326.39,72344.74,0.4967842400074005,0.5032157301902771,1,1,0.1089160218834877,0.1217791214585304,2024-10-10T00:00:00,1,0.199222098322144,60326.39,72344.74,0.5186405181884766,0.481359452009201,0,0,0.1520817726850509,0.077485017478466,1,2024-10-10T00:00:00,0.199222098322144,True,False,0.0032157301902770996,0.018640547990799006,-0.021856278181076105,0.5032157301902771,0.481359452009201,-0.021856278181076105,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.13797573084943,0.1379757308494211,-0.7239790819783416,0.6539272461162758,-0.5081047145983825,0.0916515583586959,0.0916515583586884,-0.909461412712041,0.7561225575554663,-0.6913166962921962,0.0939414167136938,0.0939414167136767,-1.1620220734552174,1.0254742221643491,-1.0961635933338731,2.556624089605518,-2.463738670193471,1.873695395246621,-1.1066601617954193,2.734584900008897,-2.216051034868378,1.5417811725215798,-2.759836687106325,-1.2903005771244629,-3.1218642944566826,-1.3839331253115317,-1.1008997851284772,-1.8190475864350488,-1.6452201776214617,1.3525157121888336,-0.602723093508014,1.6959628597822742,0.6252411061279426,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_cftc_oi/seed_44/context_features.csv,True,0.021856278181076105
43,1260,2021-10-10T00:00:00,1,0.1317292669093837,54659.0,61859.19,0.4832142293453216,0.516785740852356,1,1,1.0824437141418457,1.1496119499206543,2021-10-10T00:00:00,1,0.1317292669093837,54659.0,61859.19,0.5045916438102722,0.4954083263874054,0,0,1.12655508518219,1.108187913894653,1,2021-10-10T00:00:00,0.1317292669093837,True,False,0.016785740852355957,0.0045916736125946045,-0.02137741446495056,0.516785740852356,0.4954083263874054,-0.02137741446495056,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1844770670199877,0.1844770670199761,-0.6713932555298199,0.678464062582968,-0.5081047145983825,-0.2568126948766993,-0.2568126948767066,-0.638295153900563,0.1516701039560201,-0.6913166962921962,0.0191960956155663,0.0191960956155664,-1.0575083745086833,0.6698067297009889,-0.9363423053351068,2.556624089605518,-1.819356726792328,0.1480499663727791,2.2077482378909217,2.4815379965056503,-1.786918614310933,-0.4641037848453228,3.3873391643454656,1.5839272921703236,2.7334667189655195,2.942308292967545,1.91295266736676,0.5009259670993815,0.9725231264616048,-0.0245260046804461,-0.4199318616728634,-2.0246815945883587,2.270181719718298,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_cftc_oi/seed_43/context_features.csv,True,0.02137741446495056
43,2267,2024-07-13T00:00:00,1,0.0387526049751352,59204.02,61498.33,0.4889619052410126,0.5110381245613098,1,1,0.9600045680999756,1.004164218902588,2024-07-13T00:00:00,1,0.0387526049751352,59204.02,61498.33,0.5099189281463623,0.4900811016559601,0,0,1.0043129920959473,0.9646321535110474,1,2024-07-13T00:00:00,0.0387526049751352,True,False,0.011038124561309814,0.009918898344039917,-0.02095702290534973,0.5110381245613098,0.4900811016559601,-0.02095702290534973,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0238796689051749,0.0238796689051723,-0.7392559920335657,0.505070559551677,-0.5081047145983825,0.0823421748321868,0.0823421748321798,-0.909461412712041,0.6081187674765894,-0.6913166962921962,0.2276893542051869,0.2276893542051752,-1.1620220734552174,1.0027913463694922,-1.0500974573812876,2.556624089605518,-2.463738670193471,1.873695395246621,0.4488089186823914,1.356426064882514,-2.15248571063684,-0.9655750241870484,-2.759836687106325,-0.9730472467648368,2.0609996968553674,-0.2161850953461669,-0.7936134650287359,-0.6197470839655022,-1.6773733737506489,1.228648336472017,0.0516669921115338,-1.5582659319087395,2.2956578764335656,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_cftc_oi/seed_43/context_features.csv,True,0.02095702290534973
44,2350,2024-10-04T00:00:00,1,0.0984486035499145,62086.0,68198.28,0.493268609046936,0.506731390953064,1,1,0.3406247198581695,0.3675519526004791,2024-10-04T00:00:00,1,0.0984486035499145,62086.0,68198.28,0.5131859183311462,0.4868140518665313,0,0,0.3804170489311218,0.3276610672473907,1,2024-10-04T00:00:00,0.0984486035499145,True,False,0.006731390953063965,0.013185948133468683,-0.01991733908653265,0.506731390953064,0.4868140518665313,-0.01991733908653265,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0552001564977156,0.0552001564977112,-0.7302145554702612,0.4641758654405234,-0.5081047145983825,0.0730965542065442,0.0730965542065377,-0.909461412712041,0.7561225575554663,-0.6913166962921962,0.0558857049274507,0.0558857049274324,-1.1620220734552174,1.0227522770689663,-1.0961635933338731,2.556624089605518,-2.463738670193471,1.873695395246621,-1.1066601617954193,2.734584900008897,-2.216051034868378,-1.467046263528774,-2.759836687106325,-0.6644451697115833,-3.1218642944566826,-0.9247392449836545,-1.237060168085112,-1.878501014391903,-0.8469185442381831,-2.249460906510704,-2.2569189619016816,2.76865495004456,0.4640000155466819,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_cftc_oi/seed_44/context_features.csv,True,0.01991733908653265
43,1276,2021-10-26T00:00:00,1,0.0543344050711427,60328.81,63606.74,0.493861585855484,0.5061384439468384,1,1,-0.0797404646873474,-0.0551855377852916,2021-10-26T00:00:00,1,0.0543344050711427,60328.81,63606.74,0.5125778317451477,0.4874221980571747,0,0,-0.0388703308999538,-0.0891921147704124,1,2021-10-26T00:00:00,0.0543344050711427,True,False,0.006138443946838379,0.012577801942825317,-0.018716245889663696,0.5061384439468384,0.4874221980571747,-0.018716245889663696,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4000451168277669,0.4000451168278076,-0.3910047975099175,0.8387712634986899,0.4149621843375558,0.4165235382734477,0.4165235382734858,-0.6177445413118254,0.91905109957507,0.0100523900893693,0.1720044152495481,0.1720044152495721,-0.9386953378123568,0.6698067297009889,-0.5142260799736588,2.556624089605518,-1.13039094814327,0.2451912374290545,1.2487710967232637,2.0827304565538904,-1.850405102950157,0.5388386938381285,3.3873391643454656,3.2292054315669536,2.7334667189655195,3.297901955432723,1.4923253129431813,2.4724946802901835,1.145171901125841,-0.008324576925601,-0.1969294443978112,0.2856084055712531,-0.1929564811612588,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_cftc_oi/seed_43/context_features.csv,True,0.018716245889663696
43,1719,2023-01-12T00:00:00,1,0.2592528527661724,18846.62,23732.66,0.4829686880111694,0.5170313119888306,1,1,1.7783797979354858,1.8465313911437988,2023-01-12T00:00:00,1,0.2592528527661724,18846.62,23732.66,0.501492440700531,0.4985075891017914,0,0,1.8156565427780151,1.8096868991851809,1,2023-01-12T00:00:00,0.2592528527661724,True,False,0.017031311988830566,0.0014924108982086182,-0.018523722887039185,0.5170313119888306,0.4985075891017914,-0.018523722887039185,stage2_correct_to_stage4_wrong,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0301118067424823,0.0301118067424632,-0.6988293388942869,0.379114901689324,-0.5081047145983825,-0.0409115125427528,-0.0409115125427466,-0.8795334260006178,0.5571258650124388,-0.6913166962921962,-0.3162145880936271,-0.3162145880936406,-0.934518003188828,0.4629389024518915,-1.0961635933338731,2.556624089605518,0.5343895067071786,1.873695395246621,-2.157596342979589,0.2431523173507727,-2.216051034868378,1.5417811725215798,-2.759836687106325,-1.2631075293621818,-3.1218642944566826,-1.676479034499771,-1.233054882355941,-0.3405101889152305,0.3895071445531701,0.70717720767919,1.2715812570925822,0.3760090542102638,-2.202967287418113,/kaggle/working/stage4_film_conditioning/outputs/stage4/context/stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_cftc_oi/seed_43/context_features.csv,True,0.018523722887039185
