run_seed,transition,count,seed_total,rate
42,both_correct,864,1441,0.5995836224843858
42,both_wrong,569,1441,0.3948646773074254
42,stage2_correct_to_stage4_wrong,5,1441,0.0034698126301179735
42,stage2_wrong_to_stage4_correct,3,1441,0.002081887578070784
43,both_correct,816,1441,0.5662734212352533
43,both_wrong,602,1441,0.417765440666204
43,stage2_correct_to_stage4_wrong,12,1441,0.008327550312283136
43,stage2_wrong_to_stage4_correct,11,1441,0.007633587786259542
44,both_correct,802,1441,0.556557945870923
44,both_wrong,620,1441,0.4302567661346287
44,stage2_correct_to_stage4_wrong,9,1441,0.006245662734212352
44,stage2_wrong_to_stage4_correct,10,1441,0.006939625260235947
45,both_correct,804,1441,0.5579458709229702
45,both_wrong,621,1441,0.4309507286606523
45,stage2_correct_to_stage4_wrong,7,1441,0.004857737682165163
45,stage2_wrong_to_stage4_correct,9,1441,0.006245662734212352
46,both_correct,850,1441,0.5898681471200555
46,both_wrong,581,1441,0.4031922276197085
46,stage2_correct_to_stage4_wrong,5,1441,0.0034698126301179735
46,stage2_wrong_to_stage4_correct,5,1441,0.0034698126301179735
