experiment_name,image_window,return_horizon,image_spec,context_method,context_feature_set,context_name,context_dim,modulation_scale,run_seed,status,error,classification_available,trading_available,num_samples,accuracy,majority_class_accuracy,roc_auc,average_precision,f1,brier_score,predicted_positive_rate,accuracy_minus_majority_class_accuracy,long_flat_sharpe_net,long_flat_annualized_return_net,long_short_sharpe_net,long_short_annualized_return_net,pretrained_loaded,freeze_visual_backbone,freeze_classifier,num_trainable_parameters,num_frozen_parameters
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_only_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_only,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_only,15,0.02,42,ok,,True,True,1441,0.6037473976405274,0.5412907702984039,0.617300903836456,0.6336833583596311,0.6570570570570571,0.25857659321089166,0.6141568355308813,0.06245662734212354,3.9198804954699256,9.034028237323309,3.0882799622131722,8.939144242288767,True,True,True,35360,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_only_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_only,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_only,15,0.02,43,ok,,True,True,1441,0.5732130464954892,0.5412907702984039,0.5833857015400132,0.6104476270000441,0.6495726495726495,0.2801737163638698,0.6766134628730048,0.03192227619708532,3.669324588619912,8.42307153181047,2.657235807019233,7.717230831263091,True,True,True,35360,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_only_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_only,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_only,15,0.02,44,ok,,True,True,1441,0.563497571131159,0.5412907702984039,0.5608150044609954,0.5929813352594253,0.6542056074766356,0.2791396458117705,0.721027064538515,0.022206800832755058,3.1570546379096647,7.6061671103994195,2.0872906341202184,6.083421988440987,True,True,True,35360,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_only_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_only,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_only,15,0.02,45,ok,,True,True,1441,0.5641915336571826,0.5412907702984039,0.5655494782574964,0.591280265396944,0.6399082568807339,0.2758518156216908,0.6689798750867453,0.022900763358778664,3.006016895725327,7.22570850714121,1.8232010597398578,5.321998189280577,True,True,True,35360,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_only_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_only,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_only,15,0.02,46,ok,,True,True,1441,0.5912560721721027,0.5412907702984039,0.5979537608130648,0.628475481653828,0.6432465172622653,0.27580821902163827,0.604441360166551,0.04996530187369885,3.4639810707992673,7.802710305062341,2.223690909464215,6.476508377766832,True,True,True,35360,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_plus_activity_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_plus_activity,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity,28,0.02,42,ok,,True,True,1441,0.6030534351145038,0.5412907702984039,0.6170274254237946,0.6334733000016346,0.6578947368421053,0.25876878525760244,0.6190145732130465,0.06176266481609993,3.9414396502219975,9.12126488842737,3.15017526466369,9.113617544496893,True,True,True,35776,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_plus_activity_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_plus_activity,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity,28,0.02,43,ok,,True,True,1441,0.5732130464954892,0.5412907702984039,0.5831374374490865,0.6100527437187524,0.6495726495726495,0.2800987397466715,0.6766134628730048,0.03192227619708532,3.669324588619912,8.42307153181047,2.657235807019233,7.717230831263091,True,True,True,35776,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_plus_activity_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_plus_activity,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity,28,0.02,44,ok,,True,True,1441,0.563497571131159,0.5412907702984039,0.561152488459599,0.5933729692068024,0.652294085129906,0.2786787535918693,0.714087439278279,0.022206800832755058,3.144440767126222,7.540954794568086,2.0420311121572654,5.952997356778323,True,True,True,35776,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_plus_activity_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_plus_activity,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity,28,0.02,45,ok,,True,True,1441,0.5621096460791117,0.5412907702984039,0.5654699561658714,0.5910815523720139,0.6371477860839563,0.275824763505389,0.6655100624566274,0.020818875780707846,2.947848406736767,7.047221049749518,1.6999095840462286,4.965023274497191,True,True,True,35776,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n16_funding_plus_activity_pretrained_frozen_s0p02,60,20,ohlc_ma_vb,film_full_bounded_last_block,funding_plus_activity,stage4_derivatives_context_i60_ohlc_ma_vb_r20_n16_funding_plus_activity,28,0.02,46,ok,,True,True,1441,0.5919500346981263,0.5412907702984039,0.5979983707669033,0.6284456990368998,0.6479041916167665,0.27590618612996,0.6176266481609993,0.05065926439972246,3.477691705366982,7.916167131148253,2.302716628802391,6.703422029938653,True,True,True,35776,2952962
