context_feature_set,run_seed,num_samples,stage2_accuracy,stage4_accuracy,accuracy_delta_stage4_minus_stage2,stage2_predicted_positive_rate,stage4_predicted_positive_rate,mean_true_prob_delta_stage4_minus_stage2,stage2_wrong_to_stage4_correct,stage2_correct_to_stage4_wrong,both_correct,both_wrong
funding_plus_cftc_oi,42,1441,0.5947258848022207,0.5995836224843858,0.0048577376821651,0.8105482303955587,0.7807078417765441,-0.0008347733960972,25,18,839,559
funding_plus_cftc_oi,43,1441,0.5641915336571826,0.5648854961832062,0.0006939625260236,0.7536433032616239,0.7251908396946565,-0.0008847921709274,21,20,793,607
funding_plus_cftc_oi,44,1441,0.5468424705065926,0.5489243580846634,0.0020818875780708,0.6210964607911172,0.6245662734212353,0.0002356745525005,5,2,786,648
funding_plus_cftc_oi,45,1441,0.5628036086051353,0.5641915336571826,0.0013879250520472,0.945176960444136,0.9340735600277584,-0.0004167166912745,9,7,804,621
funding_plus_cftc_oi,46,1441,0.5683553088133241,0.5697432338653713,0.0013879250520472,0.5746009715475364,0.5801526717557252,0.0005121868592347,6,4,815,616
funding_only,42,1441,0.5947258848022207,0.5975017349063151,0.0027758501040944,0.8105482303955587,0.7980569049271339,-0.0003380374433595,11,7,850,573
funding_only,43,1441,0.5641915336571826,0.5648854961832062,0.0006939625260236,0.7536433032616239,0.7390700902151284,-0.0004404163108279,11,10,803,617
funding_only,44,1441,0.5468424705065926,0.5440666204024983,-0.0027758501040943,0.6210964607911172,0.6169326856349757,-0.0001561529701737,1,5,783,652
funding_only,45,1441,0.5628036086051353,0.563497571131159,0.0006939625260236,0.945176960444136,0.941707147814018,-0.0001654115962452,3,2,809,627
funding_only,46,1441,0.5683553088133241,0.5683553088133241,0.0,0.5746009715475364,0.5732130464954892,-0.0001366414248653,3,3,816,619
