run_seed,transition,count,seed_total,rate
42,both_correct,850,1441,0.5898681471200555
42,both_wrong,573,1441,0.3976405274115198
42,stage2_correct_to_stage4_wrong,7,1441,0.004857737682165163
42,stage2_wrong_to_stage4_correct,11,1441,0.007633587786259542
43,both_correct,803,1441,0.5572519083969466
43,both_wrong,617,1441,0.42817487855655795
43,stage2_correct_to_stage4_wrong,10,1441,0.006939625260235947
43,stage2_wrong_to_stage4_correct,11,1441,0.007633587786259542
44,both_correct,783,1441,0.5433726578764747
44,both_wrong,652,1441,0.45246356696738377
44,stage2_correct_to_stage4_wrong,5,1441,0.0034698126301179735
44,stage2_wrong_to_stage4_correct,1,1441,0.0006939625260235947
45,both_correct,809,1441,0.5614156835530881
45,both_wrong,627,1441,0.4351145038167939
45,stage2_correct_to_stage4_wrong,2,1441,0.0013879250520471894
45,stage2_wrong_to_stage4_correct,3,1441,0.002081887578070784
46,both_correct,816,1441,0.5662734212352533
46,both_wrong,619,1441,0.42956280360860516
46,stage2_correct_to_stage4_wrong,3,1441,0.002081887578070784
46,stage2_wrong_to_stage4_correct,3,1441,0.002081887578070784
