run_seed,transition,count,seed_total,rate
42,both_correct,839,1441,0.582234559333796
42,both_wrong,559,1441,0.38792505204718947
42,stage2_correct_to_stage4_wrong,18,1441,0.012491325468424705
42,stage2_wrong_to_stage4_correct,25,1441,0.01734906315058987
43,both_correct,793,1441,0.5503122831367107
43,both_wrong,607,1441,0.421235253296322
43,stage2_correct_to_stage4_wrong,20,1441,0.013879250520471894
43,stage2_wrong_to_stage4_correct,21,1441,0.01457321304649549
44,both_correct,786,1441,0.5454545454545454
44,both_wrong,648,1441,0.4496877168632894
44,stage2_correct_to_stage4_wrong,2,1441,0.0013879250520471894
44,stage2_wrong_to_stage4_correct,5,1441,0.0034698126301179735
45,both_correct,804,1441,0.5579458709229702
45,both_wrong,621,1441,0.4309507286606523
45,stage2_correct_to_stage4_wrong,7,1441,0.004857737682165163
45,stage2_wrong_to_stage4_correct,9,1441,0.006245662734212352
46,both_correct,815,1441,0.5655794587092297
46,both_wrong,616,1441,0.42748091603053434
46,stage2_correct_to_stage4_wrong,4,1441,0.002775850104094379
46,stage2_wrong_to_stage4_correct,6,1441,0.004163775156141568
