experiment_name,image_window,return_horizon,image_spec,context_method,context_feature_set,context_name,context_dim,modulation_scale,run_seed,status,error,classification_available,trading_available,num_samples,accuracy,majority_class_accuracy,roc_auc,average_precision,f1,brier_score,predicted_positive_rate,accuracy_minus_majority_class_accuracy,long_flat_sharpe_net,long_flat_annualized_return_net,long_short_sharpe_net,long_short_annualized_return_net,pretrained_loaded,freeze_visual_backbone,freeze_classifier,num_trainable_parameters,num_frozen_parameters
stage4_film_full_bounded_last_block_i60_ohlc_vb_r20_c60_n16d_funding_plus_cftc_oi_pretrained_frozen_s0p02,60,20,ohlc_vb,film_full_bounded_last_block,funding_plus_cftc_oi,stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_plus_cftc_oi,33,0.02,42,ok,,True,True,1441,0.5995836224843858,0.5412907702984039,0.5825439311067148,0.5777040496346726,0.6971128608923884,0.24790405939315543,0.7807078417765441,0.0582928521859819,3.8673465149621378,9.860691506608095,3.6788823168522504,10.592470780858342,True,True,True,35936,2952962
stage4_film_full_bounded_last_block_i60_ohlc_vb_r20_c60_n16d_funding_plus_cftc_oi_pretrained_frozen_s0p02,60,20,ohlc_vb,film_full_bounded_last_block,funding_plus_cftc_oi,stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_plus_cftc_oi,33,0.02,43,ok,,True,True,1441,0.5648854961832062,0.5412907702984039,0.5574052523371736,0.5736324779868744,0.6564383561643836,0.26730083501168006,0.7251908396946565,0.02359472588480227,3.298539753044214,7.722930659122538,2.1680838802714697,6.316949085887229,True,True,True,35936,2952962
stage4_film_full_bounded_last_block_i60_ohlc_vb_r20_c60_n16d_funding_plus_cftc_oi_pretrained_frozen_s0p02,60,20,ohlc_vb,film_full_bounded_last_block,funding_plus_cftc_oi,stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_plus_cftc_oi,33,0.02,44,ok,,True,True,1441,0.5489243580846634,0.5412907702984039,0.5470518639202451,0.5730201737037368,0.613095238095238,0.26050323322626623,0.6245662734212353,0.007633587786259555,2.458572648286789,5.306914001399097,0.5064359162350147,1.4844091777963477,True,True,True,35936,2952962
stage4_film_full_bounded_last_block_i60_ohlc_vb_r20_c60_n16d_funding_plus_cftc_oi_pretrained_frozen_s0p02,60,20,ohlc_vb,film_full_bounded_last_block,funding_plus_cftc_oi,stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_plus_cftc_oi,33,0.02,45,ok,,True,True,1441,0.5641915336571826,0.5412907702984039,0.5431320066720975,0.5516736337216812,0.7046095954844779,0.25077145361065134,0.9340735600277585,0.022900763358778664,3.39966441200404,9.54869080476681,3.45486523623476,9.968469377175769,True,True,True,35936,2952962
stage4_film_full_bounded_last_block_i60_ohlc_vb_r20_c60_n16d_funding_plus_cftc_oi_pretrained_frozen_s0p02,60,20,ohlc_vb,film_full_bounded_last_block,funding_plus_cftc_oi,stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_plus_cftc_oi,33,0.02,46,ok,,True,True,1441,0.5697432338653713,0.5412907702984039,0.578969316110012,0.5828191000748215,0.6163366336633663,0.26077458101337103,0.5801526717557252,0.0284524635669674,2.772794455326557,5.649083471558857,0.7403851487064524,2.1692547107598648,True,True,True,35936,2952962
stage4_film_full_bounded_last_block_i60_ohlc_vb_r20_c60_n16d_funding_only_pretrained_frozen_s0p02,60,20,ohlc_vb,film_full_bounded_last_block,funding_only,stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_only,15,0.02,42,ok,,True,True,1441,0.5975017349063151,0.5412907702984039,0.5824721672679313,0.5783344471929487,0.6994818652849742,0.24880768860123892,0.7980569049271339,0.056210964607911196,3.79755666721263,9.788322396336634,3.626849303770613,10.44773256031542,True,True,True,35360,2952962
stage4_film_full_bounded_last_block_i60_ohlc_vb_r20_c60_n16d_funding_only_pretrained_frozen_s0p02,60,20,ohlc_vb,film_full_bounded_last_block,funding_only,stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_only,15,0.02,43,ok,,True,True,1441,0.5648854961832062,0.5412907702984039,0.5571725047519298,0.5732590677058909,0.6601626016260163,0.26829803380273604,0.7390700902151284,0.02359472588480227,3.295251226497088,7.838433019295375,2.248451318325765,6.547953806232898,True,True,True,35360,2952962
stage4_film_full_bounded_last_block_i60_ohlc_vb_r20_c60_n16d_funding_only_pretrained_frozen_s0p02,60,20,ohlc_vb,film_full_bounded_last_block,funding_only,stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_only,15,0.02,44,ok,,True,True,1441,0.5440666204024983,0.5412907702984039,0.5465049070949222,0.5720286514116798,0.6063511084481725,0.2606631787253852,0.6169326856349757,0.002775850104094424,2.2992166543989474,4.869417075039107,0.20785169175340376,0.6094153250763691,True,True,True,35360,2952962
stage4_film_full_bounded_last_block_i60_ohlc_vb_r20_c60_n16d_funding_only_pretrained_frozen_s0p02,60,20,ohlc_vb,film_full_bounded_last_block,funding_only,stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_only,15,0.02,45,ok,,True,True,1441,0.563497571131159,0.5412907702984039,0.5420574886535552,0.5511174772201333,0.7056621431913898,0.2514172579049164,0.9417071478140181,0.022206800832755058,3.414350431164282,9.603518062347337,3.4941184873683486,10.078123892336826,True,True,True,35360,2952962
stage4_film_full_bounded_last_block_i60_ohlc_vb_r20_c60_n16d_funding_only_pretrained_frozen_s0p02,60,20,ohlc_vb,film_full_bounded_last_block,funding_only,stage4_derivatives_context_i60_ohlc_vb_r20_n16d_funding_only,15,0.02,46,ok,,True,True,1441,0.5683553088133241,0.5412907702984039,0.5780674192171923,0.5821047072549147,0.6127023661270237,0.2612409954256278,0.5732130464954892,0.02706453851492019,2.7528714369429297,5.59510044821892,0.7034808961808916,2.0612886640799917,True,True,True,35360,2952962
