metric,observed,expected,delta,abs_delta,within_tolerance,tolerance,experiment_name,run_seed,split
num_samples,1441.0,1441.0,0.0,0.0,True,1e-05,stage2_i60_ohlc_ma_vb_r20,42,test
accuracy,0.6030534351145038,0.6030534351145038,0.0,0.0,True,1e-05,stage2_i60_ohlc_ma_vb_r20,42,test
majority_class_accuracy,0.5412907702984039,0.5412907702984039,0.0,0.0,True,1e-05,stage2_i60_ohlc_ma_vb_r20,42,test
roc_auc,0.61694984289538,0.61694984289538,0.0,0.0,True,1e-05,stage2_i60_ohlc_ma_vb_r20,42,test
average_precision,0.6334413331087838,0.6334421240963644,-7.909875805456323e-07,7.909875805456323e-07,True,1e-05,stage2_i60_ohlc_ma_vb_r20,42,test
f1,0.657074340527578,0.657074340527578,0.0,0.0,True,1e-05,stage2_i60_ohlc_ma_vb_r20,42,test
brier_score,0.2587921003689041,0.2587921191308433,-1.8761939224454238e-08,1.8761939224454238e-08,True,1e-05,stage2_i60_ohlc_ma_vb_r20,42,test
positive_rate,0.5412907702984039,0.5412907702984039,0.0,0.0,True,1e-05,stage2_i60_ohlc_ma_vb_r20,42,test
predicted_positive_rate,0.6162387231089521,0.6162387231089521,0.0,0.0,True,1e-05,stage2_i60_ohlc_ma_vb_r20,42,test
num_samples,1441.0,1441.0,0.0,0.0,True,1e-05,stage2_i60_ohlc_ma_vb_r20,43,test
accuracy,0.5746009715475364,0.5746009715475364,0.0,0.0,True,1e-05,stage2_i60_ohlc_ma_vb_r20,43,test
majority_class_accuracy,0.5412907702984039,0.5412907702984039,0.0,0.0,True,1e-05,stage2_i60_ohlc_ma_vb_r20,43,test
roc_auc,0.5833469102758059,0.5833469102758059,0.0,0.0,True,1e-05,stage2_i60_ohlc_ma_vb_r20,43,test
average_precision,0.6103175604729265,0.6103175604729265,0.0,0.0,True,1e-05,stage2_i60_ohlc_ma_vb_r20,43,test
f1,0.6526912181303116,0.6526912181303116,0.0,0.0,True,1e-05,stage2_i60_ohlc_ma_vb_r20,43,test
brier_score,0.28070292949652703,0.2807029335434596,-4.046932566836858e-09,4.046932566836858e-09,True,1e-05,stage2_i60_ohlc_ma_vb_r20,43,test
positive_rate,0.5412907702984039,0.5412907702984039,0.0,0.0,True,1e-05,stage2_i60_ohlc_ma_vb_r20,43,test
predicted_positive_rate,0.6835530881332408,0.6835530881332408,0.0,0.0,True,1e-05,stage2_i60_ohlc_ma_vb_r20,43,test
num_samples,1441.0,1441.0,0.0,0.0,True,1e-05,stage2_i60_ohlc_ma_vb_r20,44,test
accuracy,0.5628036086051353,0.5628036086051353,0.0,0.0,True,1e-05,stage2_i60_ohlc_ma_vb_r20,44,test
