experiment_name,context_method,context_feature_set,modulation_scale,run_seed,status,error,classification_available,trading_available,num_samples,accuracy,majority_class_accuracy,roc_auc,average_precision,f1,brier_score,predicted_positive_rate,long_flat_sharpe_net,long_flat_annualized_return_net,long_short_sharpe_net,long_short_annualized_return_net,pretrained_loaded,num_trainable_parameters,num_frozen_parameters
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n8b_fg_pretrained_frozen_s0p02,film_full_bounded_last_block,fg_only,0.02,42,ok,,True,True,1441,0.6037473976405274,0.5412907702984039,0.6167364909422398,0.6334065244648213,0.6570570570570571,0.2588673040427373,0.6141568355308813,3.9198804954699256,9.034028237323309,3.0882799622131722,8.939144242288767,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n8b_fg_pretrained_frozen_s0p05,film_full_bounded_last_block,fg_only,0.05,42,ok,,True,True,1441,0.600971547536433,0.5412907702984039,0.6163350013576943,0.6332404103490854,0.6534056660638939,0.2590011031261887,0.6099930603747398,3.8450727068042383,8.830118472033858,2.943920565740195,8.531324711709868,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n8b_fg_pretrained_frozen_s0p02,film_full_bounded_last_block,fg_only,0.02,43,ok,,True,True,1441,0.5732130464954892,0.5412907702984039,0.5835369874704217,0.610474823918522,0.6503695281409891,0.28009150151037054,0.6793893129770993,3.6226434957449762,8.351220770000904,2.60683043097314,7.573529307643956,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n8b_fg_pretrained_frozen_s0p05,film_full_bounded_last_block,fg_only,0.05,43,ok,,True,True,1441,0.5739070090215128,0.5412907702984039,0.5837464602971411,0.610882817704119,0.6475315729047073,0.27934400976052964,0.6675919500346982,3.6587254825772737,8.343453077411091,2.60142490912826,7.557993922464334,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n8b_fg_pretrained_frozen_s0p02,film_full_bounded_last_block,fg_only,0.02,44,ok,,True,True,1441,0.5669673837612769,0.5412907702984039,0.561259164436169,0.59322752982113,0.6567656765676567,0.2789592340713185,0.7203331020124913,3.199661583195624,7.71320409861851,2.161676959708195,6.2974959648791735,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n8b_fg_pretrained_frozen_s0p05,film_full_bounded_last_block,fg_only,0.05,44,ok,,True,True,1441,0.5655794587092297,0.5412907702984039,0.5613735986655806,0.5933703615896114,0.6545253863134659,0.27878631802112713,0.7161693268563497,3.1550340491124746,7.576450019800037,2.0666633882706043,6.023987807242228,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n8b_fg_pretrained_frozen_s0p02,film_full_bounded_last_block,fg_only,0.02,45,ok,,True,True,1441,0.5628036086051353,0.5412907702984039,0.5651344117304782,0.5914383980263785,0.64,0.2762735127198797,0.6731436502428869,2.9866921182496444,7.201069583218532,1.806174916059024,5.272720341435219,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n8b_fg_pretrained_frozen_s0p05,film_full_bounded_last_block,fg_only,0.05,45,ok,,True,True,1441,0.5628036086051353,0.5412907702984039,0.5651363512936887,0.5914438040134067,0.64,0.27626898015864293,0.6731436502428869,2.9866921182496444,7.201069583218532,1.806174916059024,5.272720341435219,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n8b_fg_pretrained_frozen_s0p02,film_full_bounded_last_block,fg_only,0.02,46,ok,,True,True,1441,0.5947258848022207,0.5412907702984039,0.59798091469801,0.6278120355050383,0.6498800959232613,0.2758295143279731,0.6162387231089521,3.4936969021439386,7.917862523103395,2.3038885258073423,6.706812813848939,True,35008,2952962
stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_n8b_fg_pretrained_frozen_s0p05,film_full_bounded_last_block,fg_only,0.05,46,ok,,True,True,1441,0.5933379597501734,0.5412907702984039,0.5980138872725862,0.6277204474199742,0.6486810551558754,0.275787683190672,0.6162387231089521,3.4643677802566435,7.844751294201101,2.2529518456659487,6.560590356044353,True,35008,2952962
