split,sample_index,image_end_date,label_end_date,strict_policy,allowed_news_start_date,allowed_news_end_date,strict_t_minus_1_date,news_count_t_minus_1,news_count_7d_t_minus_1,news_count_20d_t_minus_1,news_count_60d_t_minus_1,same_day_news_count_excluded,has_t_minus_1_news,has_7d_news,has_20d_news,has_60d_news,same_day_exclusion_active,text_vectorizer_fit_doc
test,978,2021-01-01,2021-01-21,calendar_date_lte_t_minus_1,2011-06-22,2020-12-31,2020-12-31,14,66,208,567,4,True,True,True,True,True,False
test,979,2021-01-02,2021-01-22,calendar_date_lte_t_minus_1,2011-06-22,2021-01-01,2021-01-01,4,65,210,563,13,True,True,True,True,True,False
test,1043,2021-03-07,2021-03-27,calendar_date_lte_t_minus_1,2011-06-22,2021-03-06,2021-03-06,0,113,398,974,4,False,True,True,True,True,False
test,1057,2021-03-21,2021-04-10,calendar_date_lte_t_minus_1,2011-06-22,2021-03-20,2021-03-20,0,122,325,975,3,False,True,True,True,True,False
test,2417,2024-12-10,2024-12-30,calendar_date_lte_t_minus_1,2011-06-22,2024-12-09,2024-12-09,24,129,417,805,32,True,True,True,True,True,False
test,2418,2024-12-11,2024-12-31,calendar_date_lte_t_minus_1,2011-06-22,2024-12-10,2024-12-10,32,147,427,828,22,True,True,True,True,True,False
train,0,2018-04-29,2018-05-19,calendar_date_lte_t_minus_1,2011-06-22,2018-04-28,2018-04-28,2,37,97,271,3,True,True,True,True,True,True
train,2,2018-05-01,2018-05-21,calendar_date_lte_t_minus_1,2011-06-22,2018-04-30,2018-04-30,8,32,100,276,2,True,True,True,True,True,True
train,82,2018-07-20,2018-08-09,calendar_date_lte_t_minus_1,2011-06-22,2018-07-19,2018-07-19,0,29,85,300,5,False,True,True,True,True,True
train,136,2018-09-12,2018-10-02,calendar_date_lte_t_minus_1,2011-06-22,2018-09-11,2018-09-11,0,37,120,395,5,False,True,True,True,True,True
train,955,2020-12-09,2020-12-29,calendar_date_lte_t_minus_1,2011-06-22,2020-12-08,2020-12-08,16,62,187,476,10,True,True,True,True,True,True
train,956,2020-12-10,2020-12-30,calendar_date_lte_t_minus_1,2011-06-22,2020-12-09,2020-12-09,10,63,187,484,6,True,True,True,True,True,True
validation,1,2018-04-30,2018-05-20,calendar_date_lte_t_minus_1,2011-06-22,2018-04-29,2018-04-29,3,32,97,270,8,True,True,True,True,True,False
validation,4,2018-05-03,2018-05-23,calendar_date_lte_t_minus_1,2011-06-22,2018-05-02,2018-05-02,2,23,91,275,4,True,True,True,True,True,False
validation,63,2018-07-01,2018-07-21,calendar_date_lte_t_minus_1,2011-06-22,2018-06-30,2018-06-30,0,34,108,301,3,False,True,True,True,True,False
validation,606,2019-12-26,2020-01-15,calendar_date_lte_t_minus_1,2011-06-22,2019-12-25,2019-12-25,0,25,92,320,0,False,True,True,True,True,False
validation,952,2020-12-06,2020-12-26,calendar_date_lte_t_minus_1,2011-06-22,2020-12-05,2020-12-05,4,61,200,467,3,True,True,True,True,True,False
validation,957,2020-12-11,2020-12-31,calendar_date_lte_t_minus_1,2011-06-22,2020-12-10,2020-12-10,6,64,178,489,9,True,True,True,True,True,False
