strict_t_minus_1_date,affected_splits,affected_sample_count,first_image_end_date,last_image_end_date
2018-06-30,validation,1,2018-07-01,2018-07-01
2018-07-19,train,1,2018-07-20,2018-07-20
2018-09-11,train,1,2018-09-12,2018-09-12
2018-09-18,train,1,2018-09-19,2018-09-19
2018-10-17,train,1,2018-10-18,2018-10-18
2019-12-25,validation,1,2019-12-26,2019-12-26
2019-12-26,train,1,2019-12-27,2019-12-27
2019-12-28,validation,1,2019-12-29,2019-12-29
2020-01-04,train,1,2020-01-05,2020-01-05
2020-01-05,validation,1,2020-01-06,2020-01-06
2020-01-19,train,1,2020-01-20,2020-01-20
2020-01-26,train,1,2020-01-27,2020-01-27
2020-02-16,train,1,2020-02-17,2020-02-17
2020-02-22,validation,1,2020-02-23,2020-02-23
2020-02-23,train,1,2020-02-24,2020-02-24
2020-03-08,train,1,2020-03-09,2020-03-09
2020-03-17,validation,1,2020-03-18,2020-03-18
2020-04-12,train,1,2020-04-13,2020-04-13
2020-05-17,train,1,2020-05-18,2020-05-18
2020-05-23,train,1,2020-05-24,2020-05-24
2020-05-24,train,1,2020-05-25,2020-05-25
2020-05-31,train,1,2020-06-01,2020-06-01
2020-06-06,train,1,2020-06-07,2020-06-07
2020-06-20,train,1,2020-06-21,2020-06-21
2020-06-27,validation,1,2020-06-28,2020-06-28
2020-06-28,train,1,2020-06-29,2020-06-29
2020-07-04,train,1,2020-07-05,2020-07-05
2020-07-05,train,1,2020-07-06,2020-07-06
2020-07-12,train,1,2020-07-13,2020-07-13
2020-08-23,validation,1,2020-08-24,2020-08-24
2020-10-03,train,1,2020-10-04,2020-10-04
2021-03-06,test,1,2021-03-07,2021-03-07
2021-03-20,test,1,2021-03-21,2021-03-21
2021-05-09,test,1,2021-05-10,2021-05-10
2021-07-17,test,1,2021-07-18,2021-07-18
2021-08-14,test,1,2021-08-15,2021-08-15
2021-08-29,test,1,2021-08-30,2021-08-30
2021-09-04,test,1,2021-09-05,2021-09-05
2021-09-12,test,1,2021-09-13,2021-09-13
2021-09-26,test,1,2021-09-27,2021-09-27
2021-10-02,test,1,2021-10-03,2021-10-03
2021-12-25,test,1,2021-12-26,2021-12-26
2022-04-23,test,1,2022-04-24,2022-04-24
2022-08-06,test,1,2022-08-07,2022-08-07
2022-08-13,test,1,2022-08-14,2022-08-14
2022-08-14,test,1,2022-08-15,2022-08-15
2022-08-21,test,1,2022-08-22,2022-08-22
2022-09-10,test,1,2022-09-11,2022-09-11
2022-09-17,test,1,2022-09-18,2022-09-18
2022-09-24,test,1,2022-09-25,2022-09-25
2022-09-25,test,1,2022-09-26,2022-09-26
2022-10-01,test,1,2022-10-02,2022-10-02
2022-10-02,test,1,2022-10-03,2022-10-03
2022-10-08,test,1,2022-10-09,2022-10-09
2022-10-23,test,1,2022-10-24,2022-10-24
2022-11-27,test,1,2022-11-28,2022-11-28
2022-12-18,test,1,2022-12-19,2022-12-19
2023-01-28,test,1,2023-01-29,2023-01-29
2023-02-19,test,1,2023-02-20,2023-02-20
2023-02-26,test,1,2023-02-27,2023-02-27
2023-03-05,test,1,2023-03-06,2023-03-06
2023-04-23,test,1,2023-04-24,2023-04-24
2023-05-14,test,1,2023-05-15,2023-05-15
2023-06-11,test,1,2023-06-12,2023-06-12
2023-06-17,test,1,2023-06-18,2023-06-18
2023-07-30,test,1,2023-07-31,2023-07-31
2023-08-20,test,1,2023-08-21,2023-08-21
2023-08-26,test,1,2023-08-27,2023-08-27
2023-09-09,test,1,2023-09-10,2023-09-10
2023-09-10,test,1,2023-09-11,2023-09-11
2023-09-16,test,1,2023-09-17,2023-09-17
2023-09-17,test,1,2023-09-18,2023-09-18
2023-09-23,test,1,2023-09-24,2023-09-24
2023-09-24,test,1,2023-09-25,2023-09-25
2023-10-01,test,1,2023-10-02,2023-10-02
2023-10-08,test,1,2023-10-09,2023-10-09
2023-10-14,test,1,2023-10-15,2023-10-15
2023-10-15,test,1,2023-10-16,2023-10-16
2023-11-05,test,1,2023-11-06,2023-11-06
2023-11-12,test,1,2023-11-13,2023-11-13
2023-11-19,test,1,2023-11-20,2023-11-20
2023-12-10,test,1,2023-12-11,2023-12-11
2023-12-25,test,1,2023-12-26,2023-12-26
2024-01-01,test,1,2024-01-02,2024-01-02
2024-02-10,test,1,2024-02-11,2024-02-11
2024-02-25,test,1,2024-02-26,2024-02-26
2024-03-02,test,1,2024-03-03,2024-03-03
2024-03-16,test,1,2024-03-17,2024-03-17
2024-03-24,test,1,2024-03-25,2024-03-25
2024-06-09,test,1,2024-06-10,2024-06-10
2024-06-23,test,1,2024-06-24,2024-06-24
2024-07-13,test,1,2024-07-14,2024-07-14
2024-08-31,test,1,2024-09-01,2024-09-01
2024-09-07,test,1,2024-09-08,2024-09-08
2024-10-05,test,1,2024-10-06,2024-10-06
