date,news_count,unique_source_count,sources,headline_text_chars,headline_text_hash
2011-06-22,1,1,Engadget,86,3768272ee8108755
2012-02-01,1,1,Investopedia,41,103ae2b0e620c168
2012-03-22,1,1,The Atlantic,64,72c6ca38e6833d21
2012-11-30,1,1,Quartz,59,018646d8e2d180f6
2012-12-09,1,1,Engadget,78,317c31ee2f18c834
2013-02-21,1,1,Marketwired,60,19e510bb7a3f1f96
2013-03-28,1,1,AOL.com,49,d266a42f4202598b
2013-04-01,3,1,Business Insider,270,94fa752aa2aca65c
2013-04-02,4,1,Business Insider,287,043c4fb9cfef27b9
2013-04-03,3,1,Business Insider,239,caacff1b1601fa1b
2013-04-08,1,1,AOL.com,38,34896ca6ed4f36e7
2013-04-09,4,3,Business Insider | Quartz | The Atlantic,282,32a6c7969dd0f8c4
2013-04-10,7,5,Business Insider | DailyFX | ETF Trends | Marketwired | Quartz,574,6d4ab7701f0b74ef
2013-04-11,14,4,Associated Press | Business Insider | Money Talks News | The Atlantic,877,0d215b51516883e0
2013-04-12,2,1,Business Insider,116,97e35be7b43f3495
2013-04-13,1,1,Business Insider,33,e42a880ba64d3765
2013-04-17,1,1,Marketwired,84,0e04f4c2a77f0359
2013-04-23,1,1,Business Insider,72,d3619d6480064362
2013-04-25,2,1,Quartz,179,86ef4304f889012a
2013-04-29,1,1,Business Insider,56,f23358c2b2d20537
2013-05-01,1,1,U.S.News & World Report,29,2d6cf2858362317f
2013-05-02,1,1,Gigaom,63,3bac0154cc1bcca9
2013-05-08,1,1,Engadget,48,7b27a321e116ff9e
2013-05-09,1,1,Business Insider,92,a33bc56725f174c1
2013-05-13,1,1,Business Insider,52,61177ef8673d79f8
2013-05-15,1,1,Business Insider,75,0c96f5e8d2c99e59
2013-05-19,1,1,Quartz,87,93cf4ed4d5e34c4d
2013-05-20,1,1,Entrepreneur,50,2d7ee3fa6bccda70
2013-06-13,1,1,Marketwired,104,8674fe0ee6880d41
2013-06-28,1,1,Marketwired,104,62a7aac368104a87
2013-07-02,4,4,ETF Trends | Marketwired | The Atlantic | Zacks,242,7491ead731f7435f
2013-07-07,1,1,Seeking Alpha,34,b8f90e0d09087d3b
2013-07-08,1,1,etf.com,31,91661c6d253c040d
2013-07-09,1,1,ETF Trends,51,3d0d7b8cab0b473d
2013-07-15,1,1,Seeking Alpha,39,e1a6e15c59fd80b0
2013-07-23,1,1,24/7 Wall St.,63,2b3c0a59cf8c0bff
2013-07-29,1,1,Investopedia,17,c53099dd1d17ad5a
2013-07-30,1,1,Business Insider,120,6322eb39ac91f52d
2013-08-01,1,1,Entrepreneur,57,c769e209fe7b39d2
2013-08-12,1,1,ETF Database,25,28f898a46340e7b6
2013-08-15,1,1,Marketwired,111,4ecd2215c24a428b
2013-09-04,1,1,ACCESSWIRE,89,b4d861d721f0d416
2013-09-05,1,1,Marketwired,127,755baa85612af8a2
2013-09-10,1,1,ACCESSWIRE,69,32294a0e857b9faa
2013-09-11,1,1,ACCESSWIRE,85,0819e17c9511847b
2013-09-12,2,2,ACCESSWIRE | Business Insider,135,9fc310d3732909b8
2013-09-16,1,1,Gigaom,85,550fc9325cdb2f89
2013-09-17,1,1,ETF Trends,67,763ee3019f74dc3a
2013-09-20,1,1,Business Insider,50,be168b2ff38e4b02
2013-09-25,2,1,ACCESSWIRE,143,9b6f0f07d9433773
2013-09-26,2,2,24/7 Wall St. | ACCESSWIRE,96,3df2fa9c2fc6162e
2013-09-27,1,1,Business Insider,84,7864b98e4595d12b
2013-09-28,1,1,ACCESSWIRE,63,ca03ed37d526fdde
2013-10-01,1,1,Reuters,57,1cbe8c1de2f58163
2013-10-02,3,2,Business Insider | Reuters,277,13539fbd1e37e3cc
2013-10-03,3,2,BGR News | Business Insider,247,7062e24c4d03864f
2013-10-07,1,1,Business Insider,122,8d99066b5c7da698
2013-10-09,1,1,Business Insider,42,bec766b4f28b9269
2013-10-13,1,1,Business Insider,82,b384ed698ed02429
2013-10-15,2,1,Business Insider,142,3aa17d80297533d0
2013-10-16,1,1,Marketwired,105,909036f74c165e3d
2013-10-17,1,1,Marketwired,68,e0b9d89edbcf4bf5
2013-10-23,1,1,Business Insider,58,4502bfd90383788f
2013-10-24,1,1,Entrepreneur,59,4c5501d783a6d412
2013-10-26,1,1,Business Insider,66,12d03d32f3fa8060
2013-10-29,2,2,Reuters | Yahoo Finance,110,8236205465a4c0f2
2013-11-03,1,1,Reuters,49,2fa16904ddb1db36
2013-11-05,1,1,Business Insider,54,432f6450bd8f4535
2013-11-06,3,2,24/7 Wall St. | Business Insider,160,7ba4b7b47658bf27
2013-11-07,2,2,Business Insider | Marketwired,228,19023673be758916
2013-11-08,1,1,Business Insider,104,85c03e244738a5c0
2013-11-10,1,1,Business Insider,67,35516b8399f1f6de
2013-11-12,3,3,Associated Press | Marketwired | Moody's,196,55341dd1bf747726
2013-11-13,1,1,Business Insider,44,0ac25a74bc84149a
2013-11-14,1,1,Marketwired,65,94f3bff20aa9319f
2013-11-15,2,1,Marketwired,209,088c98524065c19b
2013-11-17,1,1,Business Insider,101,694e7549502b5bbe
2013-11-18,4,2,Business Insider | Reuters,278,b42e4b1ec4114571
2013-11-19,3,3,BusinessWeek | ETF Trends | The Fiscal Times,174,116fb4eb279fa3a9
2013-11-20,3,3,Associated Press | Business Insider | Marketwired,171,8edb402727abc30d
2013-11-21,5,4,Business Insider | DailyFX | Marketwired | The Atlantic,377,1113803b747ac061
2013-11-22,5,4,Business Insider | Engadget | Marketwired | Moody's,365,8f60c1140228cc8c
2013-11-25,3,1,Business Insider,254,6bf17b641d215eae
2013-11-27,6,4,Business Insider | ETFguide | Entrepreneur | Reuters,394,9013eefb91962bf2
2013-11-29,3,0,,277,6bab615ce6ffa890
2013-12-01,1,1,Business Insider,34,c45cac5b0b996fa8
2013-12-02,4,4,Business Insider | CNBC | Marketwired | Zacks,317,423334da66618707
2013-12-03,4,3,Business Insider | Entrepreneur | Marketwired,377,bc43f932d4b80db5
2013-12-04,8,2,Business Insider | Marketwired,739,c3253be624c1ef96
2013-12-05,5,4,Business Insider | CNBC | The Atlantic | Yahoo Finance,363,e369db9bccde7c37
2013-12-06,5,3,24/7 Wall St. | Business Insider | Money Talks News,303,3473bb33f10ba9fe
2013-12-10,6,2,Business Insider | Marketwired,402,65d9da3bb2da9d28
2013-12-11,8,5,Business Insider | Entrepreneur | Marketwired | Minyanville | Reuters,654,d0002de38f6c09ed
2013-12-12,1,1,Entrepreneur,59,4f7eb78bb601817c
2013-12-13,5,5,ACCESSWIRE | Business Insider | Entrepreneur | Reuters | The Atlantic,316,967bffdc4eb68c51
2013-12-14,1,1,Business Insider,89,ffaab2cca63b9e3f
2013-12-15,1,1,The Atlantic,48,5c234af95394fd8d
2013-12-16,1,1,Entrepreneur,39,ea67c165a3226a75
2013-12-17,6,5,ACCESSWIRE | Business Insider | Marketwired | Minyanville | Reuters,534,40dade2fec23c6d2
2013-12-18,4,4,Business Insider | CNBC | Entrepreneur | Marketwired,314,34b2d4aad9074e41
2013-12-19,2,2,Business Insider | Marketwired,153,281d1632aec7fd62
2013-12-22,1,1,Business Insider,108,d2e0d5c3e35e841c
2013-12-23,3,2,ACCESSWIRE | Business Insider,213,48f5c0b0cc223e46
2013-12-24,3,3,24/7 Wall St. | Business Insider | ETF Trends,142,65772dfca220f4ff
2013-12-26,1,1,Marketwired,66,463620c2804ee256
2013-12-27,2,2,ACCESSWIRE | Business Insider,162,3ef3dd0fa686fd6e
2013-12-30,3,3,Business Insider | Entrepreneur | Marketwired,167,92f37702db3f0178
2013-12-31,2,2,Business Insider | theflyonthewall.com,108,f2c1398c78d85895
2014-01-02,1,1,Yahoo Tech,59,7bf8e4085091904c
2014-01-05,1,1,Marketwired,109,a7ea118bb2f75e04
2014-01-06,3,3,Business Insider | Entrepreneur | Yahoo Tech,223,828accf5ff8aeb1d
2014-01-07,1,1,ACCESSWIRE,89,8299adb6639a030f
2014-01-08,4,3,Business Insider | Marketwired | Zacks,211,ca4bc9993f4c6009
2014-01-09,1,1,Zacks,52,e694d7e31fe54726
2014-01-10,3,3,Business Insider | Engadget | Marketwired,222,3d56cc558d167180
2014-01-12,1,1,Business Insider,31,26e2bf4ec7f4da08
2014-01-13,3,3,ACCESSWIRE | Business Insider | theflyonthewall.com,246,b53df202805489ed
2014-01-14,4,3,Business Insider | Marketwired | Reuters,339,bc76d6bfc8f2b3fd
2014-01-15,2,1,Marketwired,158,265076042d3e2e89
2014-01-16,1,1,24/7 Wall St.,56,c5e4bcc051d46978
2014-01-17,2,2,Engadget | Marketwired,130,61d06eed2da2bd05
2014-01-19,1,1,ETF Trends,43,ab722930110ceab1
2014-01-20,2,2,Associated Press | Entrepreneur,93,1eabe6a9055567ab
2014-01-21,6,5,Associated Press | Business Insider | Marketwired | Reuters | Yahoo Tech,383,bc86c731bcbb9b98
2014-01-22,1,1,Marketwired,85,a4b71a88771531c3
2014-01-23,2,2,ACCESSWIRE | Business Insider,125,f0a610f536134de9
2014-01-24,4,4,Business Insider | Entrepreneur | Marketwired | The Fiscal Times,291,4f6b30d9d73ced0e
2014-01-27,7,3,Associated Press | Reuters | Wall Street Transcript,723,f75808e972b3fe56
2014-01-28,2,2,Business Insider | The Daily Beast,114,429d1007f6740768
2014-01-29,2,2,Business Insider | Entrepreneur,93,205b0b978065c064
2014-01-30,3,3,Entrepreneur | Reuters | Yahoo Tech,215,f5b891ae7eefba57
2014-01-31,1,1,Marketwired,207,d1139add9bef7564
2014-02-04,2,2,Marketwired | Yahoo Tech,139,b5bb7e27c8d9c50f
2014-02-05,2,2,Entrepreneur | The Atlantic,97,c3555e5292645142
2014-02-06,2,2,ACCESSWIRE | Yahoo Tech,170,6176030a1f47c7e5
2014-02-07,4,4,Business Insider | CNBC | Entrepreneur | Marketwired,261,5949e8a3f94b68fe
2014-02-09,1,1,Reuters,39,13f86e8555c90b2d
2014-02-10,5,5,Business Insider | Engadget | Marketwired | Reuters | Yahoo Tech,449,defc66cdc5654710
2014-02-11,2,2,Business Insider | Reuters,132,1bcf7b6f411537fc
2014-02-12,3,3,Associated Press | Entrepreneur | Reuters,188,23f6c5f0d7b39aa2
2014-02-13,5,4,ACCESSWIRE | Business Insider | Marketwired | The Atlantic,481,b801fe639bb45836
2014-02-14,2,2,Money Talks News | The Fiscal Times,104,d924fd4c6e4ef5d5
2014-02-16,1,1,ACCESSWIRE,69,6404506ddca67f2a
2014-02-17,2,2,ACCESSWIRE | Business Insider,137,eac68932b6ebfa9e
2014-02-19,3,3,ACCESSWIRE | Associated Press | StreetAuthority Network,216,50c3d0f84b0c8a8b
