split,sample_index,image_end_date,label_end_date,news_count_7d,unique_source_count_7d,headline_preview_7d,headline_text_hash_7d,news_count_20d,unique_source_count_20d,headline_preview_20d,headline_text_hash_20d,news_count_60d,unique_source_count_60d,headline_preview_60d,headline_text_hash_60d
test,978,2021-01-01,2021-01-21,61,16,"Can Bitcoin Hit $100,000 in 2021? Regulators and the Bulls may have to Battle it out! [SEP] Bitcoin Tops $24.6K on Christmas Day, Sets New All-Time High [SEP] Institutional Investors Are Piling into Bitcoin [SEP] Bitcoin Era Review - Doe...",3b6da4eb163ecf53,200,22,The American heartland needs jobs. Could Bitcoin mining become its next savior? [SEP] The Bitcoin Banking Battle Heats Up [SEP] Will Bitcoin Continue to Rise? Crypto Experts Finixio Make Their Predictions [SEP] As Bitcoin Again Surpasses...,3f71651ea2673a89,529,30,"Bitcoin and Ethereum – Weekly Technical Analysis – November 2nd, 2020 [SEP] Bitcoin Trades Near Three-Year Highs, Briefly Crossing The $14K Mark [SEP] Bitcoin Miners Saw 8% Revenue Increase in October [SEP] Blockchain Bites: Digital Yuan...",f3f8fd3e5124e16c
test,979,2021-01-02,2021-01-22,59,15,"Bitcoin Hits $25K for First Time Ever, Approaches $26K [SEP] Deribit Adding Options to Allow Bitcoin Traders to Bet on Rally to $120K, $140K [SEP] Bitcoin Crosses $25,700, Aims At $26,000 [SEP] Asia's First Top Star with Bitcoin Drama ou...",fb6532c693620938,201,23,"Will Bitcoin Continue to Rise? Crypto Experts Finixio Make Their Predictions [SEP] As Bitcoin Again Surpasses $19K, Analysts Eye $20K-Level [SEP] Minersgarden Launches New Iceland Farm For BTC and ETH Cloud Mining [SEP] Saylor Hits Back...",22d886b5943aa92e,526,31,Bitcoin’s Implied Volatility Rises Ahead of US Election [SEP] Bitcoin Advocate Jack Dorsey to Stay On as Twitter CEO [SEP] US Bitcoin Mining Firm Layer1 in Legal Tussle Over Power Facility Ownership [SEP] Bitcoin Surges 3.5% On US Electi...,5834ef9340be6ded
test,2417,2024-12-10,2024-12-30,119,29,"Bitcoin Struggles To Surpass $100,000 as Resistance and Economic Factors Weigh on Price [SEP] Polymarket Bettors Skeptical Over Potential Microsoft (MSFT) Bitcoin Purchase [SEP] It's Raining Options and BTC Doesn't Care: Crypto Daybook A...",b197ae9cdae22918,306,37,"Watch These Bitcoin Price Levels as Cryptocurrency Mints New Record High Above $94K [SEP] Bitcoin ETF Options Attract $2B on Day One, Shifting BTC’s Market Structure [SEP] Coinbase Delists Wrapped Bitcoin wBTC, Citing 'Listing Concerns'...",692ec060376651f9,685,50,"Bitcoin Dips Below $59,000 as Inflation Fears Rattle Investors [SEP] Trump-Themed PoliFi Tokens Buck Bitcoin Downtrend as China Stimulus Hopes Return [SEP] Bitcoin on Track for Record Sideways Action, With Eyes on November Elections as B...",ccb2f936583a258a
test,2418,2024-12-11,2024-12-31,137,29,"Crypto Liquidations Hit $588 Million as XRP, Bitcoin, Ethereum and Dogecoin Experience Major Price Swings [SEP] Bitcoin Exchange Reserves Fall to 2.46 Million BTC, Lowest Level in Years, Signaling Long-Term Investment Trend [SEP] How Bit...",53a4dc7493f3e59d,312,37,"Bitcoin Crosses $97K, Continuing Wild ‘Trump Trade’ Rally [SEP] Bitcoin Futures Smash Through $100K Barrier on Deribit [SEP] Bitcoin Surpasses $97,000 as Traders Eye $100,000, Breaking Records and Fueling Market Optimism [SEP] Crypto Rev...",b4007e9ed6105e84,704,50,These Surprising Cryptocurrencies Are Outperforming Bitcoin This Year (and It's Not Even Close) [SEP] Bitcoin Takes Another Shot at $63.5K as China's Vague Fiscal Stimulus Deters Capital Shift [SEP] Here's Why I Think Bitcoin Is Grossly...,0f7ce9955b476dd2
train,0,2018-04-29,2018-05-19,37,11,"Bitcoin Cash, Litecoin and Ripple Daily Analysis – 22/04/18 [SEP] Bitcoin Holding on to the Bitcoin Cash Coat Tails [SEP] South Korea’s Bitcoin Price Premium Returns as Crypto Market Climbs to $385 Billion [SEP] Bitcoin Mining Profitable...",d8fe6351dfc08f18,96,17,Bitcoin Teases Bull Reversal with Rise Above $7K [SEP] Morgan Stanley: Bitcoin Is No Threat To PayPal's Online Dominance [SEP] Relief Rally Ahead? Oversold Ether Eyes Gains Against Bitcoin [SEP] Bitcoin and Ethereum Price Forecast – Pric...,bba97127b8a3bf97,267,27,"Bitcoin Touches $11,000, But all too briefly [SEP] Bitcoin Brushes $11K as Bull Case Strengthens [SEP] Woz was scammed out of Bitcoins now worth over $70,000 [SEP] 'Bitcoin inventor' Craig Wright sued for $10bn by family of man associate...",cdd555039bae3dd2
train,2,2018-05-01,2018-05-21,32,10,"Cboe Exchange Wants to Lower Its Bitcoin Futures Prices [SEP] Bitcoin does nothing on Monday [SEP] BitPay Confirms Bitcoin Cash Retail Payments as Prices Jump [SEP] Bitcoin rallies to a more than one month high near $9,300 [SEP] Bitcoin...",4878f46835079cfe,99,17,"Bitcoin and Ethereum Price Forecast – Prices Consolidate [SEP] Bitcoin Price Moves Closer to $7,000 as Cryptocurrency Market Posts Small Gain [SEP] Bitcoin investors fall into one of these 3 categories [SEP] Bitcoin, Other Cryptos Rise a...",96a3b55f300f098a,272,26,"'Bitcoin Private' Is Here, But What's It Worth? [SEP] Bitcoin Struggles to Pass $11K Amid Low Volumes [SEP] Bitcoin Transaction Volume Is Puzzling Investors [SEP] Bitcoin Moves Ahead, with $12,000 in its Sights [SEP] Bitcoin's 'Kimchi Pr...",0577e465b14e775c
train,955,2020-12-09,2020-12-29,59,9,BlackRock’s Fink Says Bitcoin Can Possibly ‘Evolve’ Into Global Asset [SEP] Institutional Bitcoin Shop NYDIG Raises $150M for Twin Crypto Funds [SEP] Bitcoin Sees Record Number of Active Users as Price Almost Hits $20K [SEP] Blockchain B...,2bea76eaea198011,173,21,Jamie Dimon's Own Bank Has A Cryptocurrency But Says Bitcoin 'Not My Cup Of Tea' [SEP] Solidus Labs Believes Its Crypto Surveillance Tool Can Help Launch a Bitcoin ETF [SEP] Deutsche Bank Says Investors Increasingly Prefer Bitcoin Over G...,fab990252e567830,430,29,"Bitcoin Nears $11.5K on US Stimulus Prospects, Seems to Confirm Bullish Trend [SEP] Bitcoin transaction values and fees grew in 2020’s third quarter [SEP] Is Bitcoin More Correlated to Stocks or Gold? [SEP] Bitcoin and Chainlink – Weekly...",6b9991c92c87133c
train,956,2020-12-10,2020-12-30,60,9,"bitFlyer Sees 3x Increase in Registrations and Highest Volume Month in 2020 As Bitcoin Hits ATH [SEP] First Mover: Ether Eyed as Value Play With Bitcoin Pressing $20K [SEP] Market Morning: Vaccine Delivery, Bitcoin Back Up, Democrats Sta...",d638f655e605c99b,174,21,"Morgan Creek CEO Says Bitcoin Doing ‘Extremely Well’ Due to Fed Reserve’s Dollar Devaluation [SEP] Players Prefer Cashing Out in Bitcoin Amid Rally, Says Online Poker Giant [SEP] US Firm Launches Company-Sponsored Bitcoin Retirement Plan...",12f7b7f77d723623,438,29,"Is Bitcoin More Correlated to Stocks or Gold? [SEP] Bitcoin and Chainlink – Weekly Technical Analysis – October 12th, 2020 [SEP] Elon Musk Plays Down Sighting of Bitcoin ATM in Tesla Gigafactory [SEP] Spate of Bitcoin Extortion Bomb Thre...",1acd90568d6cd796
validation,1,2018-04-30,2018-05-20,32,11,"Bitcoin and Ethereum Price Forecast – Prices At Resistance [SEP] Bitcoin Cash, Litecoin and Ripple Daily Analysis – 23/04/18 [SEP] Bitcoin Goes Lateral as Bitcoin Cash Steals the Show… Again [SEP] Cryptocurrencies’ Prices Rise; U.S. Fed...",6c68774dd428a137,96,17,Bitcoin and Ethereum Price Forecast – Prices Back Under Pressure [SEP] Bitcoin Plunges; Bank of America Says Crypto Bubble Is Popping [SEP] Bitcoin Moving Sideways as Investors Fear another Sell-Off [SEP] Rangebound: Bitcoin Bulls Need B...,93d22bfe260f6700,266,26,"Steve Wozniak says he was scammed out of $74,000 in Bitcoin [SEP] 9 Stocks to Buy Instead of Bitcoin [SEP] 'Bitcoin Private' Is Here, But What's It Worth? [SEP] Bitcoin Struggles to Pass $11K Amid Low Volumes [SEP] Bitcoin Transaction Vo...",9d24b9e9e87be762
validation,4,2018-05-03,2018-05-23,23,8,"Bitcoin Risks Deeper Pullback After Drop Below $9K [SEP] CBOE Saw Its Highest-Ever Bitcoin Futures Volumes Yesterday [SEP] Bitcoin Price Rebounds to $9,200 After a 10% Decline, Market Begins to Rebound [SEP] Bitcoin frenzy settles down a...",270545cbe73265a0,91,15,"Bitcoin Unexpectedly Maintains its 13% Gain, Remains Above $7,800 as Market Strengthens [SEP] Billionaire Tim Draper Sets $250,000 Bitcoin Price Target for 2022 [SEP] Bitcoin is a bubble and a perfect example of ‘faddish human behavior,’...",801e6d3853fd917c,271,26,"Bitcoin Cash, Litecoin and Ripple Daily Analysis – 04/03/18 [SEP] Bitcoin Back in the Red and Holding on to $11,000 [SEP] Bitcoin Monthly Forecast – March 2018 [SEP] Bitcoin and Ethereum Price Forecast – BTC Prices Looking Higher [SEP] M...",49e5d72d7221b298
validation,952,2020-12-06,2020-12-26,59,12,"Guggenheim Fund Files to Be Able to Invest Up to Almost $500M in Bitcoin Through GBTC [SEP] How Bitcoin Gets to $100,000 [SEP] Guggenheim Fund Mulls Investment in Grayscale Bitcoin Trust [SEP] Crypto Long & Short: How Bitcoin Development...",4f2c39a206e0724d,184,21,"Bitcoin and Litecoin – Weekly Technical Analysis – November 16th, 2020 [SEP] Citibank Analyst Says Bitcoin Could Pass $300K by December 2021 [SEP] Fidelity’s Crypto Arm Responds to 6 Common Bitcoin Criticisms [SEP] Belarus Bank to Offer...",8bac9a770f979a61,420,29,"KuCoin Restarts Deposits, Withdrawals for Bitcoin, Ether Following $281M Hack [SEP] First Mover: Bitcoin Steady as Trump Tweets and Neo Takes on Ethereum [SEP] Coinbase’s ‘Mission’ Violates the Spirit of Bitcoin [SEP] Market Wrap: Bitcoi...",662d36469a9fca22
