source,row_count
CoinDesk,9388
FX Empire,2041
CCN,1906
Reuters,1268
Benzinga,1211
Forkast News,928
GlobeNewswire,901
Motley Fool,831
Fortune,799
Coin Rivet,753
CoinMarketCap,739
TheStreet,733
BeInCrypto,660
Business Insider,598
Decrypt Media,577
Investing.com,504
ACCESSWIRE,494
Cointelegraph,420
Zacks,386
Yahoo Finance UK,329
Yahoo Finance,313
The Independent,280
GOBankingRates,268
Bloomberg,264
Decrypt,239
etf.com,214
GuruFocus.com,207
Bitcoin Magazine,200
The Block,200
Marketwired,197
InvestorPlace,184
Newsfile,177
The Telegraph,159
CNBC,151
PR Newswire,140
Investopedia,132
Quartz,102
ETF Trends,102
Entrepreneur,92
TechCrunch,90
Insider Monkey,89
Engadget,87
News Direct,87
Business Wire,66
<missing>,64
Associated Press,62
TipRanks,58
Market Exclusive,42
The Defiant,41
Moneywise,41
Evening Standard,39
Fox Business,33
Simply Wall St.,31
Bankrate,26
Kiplinger,26
MT Newswires,23
CNW Group,22
The Atlantic,20
USA TODAY,19
BGR News,19
Washington Examiner,19
Inverse,19
U.S.News & World Report,17
ACCESS Newswire,16
NewMediaWire,16
Time,16
Yahoo Tech,15
Associated Press Finance,15
The Daily Beast,13
SmartAsset,12
Miami Herald,12
Deadline,10
SmarterAnalyst,10
24/7 Wall St.,10
Oilprice.com,10
Gizmodo,9
The Fiscal Times,8
Mashable,8
South China Morning Post,7
The Hill,7
Politico,7
DailyFX,6
The Conversation,6
Gigaom,6
CNN Business,6
Futurism,6
The Week,6
Robb Report,6
LA Times,6
Semafor,5
Verdict,5
FastCompany,5
Schaeffer's Investment Research,5
Popular Mechanics,5
Yahoo Finance Canada,5
ALM Media,5
Mashable Tech,4
Hypebeast,4
IPO-Edge.com,4
Wall Street Transcript,4
NBC News,4
Sportico,4
Yahoo Money,4
Money Talks News,4
AfroTech,4
NY Daily News,4
Exec Edge,4
Worth,4
Lexington Herald-Leader,4
In The Know by Yahoo,3
Kansas City Star,3
theflyonthewall.com,3
The Guardian,3
Private Banker International,3
StreetAuthority Network,3
Variety,3
PYMNTS,3
HuffPost,3
PA Media: Money,3
Harvest Exchange,2
Consumer Reports,2
Yahoo Sports,2
Credit.com,2
AOL.com,2
Dirt,2
National Review,2
Seeking Alpha,2
MoneyShow,2
Minyanville,2
WWD,2
ETF Database,2
Orlando Sentinel,2
ETFguide,2
Yahoo News UK,2
Complex,2
The Hollywood Reporter,2
Euronews,2
The Daily Upside,2
CME Group,2
Black Enterprise,2
Moody's,2
Charlotte Observer,2
Tom's Hardware,2
Pitchbook,2
USA TODAY Sports,2
BusinessWeek,2
Hart Energy,2
dpa international,2
United Press International,2
Salon,2
VIBE,2
Chicago Tribune,1
The Recount,1
Nittany Lions Wire,1
SlickDeals,1
Washington Post,1
Poets & Quants,1
Latestly,1
Fort Worth Star-Telegram,1
Macon Telegraph,1
Yahoo Finance Singapore,1
Pubtools Test Provider,1
WFXT,1
BGR,1
Allure,1
Rolling Stone,1
Entertainment Weekly,1
Hello Giggles,1
Travel Noire,1
The Motley Fool,1
Autoweek,1
SYFY,1
ValuePenguin,1
BRIT + CO,1
Market Realist,1
Food & Wine,1
Sacramento Bee,1
Globe Newswire,1
Raleigh News and Observer,1
Vanity Fair,1
CBS News,1
Yahoo UK Finance Video,1
People,1
TechRadar,1
Oxygen,1
Men's Journal,1
BuzzFeed News,1
Financial Times,1
NY Post,1
Singapore Business Review,1
Mountain West Wire,1
Manilla.com,1
Esquire,1
TechRepublic,1
POWER Magazine,1
CBC,1
ABC News,1
Deseret News,1
Rams Wire,1
Yahoo Finance Video,1
Unherd,1
FTW Outdoors,1
Yahoo News,1
International Business Times,1
USA Today,1
The Tennessean,1
IEN,1
The Wall Street Journal,1
Reason.com,1
The Information,1
PC Gamer,1
ADWEEK,1
Slate,1
Digital Trends,1
WSB Cox articles,1
CNET,1
Electronic Payments,1
MarketWatch,1
Tech Media Network (Tom's Guide),1
Patch,1
