split,sample_index,image_end_date,label_end_date,news_count_7d,unique_source_count_7d,news_svd_norm_7d,news_svd_7d_00,news_svd_7d_01,news_svd_7d_02,news_svd_7d_03,news_svd_7d_04,news_count_20d,unique_source_count_20d,news_svd_norm_20d,news_svd_20d_00,news_svd_20d_01,news_svd_20d_02,news_svd_20d_03,news_svd_20d_04,news_count_60d,unique_source_count_60d,news_svd_norm_60d,news_svd_60d_00,news_svd_60d_01,news_svd_60d_02,news_svd_60d_03,news_svd_60d_04
test,978,2021-01-01,2021-01-21,61,16,0.30318586463522396,0.2590841033085716,0.08881356765244548,-0.05594229105440859,-0.02791728391299048,0.01579042860718558,200,22,0.45966342654476033,0.40516586404364874,0.1508219308496137,-0.06321605014634313,-0.05613944911331448,-0.011908502813975284,529,30,0.8377720530646484,0.5219270469509973,0.23676330646425356,-0.1300935989610843,-0.10412150137492089,0.014808003575164682
test,979,2021-01-02,2021-01-22,59,15,0.2986586010120543,0.2555919268641091,0.0911409643606796,-0.05150785901042912,-0.02435975091097988,0.012682974357805485,201,23,0.4596226785515855,0.4063502308029603,0.15000934688287124,-0.061302410959469936,-0.05515753729814159,-0.012500257739248788,526,31,0.8335263982045351,0.5211700164756901,0.23306930171647194,-0.1255152666378496,-0.10214045499537308,0.013586473040397548
test,2417,2024-12-10,2024-12-30,119,29,0.33690116151628813,0.3113093236068076,0.03788257229509528,-0.041755039163246785,-0.04679191870568698,0.011813047106627426,306,37,0.44801466803219736,0.41779820203507606,0.0454057229977169,-0.04851973972158579,-0.042024929741564035,0.0023875378752874123,685,50,0.5259336353213574,0.49351505947277646,0.05800935918279545,-0.044327135577673926,-0.07068791283333727,-0.01843532208485181
test,2418,2024-12-11,2024-12-31,137,29,0.35743611904973943,0.32787034901472945,0.04698789844233359,-0.047118891037602605,-0.04993887875953058,0.014909119042915841,312,37,0.45119616837637166,0.42119116243942634,0.049867521806623114,-0.051836726945454985,-0.04056045019740963,0.0033467527902440878,704,50,0.5287305808729015,0.4956193030267145,0.05942937081045298,-0.0457751154577223,-0.0716290010813247,-0.014869647256519434
train,0,2018-04-29,2018-05-19,37,11,0.5057806288000316,0.280412626761216,-0.10669697530802136,-0.04337171046061557,0.05635580297162757,0.09218882740765212,96,17,0.666459174242654,0.34481966089757177,-0.12697184859143443,-0.069266459709418,0.07940874303630858,0.1023988160664345,267,27,0.6907305483311873,0.44738597748902603,-0.1509382857389109,-0.06944215911652002,0.09832629116188367,0.07100279210669938
train,2,2018-05-01,2018-05-21,32,10,0.48500798727004313,0.25633798724638435,-0.09634228376036315,-0.049962076075434084,0.06387336358906674,0.09373390869413425,99,17,0.6994244858856841,0.3485187742206878,-0.13492033818524451,-0.07686809329720576,0.08605000525201444,0.11660919938776816,272,26,0.7202111963651349,0.4515871193250984,-0.15860692982982566,-0.07606066058461929,0.10760607335263205,0.07691485638236381
train,955,2020-12-09,2020-12-29,59,9,0.42531046926236354,0.2831791502630078,0.19537125191358362,-0.104082795705999,-0.04755614184709842,0.005682516600724293,173,21,0.729665670457583,0.3992757748749321,0.21539674779989446,-0.12041051379472001,-0.0728895327629728,0.02474950575551316,430,29,0.9459804776365389,0.5048184625212172,0.2906641642648936,-0.1938218403949504,-0.13147540181369796,0.052397673746154866
train,956,2020-12-10,2020-12-30,60,9,0.41846479730623254,0.2911710277599424,0.19312789560062885,-0.09895521564414414,-0.03967834358186773,0.0034120142087204265,174,21,0.6988503761255208,0.3999733969694469,0.20811444638746115,-0.11734956716159704,-0.0703445004991422,0.019214728002670108,438,29,0.9424156010999752,0.5074442981675829,0.2876704129136207,-0.19205933585801305,-0.1303218850817754,0.049986196303296634
validation,1,2018-04-30,2018-05-20,32,11,0.4764316725088372,0.2654729143648916,-0.10178418782849796,-0.03796601817685438,0.05866389907835953,0.08395931893384001,96,17,0.6685124140066132,0.3445767191973767,-0.12940564378426112,-0.06885032369114771,0.08332260341177648,0.10527235277949067,266,26,0.6981016934465993,0.4477945851833766,-0.15372817948787984,-0.07333936085190679,0.1038768052766756,0.07224666714983655
validation,4,2018-05-03,2018-05-23,23,8,0.43831823341139264,0.20668673224269515,-0.10482262738936987,-0.050704885586387735,0.061120517895891666,0.09959903570748424,91,15,0.7020168159633091,0.3416378210685226,-0.14000773693322277,-0.07401878564549941,0.08890568424682806,0.11524351640670175,271,26,0.7338927046423203,0.4514615519372731,-0.15973972503532483,-0.07611276909589548,0.10893402472800509,0.08021977571188747
validation,952,2020-12-06,2020-12-26,59,12,0.457764428353174,0.27690337213492505,0.18276117418648932,-0.09940268831994749,-0.0450603584603735,-0.009869300555743256,184,21,0.8346951474280143,0.4004654217960152,0.21607237418779138,-0.13191622855776647,-0.08931044262547012,0.0333622465421106,420,29,0.9595324860662523,0.5012008732189958,0.29694705164618856,-0.2036285268944902,-0.13553401557199915,0.05373006018727647
validation,957,2020-12-11,2020-12-31,61,9,0.4154975066889144,0.29841537845307886,0.1874845180653293,-0.09932280662927755,-0.03753674173527465,0.01597089020120308,167,21,0.6571513956518753,0.3961765596114605,0.20542216793915816,-0.11487150363582584,-0.06542479191791808,0.016635449054704928,443,29,0.940252912579081,0.5094451944559549,0.2874487172080882,-0.19215315668483077,-0.13001957525997587,0.05126516868957317
