component_index,component_feature_suffix,explained_variance_ratio,top_positive_terms,top_positive_weights,top_negative_terms,top_negative_weights
0,00,0.015937484873957786,bitcoin price | bitcoin cash | cash | analysis | litecoin | daily | daily analysis | ripple daily | litecoin ripple | analysis sep | ripple | bitcoin sep,0.073908 | 0.072653 | 0.072251 | 0.068676 | 0.067207 | 0.066850 | 0.065822 | 0.065822 | 0.065782 | 0.065550 | 0.065131 | 0.064879,high placing | pays bitcoin | difficult imagine | difficult | installed circle | bank argues | bank difficult | placing eye | placing | shot sep | pitiful gains | inching closer,0.002468 | 0.002468 | 0.002468 | 0.002468 | 0.002468 | 0.002468 | 0.002468 | 0.002468 | 0.002468 | 0.002468 | 0.002468 | 0.002468
1,01,0.055511263931678226,market wrap | wrap | wrap bitcoin | mover | sep mover | blockchain bites | bites | mover bitcoin | sep blockchain | sep market | defi | news roundup,0.129276 | 0.128206 | 0.119551 | 0.118518 | 0.118031 | 0.105743 | 0.094795 | 0.088731 | 0.086865 | 0.086183 | 0.085907 | 0.079310,litecoin ripple | daily analysis | ripple daily | analysis sep | forecast | price forecast | daily | cash litecoin | abc | cash abc | abc litecoin | cryptos,-0.067724 | -0.067629 | -0.067629 | -0.062179 | -0.055695 | -0.054248 | -0.050209 | -0.046718 | -0.041421 | -0.041419 | -0.041009 | -0.040233
2,02,0.03887659074195202,litecoin american | abc litecoin | level sep | cash abc | dips level | abc | ethereum litecoin | halving | wrap sep | american wrap | safe haven | cross,0.081756 | 0.079911 | 0.079600 | 0.079133 | 0.076524 | 0.072546 | 0.071380 | 0.065765 | 0.064672 | 0.063786 | 0.063263 | 0.062036,market wrap | wrap bitcoin | cash litecoin | weekly technical | blockchain bites | technical analysis | bites | mover | sep mover | uniswap | sep blockchain | microstrategy,-0.073434 | -0.071978 | -0.060218 | -0.059263 | -0.056068 | -0.052695 | -0.050927 | -0.050833 | -0.050736 | -0.049347 | -0.048482 | -0.046746
3,03,0.03501341196242053,intraday analysis | price intraday | dips level | coronavirus | litecoin american | intraday | ethereum litecoin | halving sep | cash litecoin | halving | prices | btc prices,0.058999 | 0.058999 | 0.056774 | 0.053765 | 0.051282 | 0.050144 | 0.048453 | 0.048041 | 0.047341 | 0.047332 | 0.045256 | 0.043542,abc litecoin | cash abc | abc | tron | cardano | binance coin | libra | grayscale | coin stellar | bitcoin breaks | facebook libra | bnb,-0.076263 | -0.072886 | -0.059144 | -0.041245 | -0.036865 | -0.036339 | -0.036196 | -0.035799 | -0.034900 | -0.034114 | -0.034026 | -0.033419
4,04,0.031017872997545087,daily analysis | ripple daily | litecoin ripple | analysis sep | analysis | daily | ripple | sep podcast | bitcoin cash | sep sec | litecoin | bakkt bitcoin,0.061580 | 0.061580 | 0.061488 | 0.061427 | 0.052175 | 0.048837 | 0.041747 | 0.040236 | 0.040031 | 0.039207 | 0.038269 | 0.037100,price analysis | dow | ripple ethereum | daily price | sep dow | cardano | stellar | halving sep | ethereum bitcoin | ethereum daily | bitcoin news | tron,-0.059961 | -0.054355 | -0.051903 | -0.051850 | -0.047773 | -0.046567 | -0.046536 | -0.046438 | -0.045361 | -0.044873 | -0.042542 | -0.040106
5,05,0.02921188161455857,buffett | warren | facebook libra | warren buffett | ltc | eth xrp | ripple ceo | eos bnb | bnb bsv | xlm | facebook crypto | soaring,0.052842 | 0.046924 | 0.046920 | 0.043879 | 0.040921 | 0.040533 | 0.037603 | 0.037412 | 0.037412 | 0.036582 | 0.035937 | 0.035128,ethereum daily | abc | bitcoin ripple | cash abc | roundup november | news crypto | christmas | daily price | abc litecoin | yearly low | ripple ethereum | crypto currency,-0.055540 | -0.050201 | -0.047231 | -0.046697 | -0.043348 | -0.042484 | -0.042243 | -0.042153 | -0.040221 | -0.039861 | -0.039451 | -0.036481
6,06,0.028016634212777097,sep cryptocurrency | level sep | today cryptocurrency | robert | robert shiller | shiller | amid | price forecast | berkshire | cash hard | forecast | sep today,0.050860 | 0.047580 | 0.045208 | 0.042538 | 0.042538 | 0.042538 | 0.042057 | 0.040575 | 0.039966 | 0.039475 | 0.038679 | 0.038584,intraday analysis | price intraday | intraday | analysis btc | analysis btcusd | btcusd | btc usd | bitcoin etfs | abc litecoin | bitcoin fraud | libra | cash abc,-0.070982 | -0.070982 | -0.058224 | -0.051252 | -0.048392 | -0.048392 | -0.044901 | -0.043368 | -0.042786 | -0.041439 | -0.040981 | -0.040275
7,07,0.026858578303834722,price intraday | intraday analysis | climbs level | intraday | september | bitcoin climbs | climbs | coronavirus | analysis btc | level sep | safe | bring,0.059297 | 0.059297 | 0.058868 | 0.051304 | 0.050867 | 0.048755 | 0.047796 | 0.047323 | 0.044609 | 0.044501 | 0.040880 | 0.039960,abc litecoin | cash abc | roundup june | ripple | litecoin ripple | ripple daily | daily analysis | analysis sep | june | maker | sep cryptocurrency | doesn,-0.061125 | -0.059208 | -0.055033 | -0.052514 | -0.052039 | -0.051848 | -0.051848 | -0.047085 | -0.043102 | -0.042749 | -0.042731 | -0.042190
8,08,0.024912775169253863,roundup november | news crypto | currency daily | daily roundup | crypto currency | libra | december | cash hard | facebook libra | litecoin cardano | cardano monero | monero tron,0.050419 | 0.046407 | 0.045790 | 0.045790 | 0.045204 | 0.044437 | 0.040257 | 0.039907 | 0.039811 | 0.039477 | 0.039477 | 0.039477,sep dow | sv price | litecoin bitcoin | american wrap | quadrigacx | feb sep | binance coin | ripple litecoin | dow | litecoin eos | twitter hack | dow futures,-0.044417 | -0.042231 | -0.040456 | -0.039557 | -0.039476 | -0.038160 | -0.038029 | -0.036071 | -0.035933 | -0.035546 | -0.035294 | -0.034663
9,09,0.024579035154116184,mover bitcoin | mover | sep mover | election | bitcoin fund | jones | sep dow | bites | vote | sep paypal | etf sep | means,0.049189 | 0.045389 | 0.045168 | 0.044407 | 0.043286 | 0.040976 | 0.040837 | 0.036778 | 0.036607 | 0.036070 | 0.036008 | 0.035949,climbs level | july sep | july | twitter hack | roundup | roundup july | bitcoin climbs | roundup november | level sep | twitter | bitcoin news | twitter bitcoin,-0.056736 | -0.055790 | -0.049403 | -0.049248 | -0.042679 | -0.042053 | -0.041406 | -0.040192 | -0.039155 | -0.039154 | -0.037892 | -0.037615
10,10,0.021734651165157968,bitcoin pyramid | pyramid scheme | pyramid | climbs level | october | jpmorgan | bitcoin trust | dalio | christmas | scheme sep | oil surge | exchange traded,0.042445 | 0.042445 | 0.042445 | 0.042211 | 0.041605 | 0.038377 | 0.036425 | 0.035775 | 0.035586 | 0.034593 | 0.034519 | 0.034489,dips level | series sep | bitcoin dips | podcast series | italian bank | dips | coronavirus | equities | documentary podcast | documentary | keeps | haven sep,-0.068464 | -0.050463 | -0.049216 | -0.047884 | -0.045147 | -0.045128 | -0.041401 | -0.041332 | -0.041203 | -0.041203 | -0.040466 | -0.038507
11,11,0.020256027936598586,april | tron price | april sep | dips level | ethereum ripple | podcast | cardano tron | bitcoin dips | btc usd | eos binance | coin stellar | crash,0.049869 | 0.048398 | 0.047488 | 0.047288 | 0.045534 | 0.045018 | 0.042162 | 0.040117 | 0.039016 | 0.038627 | 0.038180 | 0.037282,roundup june | climbs level | trump | jpmorgan | june | june sep | losing | service | better | asset sep | donations sep | peter,-0.051555 | -0.044659 | -0.043175 | -0.040230 | -0.039355 | -0.038121 | -0.036732 | -0.034960 | -0.034402 | -0.033164 | -0.032160 | -0.032103
