method_label,seed,n_gradcam_samples,b1_gamma_mean_avg,b1_gamma_std_avg,b1_gamma_min_min,b1_gamma_max_max,b1_delta_gamma_mean_avg,b1_delta_gamma_std_avg,b1_delta_gamma_min_min,b1_delta_gamma_max_max,b1_beta_mean_avg,b1_beta_std_avg,b1_beta_min_min,b1_beta_max_max,b2_gamma_mean_avg,b2_gamma_std_avg,b2_gamma_min_min,b2_gamma_max_max,b2_delta_gamma_mean_avg,b2_delta_gamma_std_avg,b2_delta_gamma_min_min,b2_delta_gamma_max_max,b2_beta_mean_avg,b2_beta_std_avg,b2_beta_min_min,b2_beta_max_max,b3_gamma_mean_avg,b3_gamma_std_avg,b3_gamma_min_min,b3_gamma_max_max,b3_delta_gamma_mean_avg,b3_delta_gamma_std_avg,b3_delta_gamma_min_min,b3_delta_gamma_max_max,b3_beta_mean_avg,b3_beta_std_avg,b3_beta_min_min,b3_beta_max_max,b4_gamma_mean_avg,b4_gamma_std_avg,b4_gamma_min_min,b4_gamma_max_max,b4_delta_gamma_mean_avg,b4_delta_gamma_std_avg,b4_delta_gamma_min_min,b4_delta_gamma_max_max,b4_beta_mean_avg,b4_beta_std_avg,b4_beta_min_min,b4_beta_max_max,b4_raw_gamma_mean_avg,b4_raw_gamma_std_avg,b4_raw_gamma_min_min,b4_raw_gamma_max_max,b4_raw_beta_mean_avg,b4_raw_beta_std_avg,b4_raw_beta_min_min,b4_raw_beta_max_max
P7 film_full,42,4,1.0000537759624422,0.000749571730535325,0.9972344040870668,1.002639889717102,5.377788878035972e-05,0.000749573733225,-0.0027656182646751,0.0026398950722068,-6.51439623986505e-05,0.000700523392790275,-0.0028073927387595,0.0023198074195533,1.000003219814971,0.0007326871068162999,0.9973840117454528,1.002742052078247,3.2199733084326e-06,0.0007326871317008249,-0.002615982433781,0.0027420280966907,-4.1660995781178656e-05,0.0007196368681119251,-0.0024441319983452,0.0024327589198946,1.0000554550206289,0.0006996040300848751,0.9975466728210448,1.0030418634414673,5.5454488328443574e-05,0.000699605478755125,-0.0024533523246645,0.0030418133828788,-4.18348122375176e-05,0.000624910359762175,-0.0030889699701219,0.002619240200147,0.9997373080113903,0.00066916054189505,0.9968544244766236,1.002869725227356,-0.000262692718671925,0.0006691597694712,-0.0031455687712877,0.0028697124216705,-0.000311967846852325,0.00058170845755235,-0.0025185893755406,0.0021036039106547,,,,,,,,
P7 film_full,43,4,1.0000045709311962,0.00013978495217631897,0.999533712863922,1.000436782836914,4.569897247286292e-06,0.00013978468737644626,-0.0004662824212573,0.0004367476212792,-2.5806929677685275e-06,0.00012307345339796795,-0.0004194237117189,0.0003892933600582,0.9999994867248461,0.000132014810240549,0.9995689392089844,1.000497817993164,-5.129169438067294e-07,0.0001320146391685204,-0.0004310845979489,0.0004978402866981,-4.898821930110486e-06,0.00013718492667660648,-0.000548597832676,0.0004911020514555,0.9999996612896211,0.0001375814991185281,0.9994120001792908,1.000558376312256,-3.392656922063253e-07,0.00013758058914467358,-0.0005879810196347,0.0005583765450865,-9.48846108494994e-06,0.000136188316854058,-0.0005686849472112,0.0005729327094741,0.9999451041221619,0.00010983675572827485,0.9993346929550172,1.000458836555481,-5.489602563901741e-05,0.00010983665317254478,-0.0006652949377894,0.000458821770735,-4.227437725298766e-05,0.0001021066682454591,-0.0005555406678467,0.0005012153415009,,,,,,,,
P7 film_full,44,4,1.0000164387747645,0.00016606092285950596,0.999498188495636,1.000370740890503,1.6440250804272694e-05,0.00016606226196163855,-0.0005018327501602,0.0003707839932758,2.7277368272127234e-05,0.0001610788115059657,-0.0004326120542827,0.0004046859103254,1.0000014966353774,0.00016497372370797482,0.9995137453079224,1.000476956367493,1.4962590186851088e-06,0.00016497329398203507,-0.0004862800997216,0.0004769137594848,1.9227763794482655e-06,0.0001634917442731178,-0.0004620684776455,0.0004792993422597,0.9999941497226246,0.0001624177446641506,0.9995101690292358,1.0004903078079224,-5.8511077849626725e-06,0.000162416936334174,-0.0004898405750282,0.0004902760847471,-3.6376124818993105e-06,0.0001662901108975376,-0.0004842313355766,0.0004625140572898,0.999944497278193,0.0001593647645476113,0.9994713664054872,1.000411868095398,-5.550271027265907e-05,0.00015936508571592355,-0.0005286062951199,0.0004118834040127,-4.600882165559095e-05,0.00015725729401614645,-0.0005386807024478,0.0004666927270591,,,,,,,,
P7 film_full,45,4,1.00001070369035,0.0010382393754915,0.9974769949913024,1.0031263828277588,1.0702528868478112e-05,0.0010382437212709,-0.0025230306200683,0.0031264382414519,3.198610589549844e-05,0.0010664462772249001,-0.0031737445387989,0.0028025023639202,1.0000443365424871,0.0011074972843607002,0.995486617088318,1.004319429397583,4.433691170646625e-05,0.001107497357749225,-0.0045133694075047,0.0043194098398089,-6.591609946049459e-05,0.0010149408280786501,-0.0041951867751777,0.0031673340126872,1.0001614757347852,0.001139915136445,0.9968944787979126,1.0033513307571411,0.000161475191596975,0.00113991527415295,-0.0031055128201842,0.0033513575326651,-8.8222162872853e-06,0.00106918802393325,-0.0027311034500598,0.0033260926138609,0.999602618481731,0.001079857142865975,0.9968812465667723,1.0035837888717651,-0.0003973813373736,0.001079857271380125,-0.0031187462154775,0.0035838051699101,-0.00048043139513895,0.0010052624157501,-0.0030435500666499,0.0027100224979221,,,,,,,,
P7 film_full,46,4,1.0000273038167506,0.00033241136415775003,0.9990065097808838,1.0010199546813965,2.730507460313447e-05,0.000332411663893075,-0.000993477879092,0.0010199742391705,1.1215265686814746e-05,0.000319977215480575,-0.001038868795149,0.0010093027958646,1.0000190291320905,0.000317783928040175,0.9989664554595948,1.0009117126464844,1.9029029289630017e-05,0.000317784174876675,-0.0010335290571674,0.0009117336012423,3.6850551579092894e-05,0.000292049177217575,-0.0007977100904099,0.0009107255027629,1.000031128700357,0.000304972114318975,0.999007284641266,1.0010294914245603,3.1129246431227386e-05,0.00030497320605022505,-0.000992702320218,0.0010294732637703,2.25744564925634e-05,0.000273117768300375,-0.0008247731020674,0.0008914271602407,0.9998361047182698,0.00024276659322642501,0.9990063309669496,1.0007425546646118,-0.00016389504747520002,0.00024276693533730002,-0.0009936651913449,0.0007424955256283,-0.000145068869064025,0.000221725289693325,-0.0010043670190498,0.0005456981598399,,,,,,,,
P8 bounded_last_block,42,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0000470652012154,0.0086002507754412,0.9662557244300842,1.0411792993545532,4.70652012154274e-05,0.0086002507754412,-0.0337442755699157,0.0411792993545532,0.0001275153152755416,0.0084592471317615,-0.0302791148424148,0.0294571723788976,0.00046698167952462536,0.08680450897529068,-0.3512040376663208,0.4377683699131012,0.001288675348220625,0.08528781432096036,-0.3125896751880646,0.3035650849342346
P8 bounded_last_block,43,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996943611477036,0.007800731833887626,0.9647432565689088,1.0320135354995728,-0.00030563885229635,0.007800731833887626,-0.0352567434310913,0.0320135354995727,0.00012754692907830195,0.0081449485623923,-0.0352625288069248,0.0399950854480266,-0.00309012476128775,0.07868009624633078,-0.3683723509311676,0.3317979276180267,0.0013232256170585249,0.08228660225852066,-0.368438720703125,0.4235903918743133
P8 bounded_last_block,44,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997882630268577,0.0103962746454602,0.962590754032135,1.0437086820602417,-0.00021173697314219998,0.0103962746454602,-0.0374092459678649,0.0437086820602417,-0.000360900795661475,0.010206100547222475,-0.0487211160361766,0.037564929574728,-0.0021094552497715,0.1053322468085167,-0.3931733667850494,0.4686231911182403,-0.0036479380626319247,0.10329768446587713,-0.5323969125747681,0.3949844539165497
P8 bounded_last_block,45,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999172971583903,0.01087147592728405,0.9590251445770264,1.051073431968689,-8.2702841609725e-05,0.01087147592728405,-0.0409748554229736,0.0510734319686889,-7.410339205627498e-05,0.0109736567202949,-0.0457624346017837,0.0427103601396083,-0.0008591976343410503,0.11046365542512021,-0.4353086352348327,0.5637233257293701,-0.000720748487409175,0.11136085218260326,-0.4943021535873413,0.4563485980033874
P8 bounded_last_block,46,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999583448166959,0.006345357244550674,0.9772213697433472,1.0217372179031372,-0.000416551833040975,0.006345357244550674,-0.0227786302566528,0.0217372179031372,-6.236444934819998e-05,0.006410899630663925,-0.0222887638956308,0.0199366938322782,-0.004184768474466625,0.06370625962917253,-0.2318532317876815,0.2208956927061081,-0.000624553441095775,0.06436218066799206,-0.226692646741867,0.2020732015371322
