context_method,experiment_name,run_seed,split,threshold,threshold_source,collapse_flag,collapse_direction,num_samples,positive_count,negative_count,positive_rate,predicted_positive_rate,accuracy,balanced_accuracy,precision,recall,specificity,f1,brier_score,roc_auc,average_precision,youden_j,tp,tn,fp,fn
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,42,validation,0.5,default_0_5,False,none,287,177,110,0.6167247386759582,0.6306620209059234,0.7282229965156795,0.7091165896250642,0.7734806629834254,0.7909604519774012,0.6272727272727273,0.782122905027933,0.17681248273806496,0.7962506420133538,0.8225307877215049,0.4182331792501284,140,69,41,37
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,42,test,0.5,default_0_5,False,none,1441,780,661,0.5412907702984039,0.5725190839694656,0.5801526717557252,0.5746731835990535,0.6060606060606061,0.6410256410256411,0.5083207261724659,0.6230529595015577,0.27932948914037,0.5943325962993133,0.6167955838548459,0.149346367198107,500,336,325,280
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,43,validation,0.5,default_0_5,True,mostly_up,287,177,110,0.6167247386759582,0.8606271777003485,0.6097560975609756,0.5270416024653313,0.631578947368421,0.8813559322033898,0.17272727272727273,0.7358490566037735,0.24855064267613786,0.4780688238315357,0.5876025727679646,0.05408320493066254,156,19,91,21
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,43,test,0.5,default_0_5,False,none,1441,780,661,0.5412907702984039,0.8487161693268563,0.5052047189451769,0.4762451995810543,0.5273916598528209,0.8269230769230769,0.12556732223903178,0.6440339490763854,0.24978389538335274,0.4779549245509911,0.5239331768116776,-0.04750960083789135,645,83,578,135
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,44,validation,0.5,default_0_5,False,none,287,177,110,0.6167247386759582,0.8362369337979094,0.627177700348432,0.5514894709809964,0.6458333333333334,0.8757062146892656,0.22727272727272727,0.7434052757793764,0.24667784119762834,0.6572675911658963,0.7502705272157546,0.10297894196199286,155,25,85,22
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,44,test,0.5,default_0_5,True,mostly_up,1441,780,661,0.5412907702984039,0.8702290076335878,0.5128383067314365,0.4821424415221692,0.5311004784688995,0.8538461538461538,0.11043872919818457,0.6548672566371682,0.24989743617056664,0.46474455952519494,0.515548655298668,-0.03571511695566165,666,73,588,114
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,45,validation,0.5,default_0_5,False,none,287,177,110,0.6167247386759582,0.6132404181184669,0.7247386759581882,0.7097329224447868,0.7784090909090909,0.7740112994350282,0.6454545454545455,0.7762039660056657,0.18439549456088553,0.7805341551104263,0.8238407008984225,0.4194658448895736,137,71,39,40
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,45,test,0.5,default_0_5,False,none,1441,780,661,0.5412907702984039,0.5683553088133241,0.5801526717557252,0.5750193956321037,0.6068376068376068,0.6371794871794871,0.5128593040847201,0.6216385240775484,0.2711082384676344,0.6030567516195353,0.6169875804883702,0.15003879126420738,497,339,322,283
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,46,validation,0.5,default_0_5,False,none,287,177,110,0.6167247386759582,0.6794425087108014,0.7003484320557491,0.6675911658962506,0.7333333333333333,0.807909604519774,0.5272727272727272,0.7688172043010753,0.19330949073323891,0.7585516178736518,0.8398045020391697,0.3351823317925011,143,58,52,34
film_full,stage4_film_full_i60_ohlc_ma_vb_r20_c60_fg_only,46,test,0.5,default_0_5,False,none,1441,780,661,0.5412907702984039,0.6939625260235948,0.5836224843858432,0.5680689708677605,0.59,0.7564102564102564,0.37972768532526474,0.6629213483146067,0.2605667372801336,0.5925443190193569,0.5963489250774837,0.13613794173552107,590,251,410,190
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,42,validation,0.5,default_0_5,False,none,287,177,110,0.6167247386759582,0.6933797909407665,0.7142857142857143,0.6788906009244993,0.7386934673366834,0.8305084745762712,0.5272727272727272,0.7819148936170213,0.1816403416226006,0.7835130970724191,0.840215893075133,0.35778120184899853,147,58,52,30
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,42,test,0.5,default_0_5,False,none,1441,780,661,0.5412907702984039,0.7043719639139486,0.5870922970159611,0.5706970790178052,0.5911330049261084,0.7692307692307693,0.3721633888048411,0.668523676880223,0.2742721011582165,0.5939136506458745,0.6195169476047862,0.1413941580356104,600,246,415,180
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,43,validation,0.5,default_0_5,True,mostly_down,287,177,110,0.6167247386759582,0.14982578397212543,0.4425087108013937,0.5256548536209553,0.6976744186046512,0.1694915254237288,0.8818181818181818,0.2727272727272727,0.2518157138244216,0.49887005649717514,0.6423239473251262,0.05130970724191064,30,97,13,147
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,43,test,0.5,default_0_5,True,mostly_down,1441,780,661,0.5412907702984039,0.1179736294240111,0.501734906315059,0.5335117731486869,0.6823529411764706,0.14871794871794872,0.9183055975794251,0.24421052631578946,0.2498531686485622,0.5831645913340315,0.6200396954223961,0.06702354629737384,116,607,54,664
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,44,validation,0.5,default_0_5,True,mostly_down,287,177,110,0.6167247386759582,0.0,0.3832752613240418,0.5,0.0,0.0,1.0,0.0,0.2633280323828808,0.5612223934257833,0.6803618933409007,0.0,0,110,0,177
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,44,test,0.5,default_0_5,True,mostly_down,1441,780,661,0.5412907702984039,0.0,0.4587092297015961,0.5,0.0,0.0,1.0,0.0,0.25561662078984665,0.5377807517747003,0.5758741556455974,0.0,0,661,0,780
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,45,validation,0.5,default_0_5,False,none,287,177,110,0.6167247386759582,0.6933797909407665,0.7282229965156795,0.6936312275295327,0.7487437185929648,0.8418079096045198,0.5454545454545454,0.7925531914893618,0.18378073032805242,0.7682588597842835,0.8155120101738593,0.3872624550590653,149,60,50,28
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,45,test,0.5,default_0_5,False,none,1441,780,661,0.5412907702984039,0.6648160999306038,0.5863983344899375,0.5732873656852476,0.5960334029227558,0.732051282051282,0.4145234493192133,0.6570771001150748,0.2687887166656369,0.5877817215563055,0.6013982894539874,0.14657473137049526,571,274,387,209
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,46,validation,0.5,default_0_5,False,none,287,177,110,0.6167247386759582,0.7421602787456446,0.686411149825784,0.6373651771956856,0.704225352112676,0.847457627118644,0.42727272727272725,0.7692307692307692,0.2145088786364278,0.6958397534668721,0.7799001224174166,0.2747303543913713,150,47,63,27
film_full_bounded_last_block,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only,46,test,0.5,default_0_5,False,none,1441,780,661,0.5412907702984039,0.7834836918806385,0.5787647467036781,0.5557343186314442,0.5766164747564216,0.8346153846153846,0.27685325264750377,0.6820324777370351,0.27303582879242716,0.5787598432832926,0.5997293997706785,0.11146863726288836,651,183,478,129
