context_method,run_seed,calibration_metric,threshold,validation_threshold_score,validation_predicted_positive_rate,test_default_accuracy,test_calibrated_accuracy,test_accuracy_delta,test_default_balanced_accuracy,test_calibrated_balanced_accuracy,test_balanced_accuracy_delta,test_default_f1,test_calibrated_f1,test_f1_delta,test_roc_auc,test_default_predicted_positive_rate,test_calibrated_predicted_positive_rate,test_calibrated_collapse_flag,test_calibrated_collapse_direction,test_calibrated_tp,test_calibrated_tn,test_calibrated_fp,test_calibrated_fn
film_full,42,balanced_accuracy,0.5426721572875977,0.7370056497175141,0.5923344947735192,0.5801526717557252,0.5648854961832062,-0.015267175572518998,0.5746731835990535,0.563224911749874,-0.011448271849179514,0.6230529595015577,0.5920624593363695,-0.03099050016518823,0.5943325962993133,0.5725190839694656,0.5253296321998612,False,none,455,359,302,325
film_full,43,balanced_accuracy,0.496533140540123,0.543246019517206,0.9442508710801394,0.5052047189451769,0.5281054823039556,0.022900763358778664,0.4762451995810543,0.49220586523914817,0.015960665658093842,0.6440339490763854,0.6801505174035748,0.03611656832718935,0.4779549245509911,0.8487161693268563,0.9340735600277585,True,mostly_up,723,38,623,57
film_full,44,balanced_accuracy,0.5062898993492126,0.6510272213662045,0.5226480836236934,0.5128383067314365,0.4767522553782096,-0.0360860513532269,0.4821424415221692,0.4728131424803135,-0.009329299041855699,0.6548672566371682,0.5185185185185186,-0.13634873811864956,0.46474455952519494,0.8702290076335878,0.5454545454545454,False,none,406,281,380,374
film_full,45,balanced_accuracy,0.5723623037338257,0.7280431432973806,0.554006968641115,0.5801526717557252,0.5600277585010409,-0.02012491325468424,0.5750193956321037,0.5611612164940456,-0.013858179138058091,0.6216385240775484,0.5739247311827957,-0.04771379289475264,0.6030567516195353,0.5683553088133241,0.4913254684247051,False,none,427,380,281,353
film_full,46,balanced_accuracy,0.5804195404052734,0.714406779661017,0.5644599303135889,0.5836224843858432,0.5884802220680083,0.004857737682165131,0.5680689708677605,0.5814422592032275,0.013373288335466915,0.6629213483146067,0.6368646662584201,-0.02605668205618661,0.5925443190193569,0.6939625260235948,0.5919500346981263,False,none,520,328,333,260
film_full_bounded_last_block,42,balanced_accuracy,0.6047091484069824,0.7217770929635337,0.5644599303135889,0.5870922970159611,0.5766828591256072,-0.010409437890353868,0.5706970790178052,0.5700832072617247,-0.0006138717560805196,0.668523676880223,0.624384236453202,-0.044139440427021004,0.5939136506458745,0.7043719639139486,0.5857043719639139,False,none,507,324,337,273
film_full_bounded_last_block,43,balanced_accuracy,0.5005310773849487,0.5297123780174627,0.11846689895470383,0.501734906315059,0.49479528105482307,-0.006939625260235949,0.5335117731486869,0.5276785367935142,-0.005833236355172744,0.24421052631578946,0.21720430107526884,-0.027006225240520626,0.5831645913340315,0.1179736294240111,0.1040943789035392,True,mostly_down,101,612,49,679
film_full_bounded_last_block,44,balanced_accuracy,0.45033830404281616,0.5581664098613252,0.4808362369337979,0.4587092297015961,0.5385149201943095,0.07980569049271335,0.5,0.5292874044765119,0.029287404476511902,0.0,0.6006006006006006,0.6006006006006006,0.5377807517747003,0.0,0.6141568355308813,False,none,500,276,385,280
film_full_bounded_last_block,45,balanced_accuracy,0.6118184328079224,0.7121982537236775,0.5435540069686411,0.5863983344899375,0.5690492713393477,-0.017349063150589816,0.5732873656852476,0.5684559137282283,-0.004831451957019284,0.6570771001150748,0.5911784068466095,-0.06589869326846531,0.5877817215563055,0.6648160999306038,0.5128383067314365,False,none,449,371,290,331
film_full_bounded_last_block,46,balanced_accuracy,0.5593417584896088,0.6682074987159733,0.662020905923345,0.5787647467036781,0.5739070090215128,-0.004857737682165242,0.5557343186314442,0.5571327437061173,0.0013984250746731375,0.6820324777370351,0.6588888888888889,-0.023143588848146268,0.5787598432832926,0.7834836918806385,0.7078417765440667,False,none,593,234,427,187
