priority,experiment_name,image_window,image_spec,return_horizon,context_window,context_feature_set_name,context_scope,context_features,context_method,bounded_film_scale,experiment_suffix,run_seed,status,error,validation_available,test_available,trading_available,stage2_ohlc_ma_vb_baseline_accuracy_mean,stage2_ohlc_ma_vb_baseline_roc_auc_mean,p7_fg_only_film_full_accuracy_mean,p7_fg_only_film_full_roc_auc_mean,p8_fg_only_bounded_scale_010_accuracy_mean,p8_fg_only_bounded_scale_010_roc_auc_mean,validation_num_samples,validation_accuracy,validation_majority_class_accuracy,validation_roc_auc,validation_average_precision,validation_f1,validation_brier_score,validation_positive_rate,validation_predicted_positive_rate,validation_collapse_label,test_num_samples,test_accuracy,test_majority_class_accuracy,test_roc_auc,test_average_precision,test_f1,test_brier_score,test_positive_rate,test_predicted_positive_rate,test_collapse_label,test_long_flat_sharpe_net,test_long_flat_annualized_return_net,test_long_short_sharpe_net,test_long_short_annualized_return_net,test_accuracy_minus_stage2_ohlc_ma_vb_mean,test_accuracy_minus_p7_film_full_mean,test_roc_auc_minus_stage2_ohlc_ma_vb_mean,test_roc_auc_minus_p7_film_full_mean
4-V9,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only_scale_0p02,60,ohlc_ma_vb,20,60,fg_only,fear_greed_only,"fg_value,fg_mean_60,fg_delta_60,fg_std_60",film_full_bounded_last_block,0.02,fg_only_scale_0p02,42,ok,,True,True,True,0.57932,0.584862,0.5524,0.5465,0.5425,0.5763,287,0.7142857142857143,0.6167247386759582,0.7834103749357986,0.8390211396453354,0.7819148936170213,0.1816707913294345,0.6167247386759582,0.6933797909407665,not_collapsed,1441,0.5884802220680083,0.5412907702984039,0.5939466232204508,0.619495508616174,0.6692693809258227,0.2741535237845617,0.5412907702984039,0.7029840388619014,not_collapsed,3.7351488448264476,9.008184984117417,3.069938684869924,8.887457735876984,0.009160222068008372,0.036080222068008316,0.009084623220450783,0.04744662322045079
4-V9,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only_scale_0p05,60,ohlc_ma_vb,20,60,fg_only,fear_greed_only,"fg_value,fg_mean_60,fg_delta_60,fg_std_60",film_full_bounded_last_block,0.05,fg_only_scale_0p05,42,ok,,True,True,True,0.57932,0.584862,0.5524,0.5465,0.5425,0.5763,287,0.710801393728223,0.6167247386759582,0.796764252696456,0.8487014442969248,0.7909319899244333,0.18007669766521547,0.6167247386759582,0.7665505226480837,not_collapsed,1441,0.5815405968077724,0.5412907702984039,0.5939737771053959,0.6224932986395617,0.6851174934725849,0.28491426805264086,0.5412907702984039,0.78764746703678,not_collapsed,3.775549976852429,9.739145844527917,3.591490944335659,10.34937945669798,0.0022205968077724236,0.029140596807772368,0.009111777105395902,0.04747377710539591
4-V9,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only_scale_0p10,60,ohlc_ma_vb,20,60,fg_only,fear_greed_only,"fg_value,fg_mean_60,fg_delta_60,fg_std_60",film_full_bounded_last_block,0.1,fg_only_scale_0p10,42,ok,,True,True,True,0.57932,0.584862,0.5524,0.5465,0.5425,0.5763,287,0.7142857142857143,0.6167247386759582,0.7835130970724191,0.8402158930751332,0.7819148936170213,0.1816403416226006,0.6167247386759582,0.6933797909407665,not_collapsed,1441,0.5870922970159611,0.5412907702984039,0.5939136506458745,0.6195169476047862,0.668523676880223,0.2742721011582165,0.5412907702984039,0.7043719639139486,not_collapsed,3.721357834929386,8.955197238044276,3.0324132510949835,8.7814822437307,0.00777229701596116,0.034692297015961104,0.009051650645874543,0.04741365064587455
4-V9,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only_scale_0p02,60,ohlc_ma_vb,20,60,fg_only,fear_greed_only,"fg_value,fg_mean_60,fg_delta_60,fg_std_60",film_full_bounded_last_block,0.02,fg_only_scale_0p02,43,ok,,True,True,True,0.57932,0.584862,0.5524,0.5465,0.5425,0.5763,287,0.445993031358885,0.6167247386759582,0.5025166923472009,0.6487753599636148,0.34024896265560167,0.25119034879456686,0.6167247386759582,0.2229965156794425,not_collapsed,1441,0.508674531575295,0.5412907702984039,0.5690251755304705,0.6041262283295736,0.3179190751445087,0.24989037516241402,0.5412907702984039,0.17904233171408743,not_collapsed,2.3759546586990794,2.6676978979542487,-1.296746574701315,-3.793516436449353,-0.07064546842470498,-0.04372546842470504,-0.015836824469529498,0.02252517553047051
4-V9,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only_scale_0p05,60,ohlc_ma_vb,20,60,fg_only,fear_greed_only,"fg_value,fg_mean_60,fg_delta_60,fg_std_60",film_full_bounded_last_block,0.05,fg_only_scale_0p05,43,ok,,True,True,True,0.57932,0.584862,0.5524,0.5465,0.5425,0.5763,287,0.44947735191637633,0.6167247386759582,0.500924499229584,0.6463393108862427,0.31896551724137934,0.2514324673332036,0.6167247386759582,0.1916376306620209,not_collapsed,1441,0.5065926439972241,0.5412907702984039,0.5754897397106172,0.6110711198167559,0.2897102897102897,0.24987255412090625,0.5412907702984039,0.15336571825121442,not_collapsed,2.4185318064585783,2.5485127500012745,-1.378642539956997,-4.031886732355301,-0.0727273560027758,-0.045807356002775856,-0.009372260289382761,0.028989739710617246
4-V9,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only_scale_0p10,60,ohlc_ma_vb,20,60,fg_only,fear_greed_only,"fg_value,fg_mean_60,fg_delta_60,fg_std_60",film_full_bounded_last_block,0.1,fg_only_scale_0p10,43,ok,,True,True,True,0.57932,0.584862,0.5524,0.5465,0.5425,0.5763,287,0.4425087108013937,0.6167247386759582,0.4988700564971752,0.6423239473251262,0.2727272727272727,0.2518157138244216,0.6167247386759582,0.14982578397212543,mostly_down,1441,0.501734906315059,0.5412907702984039,0.5831645913340315,0.6200396954223961,0.24421052631578946,0.2498531686485622,0.5412907702984039,0.1179736294240111,mostly_down,2.277427737532084,2.0207314734604473,-1.742239882162291,-5.087449285436955,-0.07758509368494093,-0.05066509368494099,-0.0016974086659684584,0.03666459133403155
4-V9,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only_scale_0p02,60,ohlc_ma_vb,20,60,fg_only,fear_greed_only,"fg_value,fg_mean_60,fg_delta_60,fg_std_60",film_full_bounded_last_block,0.02,fg_only_scale_0p02,44,ok,,True,True,True,0.57932,0.584862,0.5524,0.5465,0.5425,0.5763,287,0.3832752613240418,0.6167247386759582,0.5563944530046225,0.68363095707818,0.0,0.26387476931556064,0.6167247386759582,0.0,mostly_down,1441,0.4587092297015961,0.5412907702984039,0.5221992707242329,0.558662320602845,0.0,0.2564125426936973,0.5412907702984039,0.0,mostly_down,0.0,0.0,-3.1558553607984026,-9.12941882500185,-0.12061077029840384,-0.09369077029840389,-0.0626627292757671,-0.024300729275767097
4-V9,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only_scale_0p05,60,ohlc_ma_vb,20,60,fg_only,fear_greed_only,"fg_value,fg_mean_60,fg_delta_60,fg_std_60",film_full_bounded_last_block,0.05,fg_only_scale_0p05,44,ok,,True,True,True,0.57932,0.584862,0.5524,0.5465,0.5425,0.5763,287,0.3832752613240418,0.6167247386759582,0.5554699537750385,0.6802851921331251,0.0,0.26369803535945174,0.6167247386759582,0.0,mostly_down,1441,0.4587092297015961,0.5412907702984039,0.5301602079211762,0.5684668145742653,0.0,0.2561186692206762,0.5412907702984039,0.0,mostly_down,0.0,0.0,-3.1558553607984026,-9.12941882500185,-0.12061077029840384,-0.09369077029840389,-0.05470179207882375,-0.016339792078823745
4-V9,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only_scale_0p10,60,ohlc_ma_vb,20,60,fg_only,fear_greed_only,"fg_value,fg_mean_60,fg_delta_60,fg_std_60",film_full_bounded_last_block,0.1,fg_only_scale_0p10,44,ok,,True,True,True,0.57932,0.584862,0.5524,0.5465,0.5425,0.5763,287,0.3832752613240418,0.6167247386759582,0.5612223934257833,0.6803618933409007,0.0,0.2633280323828808,0.6167247386759582,0.0,mostly_down,1441,0.4587092297015961,0.5412907702984039,0.5377807517747004,0.5758741556455973,0.0,0.25561662078984665,0.5412907702984039,0.0,mostly_down,0.0,0.0,-3.1558553607984026,-9.12941882500185,-0.12061077029840384,-0.09369077029840389,-0.04708124822529958,-0.00871924822529957
4-V9,stage4_film_full_bounded_last_block_i60_ohlc_ma_vb_r20_c60_fg_only_scale_0p02,60,ohlc_ma_vb,20,60,fg_only,fear_greed_only,"fg_value,fg_mean_60,fg_delta_60,fg_std_60",film_full_bounded_last_block,0.02,fg_only_scale_0p02,45,ok,,True,True,True,0.57932,0.584862,0.5524,0.5465,0.5425,0.5763,287,0.7247386759581882,0.6167247386759582,0.7686697483307654,0.8175291631312512,0.790450928381963,0.1839124120028726,0.6167247386759582,0.6968641114982579,not_collapsed,1441,0.582234559333796,0.5412907702984039,0.5887466542534622,0.6022097532820376,0.6512166859791425,0.2682894365161319,0.5412907702984039,0.6564885496183206,not_collapsed,3.408854567896586,7.878156437319486,2.2761920221739445,6.627400642281121,0.0029145593337960296,0.029834559333795974,0.003884654253462183,0.04224665425346219
