bucket_family,bucket,n,stage2_acc,film_acc,delta_acc,corrections,regressions,net_corrections,correction_rate,regression_rate,net_correction_rate,changed_predictions,changed_prediction_rate,label_positive_rate,stage2_pred_up_rate,film_pred_up_rate,mean_stage2_prob_up,mean_film_prob_up,mean_prob_up_delta,mean_true_prob_delta
all,all,7205,0.5793199167244969,0.5805690492713393,0.0012491325468424463,95,86,9,0.0131852879944483,0.01193615544760583,0.0012491325468424704,181,0.02512144344205413,0.5412907702984039,0.6643997224149896,0.6392782789729354,0.5979350360324974,0.5817772279909084,-0.016157808041589068,-0.000591602395653808
fg_delta_60_q20_80,high_20pct,1505,0.5594684385382059,0.5561461794019934,-0.0033222591362125353,19,24,-5,0.012624584717607974,0.015946843853820596,-0.0033222591362126247,43,0.02857142857142857,0.6212624584717608,0.6724252491694352,0.6438538205980067,0.5943381175992892,0.5768990640537782,-0.017439053545511,-0.0030927070735201883
fg_delta_60_q20_80,low_20pct,1540,0.488961038961039,0.4902597402597403,0.0012987012987012991,17,15,2,0.01103896103896104,0.00974025974025974,0.0012987012987012987,32,0.02077922077922078,0.4707792207792208,0.7168831168831169,0.6961038961038961,0.6284812816358232,0.6133334279604643,-0.015147853675358817,0.0015254554290372827
fg_delta_60_q20_80,middle_60pct,4160,0.619951923076923,0.6228365384615384,0.0028846153846153744,59,47,12,0.014182692307692308,0.011298076923076923,0.0028846153846153848,106,0.02548076923076923,0.5384615384615384,0.6420673076923077,0.6165865384615384,0.5879283398817419,0.5718601820227027,-0.016068157859039086,-0.0004704741528257737
fg_mean_60_q20_80,high_20pct,1455,0.5958762886597938,0.6041237113402061,0.008247422680412342,26,14,12,0.017869415807560136,0.009621993127147767,0.008247422680412371,40,0.027491408934707903,0.5017182130584192,0.7298969072164948,0.7024054982817869,0.6504591339629437,0.6326186534695813,-0.017840480493362374,-0.00025440360646682175
fg_mean_60_q20_80,low_20pct,1445,0.5294117647058824,0.5280276816608996,-0.0013840830449827202,13,15,-2,0.008996539792387544,0.010380622837370242,-0.001384083044982699,28,0.019377162629757784,0.5743944636678201,0.6961937716262976,0.6768166089965398,0.6222240825502724,0.6082368436285575,-0.013987238921714853,-0.0023336624939342687
fg_mean_60_q20_80,middle_60pct,4305,0.5904761904761905,0.5902439024390244,-0.00023228803716612845,56,57,-1,0.013008130081300813,0.0132404181184669,-0.00023228803716608595,113,0.026248548199767713,0.5435540069686411,0.6315911730545877,0.6053426248548199,0.572030219608111,0.5557125546650379,-0.016317664943072945,-0.00012083524031160108
fg_regime,extreme_fear,1450,0.516551724137931,0.5124137931034483,-0.004137931034482789,14,20,-6,0.009655172413793104,0.013793103448275862,-0.004137931034482759,34,0.023448275862068966,0.5103448275862069,0.6724137931034483,0.6489655172413793,0.6070546061577725,0.5919061854166975,-0.015148420741075024,-0.000632447599080103
fg_regime,extreme_greed,935,0.613903743315508,0.6160427807486631,0.002139037433155133,17,15,2,0.01818181818181818,0.016042780748663103,0.0021390374331550803,32,0.034224598930481284,0.6096256684491979,0.7754010695187166,0.7411764705882353,0.6682727530040843,0.647259707928182,-0.021013045075902285,-0.005571876183391258
fg_regime,fear,1515,0.5953795379537954,0.594059405940594,-0.0013201320132013583,11,13,-2,0.007260726072607261,0.008580858085808581,-0.0013201320132013201,24,0.015841584158415842,0.5148514851485149,0.633003300330033,0.6171617161716172,0.5769731062153975,0.5636402623611119,-0.013332843854285653,0.0013506833746685046
