audit_bucket,news_date,source_text,headline_text,finbert_label,finbert_positive_prob,finbert_negative_prob,finbert_neutral_prob,finbert_confidence,finbert_sentiment_score,news_item_id
random,2022-08-24,CoinDesk,Bitcoin Miner Argo Cuts Year-End Hashrate View Citing Delayed Intel Mining Rigs,negative,0.010921783,0.9568646,0.03221357,0.9568646,-0.9459428,stage5_news_b17835aa901fb019
random,2020-11-22,CoinDesk,Bitcoin ETF Time? What SEC Chairman Jay Clayton Stepping Down Means for Markets,neutral,0.0199782,0.3875126,0.5925092,0.5925092,-0.3675344,stage5_news_8f42980a3bd0d31c
random,2022-01-24,Yahoo Finance,Bitcoin whipsaw shows crypto's 'constant state of price discovery' with over $1T lost,neutral,0.34350297,0.02005622,0.6364408,0.6364408,0.32344675,stage5_news_4b7a5ee4fabd8a87
random,2021-12-14,FX Empire,90% of Bitcoin’s Total Supply has Been Mined but Price Continues to Dip,neutral,0.20018739,0.04260077,0.7572119,0.7572119,0.15758662,stage5_news_24d6f691331d612e
random,2020-09-22,CoinDesk,Market Wrap: Bitcoin Clings to $10.4K; Ether in Smart Contracts Highest Since 2016,positive,0.8516875,0.12083693,0.027475547,0.8516875,0.7308506,stage5_news_a4e47a805988c35b
random,2018-05-02,CoinDesk,"I Would Short Ether Before Bitcoin, Says Citron's Andrew Left",neutral,0.045891523,0.020271305,0.9338372,0.9338372,0.025620218,stage5_news_24df548d8d566758
random,2018-11-23,CCN,"Crypto Market Loses $6 Billion as Bitcoin Price Retreats to $4,100",negative,0.00981989,0.96783763,0.022342408,0.96783763,-0.95801777,stage5_news_8bc996dc87faa93c
random,2024-05-26,GlobeNewswire,Ultimate Investment Guide: Furrever Token Set to Achieve Bitcoin and Ethereum-Level ROI in 2024,positive,0.6890806,0.0075502195,0.3033692,0.6890806,0.68153036,stage5_news_f340ea9a5551c759
random,2019-01-25,CCN,"Bitcoin Could Fall Below $1,260 if the Bear Market Continues: JP Morgan Analysts",negative,0.018294182,0.86081856,0.12088731,0.86081856,-0.8425244,stage5_news_7308c5139e442d73
random,2023-03-02,Forkast News,"Bitcoin, Ether rise; Polygon leads rebound in top 10 non-stablecoin cryptocurrencies",positive,0.93779236,0.03139378,0.030813873,0.93779236,0.9063986,stage5_news_ae18c81a412fcfbc
random,2021-07-19,FX Empire,"Bitcoin and Ethereum – Weekly Technical Analysis – July 19th, 2021",neutral,0.02192266,0.029534224,0.94854313,0.94854313,-0.0076115653,stage5_news_e6c6104a287338bc
random,2022-05-31,FX Empire,"Crypto Market Daily Highlights – May 30 – BTC Rebounds to $32,000",positive,0.7937165,0.11953291,0.08675061,0.7937165,0.6741836,stage5_news_b35a91bf5fb655a4
random,2022-01-05,GuruFocus.com,"Meditor Group Ltd Buys Esperion Therapeutics Inc, Sells BTC iShares MSCI India ETF, WisdomTree ...",neutral,0.16423036,0.0103583,0.8254113,0.8254113,0.15387206,stage5_news_07d06cf036f806e8
random,2019-01-12,CCN,Interview: Crypto Exchange CEO on Bringing Bitcoin Adoption to India,neutral,0.18454553,0.008811521,0.8066429,0.8066429,0.17573401,stage5_news_dbe6f02611588679
random,2022-04-01,CoinDesk,Ethereum Founder Vitalik Buterin Praises 'Bitcoin Maximalism' (Maybe),neutral,0.1632243,0.014876276,0.8218994,0.8218994,0.14834802,stage5_news_08b3a9a244bc14e6
random,2023-05-01,CoinDesk,Michael Saylor's MicroStrategy Books a Much Smaller Bitcoin Impairment Charge,neutral,0.1837298,0.014297237,0.8019729,0.8019729,0.16943257,stage5_news_5a31a33d8e4c6989
random,2018-09-26,Investing.com,Bitcoin Gains Ground; Google Partially Reverses Crypto Ban,positive,0.7550248,0.0863543,0.1586209,0.7550248,0.6686705,stage5_news_c161894e663e2a3f
random,2021-11-21,CoinDesk,"El Salvador to Create ‘Bitcoin City,’ Use $500M of Planned $1B Bond Offering to Buy More Crypto",neutral,0.28738627,0.008230951,0.7043828,0.7043828,0.2791553,stage5_news_96d115ab71505b9d
random,2023-12-21,etf.com,SEC Prefers Cash Redemption Models for Spot Bitcoin,neutral,0.07516379,0.013489044,0.91134715,0.91134715,0.061674744,stage5_news_74629dc7c715b06e
random,2019-03-02,CCN,Bitcoin Price Won’t Do Diddly Squat Until This Graph Reverses,neutral,0.061522517,0.1837617,0.7547158,0.7547158,-0.12223919,stage5_news_e3ad95a21b5fead0
random,2023-06-21,Business Insider,Bitcoin held by illiquid entities is at an all-time high as demand for the token climbs,positive,0.5812137,0.05058026,0.36820596,0.5812137,0.53063345,stage5_news_3e6bd596827ab888
random,2019-02-25,CoinDesk,"Long-Term Bitcoin Price Indicator Turns Bearish, Suggesting Bottom May Be In",negative,0.028344247,0.93117815,0.04047755,0.93117815,-0.9028339,stage5_news_0491d756126462a8
random,2021-03-13,Reuters,"Bitcoin hits $60,000 in record high",positive,0.673038,0.102431536,0.22453038,0.673038,0.57060647,stage5_news_13fbe7b08756bbcd
