news_item_id,news_time,news_date,source_text,url_text,headline_text,normalized_title,embedding_template,embedding_unit,embedding_input_text,embedding_input_hash,headline_hash,embedding_input_char_count,embedding_input_word_count,title_length_chars,article_length_chars,has_article_text
stage5_news_6114877f378711e2,2018-02-28 08:32:54,2018-02-28,FX Empire,https://finance.yahoo.com/news/bitcoin-touches-11-000-too-083254796.html,"Bitcoin Touches $11,000, But all too briefly",bitcoin touches 11000 but all too briefly,headline_only_v1,news_item,"Bitcoin Touches $11,000, But all too briefly",6114877f378711e2bb3b5344c41bc8d44cc67ef11634a7fb2ffeeef9e984d273,6114877f378711e2bb3b5344c41bc8d44cc67ef11634a7fb2ffeeef9e984d273,44,7,44,3247,True
stage5_news_a8a1c606f0a99975,2018-02-28 10:10:24,2018-02-28,CoinDesk,https://finance.yahoo.com/news/bitcoin-brushes-11k-bull-case-101024942.html,Bitcoin Brushes $11K as Bull Case Strengthens,bitcoin brushes 11k as bull case strengthens,headline_only_v1,news_item,Bitcoin Brushes $11K as Bull Case Strengthens,a8a1c606f0a99975f4425811708ba8ee34697488297a8c99ca4699f1b920bf30,a8a1c606f0a99975f4425811708ba8ee34697488297a8c99ca4699f1b920bf30,45,7,45,3097,True
stage5_news_1ca31039bdbdbe80,2018-02-28 14:02:00,2018-02-28,Engadget,https://finance.yahoo.com/news/woz-scammed-bitcoins-now-worth-140200991.html,"Woz was scammed out of Bitcoins now worth over $70,000",woz was scammed out of bitcoins now worth over 70000,headline_only_v1,news_item,"Woz was scammed out of Bitcoins now worth over $70,000",1ca31039bdbdbe80b34ae70634f9504004c5f02f2d09a2749e34f094ec40dd67,1ca31039bdbdbe80b34ae70634f9504004c5f02f2d09a2749e34f094ec40dd67,54,10,54,1410,True
stage5_news_59aa16641d52caf2,2018-02-28 14:06:19,2018-02-28,The Telegraph,https://finance.yahoo.com/news/apos-bitcoin-inventor-apos-craig-170958959.html,'Bitcoin inventor' Craig Wright sued for $10bn by family of man associated with the cryptocurrency's creation,bitcoin inventor craig wright sued for 10bn by family of man associated with the cryptocurrencys creation,headline_only_v1,news_item,'Bitcoin inventor' Craig Wright sued for $10bn by family of man associated with the cryptocurrency's creation,59aa16641d52caf2f0ce9882cbb7413d3cc52478aff519632843a82db813953a,59aa16641d52caf2f0ce9882cbb7413d3cc52478aff519632843a82db813953a,109,16,109,3084,True
stage5_news_41d3c1ff30ffa972,2018-03-01 03:02:44,2018-03-01,BGR News,https://finance.yahoo.com/news/steve-wozniak-says-scammed-74-000-bitcoin-030244584.html,"Steve Wozniak says he was scammed out of $74,000 in Bitcoin",steve wozniak says he was scammed out of 74000 in bitcoin,headline_only_v1,news_item,"Steve Wozniak says he was scammed out of $74,000 in Bitcoin",41d3c1ff30ffa97296ab3c77cc60d07f42f9ec85376dbb0bbb44586e3e1f81de,41d3c1ff30ffa97296ab3c77cc60d07f42f9ec85376dbb0bbb44586e3e1f81de,59,11,59,2297,True
stage5_news_3848ce384b6dca9e,2018-03-01 17:00:01,2018-03-01,InvestorPlace,https://finance.yahoo.com/news/10-stocks-buy-instead-bitcoin-185201774.html,9 Stocks to Buy Instead of Bitcoin,9 stocks to buy instead of bitcoin,headline_only_v1,news_item,9 Stocks to Buy Instead of Bitcoin,3848ce384b6dca9e901ce83b72d9a725dfeebdccad4598134eb29eda65719f0f,3848ce384b6dca9e901ce83b72d9a725dfeebdccad4598134eb29eda65719f0f,34,7,34,8552,True
stage5_news_274f791bd112fe55,2018-03-02 09:05:38,2018-03-02,CoinDesk,https://finance.yahoo.com/news/forking-fork-apos-bitcoin-private-090538616.html,"'Bitcoin Private' Is Here, But What's It Worth?",bitcoin private is here but whats it worth,headline_only_v1,news_item,"'Bitcoin Private' Is Here, But What's It Worth?",274f791bd112fe55825004096a1b76d37ec2dfdbe68a77209d94ecc55d8cc00e,274f791bd112fe55825004096a1b76d37ec2dfdbe68a77209d94ecc55d8cc00e,47,8,47,6446,True
stage5_news_43589bcd68dbaa9e,2018-03-02 09:07:17,2018-03-02,CoinDesk,https://finance.yahoo.com/news/bitcoin-struggles-pass-11k-amid-090717287.html,Bitcoin Struggles to Pass $11K Amid Low Volumes,bitcoin struggles to pass 11k amid low volumes,headline_only_v1,news_item,Bitcoin Struggles to Pass $11K Amid Low Volumes,43589bcd68dbaa9e91ca216b0333bdbd6d0b0cda683714fa3b5ffdc16fd3f746,43589bcd68dbaa9e91ca216b0333bdbd6d0b0cda683714fa3b5ffdc16fd3f746,47,8,47,3160,True
stage5_news_901baebb24d672e3,2018-03-02 11:12:15,2018-03-02,Fortune,https://finance.yahoo.com/news/bitcoin-transaction-volume-puzzling-investors-111215281.html,Bitcoin Transaction Volume Is Puzzling Investors,bitcoin transaction volume is puzzling investors,headline_only_v1,news_item,Bitcoin Transaction Volume Is Puzzling Investors,901baebb24d672e30ead4d7a9ff270c9d82f72daea47e89aecc918d8071b9e08,901baebb24d672e30ead4d7a9ff270c9d82f72daea47e89aecc918d8071b9e08,48,6,48,3719,True
stage5_news_0fa1d2afe575c66f,2018-03-03 06:55:08,2018-03-03,FX Empire,https://finance.yahoo.com/news/bitcoin-moves-ahead-12-000-065508753.html,"Bitcoin Moves Ahead, with $12,000 in its Sights",bitcoin moves ahead with 12000 in its sights,headline_only_v1,news_item,"Bitcoin Moves Ahead, with $12,000 in its Sights",0fa1d2afe575c66f1dda5ad9ca201c930eaa483aae948e5812497183563a4e50,0fa1d2afe575c66f1dda5ad9ca201c930eaa483aae948e5812497183563a4e50,47,8,47,3214,True
