split,sample_index,image_end_date,label_end_date,strict_policy,allowed_news_start_date,allowed_news_end_date,strict_t_minus_1_date,news_count_t_minus_1,news_count_7d_t_minus_1,news_count_20d_t_minus_1,news_count_60d_t_minus_1,same_day_news_count_excluded,has_t_minus_1_news,has_7d_news,has_20d_news,has_60d_news,same_day_exclusion_active,text_vectorizer_fit_doc
train,0,2018-04-29,2018-05-19,calendar_date_lte_t_minus_1,2011-06-22,2018-04-28,2018-04-28,2,37,97,271,3,True,True,True,True,True,True
train,2,2018-05-01,2018-05-21,calendar_date_lte_t_minus_1,2011-06-22,2018-04-30,2018-04-30,8,32,100,276,2,True,True,True,True,True,True
train,3,2018-05-02,2018-05-22,calendar_date_lte_t_minus_1,2011-06-22,2018-05-01,2018-05-01,2,26,97,275,2,True,True,True,True,True,True
train,6,2018-05-05,2018-05-25,calendar_date_lte_t_minus_1,2011-06-22,2018-05-04,2018-05-04,4,25,91,274,7,True,True,True,True,True,True
train,7,2018-05-06,2018-05-26,calendar_date_lte_t_minus_1,2011-06-22,2018-05-05,2018-05-05,7,30,96,278,5,True,True,True,True,True,True
train,8,2018-05-07,2018-05-27,calendar_date_lte_t_minus_1,2011-06-22,2018-05-06,2018-05-06,5,32,99,275,11,True,True,True,True,True,True
train,9,2018-05-08,2018-05-28,calendar_date_lte_t_minus_1,2011-06-22,2018-05-07,2018-05-07,11,35,108,284,4,True,True,True,True,True,True
train,11,2018-05-10,2018-05-30,calendar_date_lte_t_minus_1,2011-06-22,2018-05-09,2018-05-09,2,37,102,279,1,True,True,True,True,True,True
train,12,2018-05-11,2018-05-31,calendar_date_lte_t_minus_1,2011-06-22,2018-05-10,2018-05-10,1,34,93,276,3,True,True,True,True,True,True
train,14,2018-05-13,2018-06-02,calendar_date_lte_t_minus_1,2011-06-22,2018-05-12,2018-05-12,6,32,91,272,5,True,True,True,True,True,True
train,16,2018-05-15,2018-06-04,calendar_date_lte_t_minus_1,2011-06-22,2018-05-14,2018-05-14,6,27,86,264,9,True,True,True,True,True,True
train,17,2018-05-16,2018-06-05,calendar_date_lte_t_minus_1,2011-06-22,2018-05-15,2018-05-15,9,32,90,266,4,True,True,True,True,True,True
