aggregation,window_days,dimension,fit_split,train_rows,all_rows,input_embedding_dim,explained_variance_ratio,component_1_explained_variance_ratio,reducer_components_path
mean,7,8,train,671,2399,1536,0.417354232944285,0.11103904356161108,/Users/jaehyeonjeong/Desktop/논문/stage5_llm_news_embedding/outputs/stage5/embedding_svd/openai_text_embedding_3_small/reducers/mean_7d_components.npy
mean,7,16,train,671,2399,1536,0.5456122046620736,0.11103904356161108,/Users/jaehyeonjeong/Desktop/논문/stage5_llm_news_embedding/outputs/stage5/embedding_svd/openai_text_embedding_3_small/reducers/mean_7d_components.npy
mean,7,32,train,671,2399,1536,0.6872916706884076,0.11103904356161108,/Users/jaehyeonjeong/Desktop/논문/stage5_llm_news_embedding/outputs/stage5/embedding_svd/openai_text_embedding_3_small/reducers/mean_7d_components.npy
mean,20,8,train,671,2399,1536,0.6073268020111644,0.18886048026150257,/Users/jaehyeonjeong/Desktop/논문/stage5_llm_news_embedding/outputs/stage5/embedding_svd/openai_text_embedding_3_small/reducers/mean_20d_components.npy
mean,20,16,train,671,2399,1536,0.7516129593941547,0.18886048026150257,/Users/jaehyeonjeong/Desktop/논문/stage5_llm_news_embedding/outputs/stage5/embedding_svd/openai_text_embedding_3_small/reducers/mean_20d_components.npy
mean,20,32,train,671,2399,1536,0.8837374129358433,0.18886048026150257,/Users/jaehyeonjeong/Desktop/논문/stage5_llm_news_embedding/outputs/stage5/embedding_svd/openai_text_embedding_3_small/reducers/mean_20d_components.npy
mean,60,8,train,671,2399,1536,0.8300186283160164,0.3011637061254076,/Users/jaehyeonjeong/Desktop/논문/stage5_llm_news_embedding/outputs/stage5/embedding_svd/openai_text_embedding_3_small/reducers/mean_60d_components.npy
mean,60,16,train,671,2399,1536,0.947641854023424,0.3011637061254076,/Users/jaehyeonjeong/Desktop/논문/stage5_llm_news_embedding/outputs/stage5/embedding_svd/openai_text_embedding_3_small/reducers/mean_60d_components.npy
mean,60,32,train,671,2399,1536,0.985004240332441,0.3011637061254076,/Users/jaehyeonjeong/Desktop/논문/stage5_llm_news_embedding/outputs/stage5/embedding_svd/openai_text_embedding_3_small/reducers/mean_60d_components.npy
decay_mean,7,8,train,671,2399,1536,0.39681882490863407,0.10368060063764888,/Users/jaehyeonjeong/Desktop/논문/stage5_llm_news_embedding/outputs/stage5/embedding_svd/openai_text_embedding_3_small/reducers/decay_mean_7d_components.npy
decay_mean,7,16,train,671,2399,1536,0.5223012612260226,0.10368060063764888,/Users/jaehyeonjeong/Desktop/논문/stage5_llm_news_embedding/outputs/stage5/embedding_svd/openai_text_embedding_3_small/reducers/decay_mean_7d_components.npy
decay_mean,7,32,train,671,2399,1536,0.6607389244440803,0.10368060063764888,/Users/jaehyeonjeong/Desktop/논문/stage5_llm_news_embedding/outputs/stage5/embedding_svd/openai_text_embedding_3_small/reducers/decay_mean_7d_components.npy
decay_mean,20,8,train,671,2399,1536,0.5797371079895758,0.1784769434705374,/Users/jaehyeonjeong/Desktop/논문/stage5_llm_news_embedding/outputs/stage5/embedding_svd/openai_text_embedding_3_small/reducers/decay_mean_20d_components.npy
decay_mean,20,16,train,671,2399,1536,0.7200382551421078,0.1784769434705374,/Users/jaehyeonjeong/Desktop/논문/stage5_llm_news_embedding/outputs/stage5/embedding_svd/openai_text_embedding_3_small/reducers/decay_mean_20d_components.npy
decay_mean,20,32,train,671,2399,1536,0.8524271251183004,0.1784769434705374,/Users/jaehyeonjeong/Desktop/논문/stage5_llm_news_embedding/outputs/stage5/embedding_svd/openai_text_embedding_3_small/reducers/decay_mean_20d_components.npy
decay_mean,60,8,train,671,2399,1536,0.8006151372917703,0.28859065308313525,/Users/jaehyeonjeong/Desktop/논문/stage5_llm_news_embedding/outputs/stage5/embedding_svd/openai_text_embedding_3_small/reducers/decay_mean_60d_components.npy
decay_mean,60,16,train,671,2399,1536,0.9219614216506792,0.28859065308313525,/Users/jaehyeonjeong/Desktop/논문/stage5_llm_news_embedding/outputs/stage5/embedding_svd/openai_text_embedding_3_small/reducers/decay_mean_60d_components.npy
decay_mean,60,32,train,671,2399,1536,0.9716451721391689,0.28859065308313525,/Users/jaehyeonjeong/Desktop/논문/stage5_llm_news_embedding/outputs/stage5/embedding_svd/openai_text_embedding_3_small/reducers/decay_mean_60d_components.npy
